,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Average_Odds,Average_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal,Payout_if_Win,Expected_Value,Kelly
0,0,"Thu Jan 24, 2019",Golden State,0,61%,-400,-444,-440,-475,-515,-550,-525,-450,-475,-475,-515,-460,-440,-208,-470,-470,-470,-525,-,-,-555,-475,-450,-545,-450,-550,-440,-,-450,-472.88,0.8219010958394612,-208,0.6753246753246753,0.7719010958394612,1,0.4807692307692308,0.14300739191612527,0.29745537518554055
3,1,"Thu Jan 24, 2019",Oklahoma City,0,40%,-875,-1285,-1200,-1700,-1500,-1400,-1325,-1400,-1700,-1700,-1500,-1350,-1200,-294,-1445,-,-,-1400,-,-,-1455,-1700,-1400,-905,-1400,-1400,-1200,-,-1200,-1350.391304347826,0.9239738762285027,-294,0.7461928934010152,0.8739738762285026,1,0.3401360544217687,0.17124390215656476,0.5034570723403005
4,2,"Thu Jan 24, 2019",Portland,0,52%,-325,-374,-385,-450,-430,-450,-430,-380,-350,-450,-430,-400,-385,-263,-408,-408,-408,-460,-,-,-460,-450,-380,-275,-380,-450,-365,-,-400,-400.84,0.7979764389066207,-263,0.7245179063360881,0.7479764389066207,1,0.38022813688212925,0.03237812670381485,0.08515447323103305
7,3,"Thu Jan 24, 2019",L.A. Lakers,0,52%,+105,-119,-165,-135,-130,-135,-135,-130,-140,-135,-130,-133,-165,-130,-135,-140,-140,-135,-,-,-135,-135,-115,+100,-125,-135,-118,-,-135,-125.2,0.569870062455289,100,0.5,0.519870062455289,1,1.0,0.03974012491057799,0.03974012491057799
