,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Kelly_Long,Kelly_Short
2,1,"Fri Jan 25, 2019",Miami,0,50%,-,-,-,-400,+140,-420,-425,-400,-400,-400,-400,-400,-385,-408,-408,-408,-408,-450,-,-,-445,-400,-400,-425,-400,-420,-370,-,-400,-384.0,0.7860626687603627,140,0.4166666666666667,0.7460626687603626,1,0,1.4,-1,1,-1.4,0.7905504050248704,0.3905504050248704,0.5646788607320503,0.3905504050248704
4,2,"Fri Jan 25, 2019",New York,0,52%,-,-,-,+450,+138,+325,+355,+355,+330,+330,+335,+320,+355,+337,+348,+348,+348,+335,-,-,+340,+330,+371,+355,+340,+325,+350,-,+350,337.82608695652175,0.2329136986188436,450,0.18181818181818182,0.19291369861884358,1,0,4.5,-1,1,-4.5,0.06102534240363966,-3.4389746575963605,0.013561187200808813,-3.4389746575963605
5,2,"Fri Jan 25, 2019",Brooklyn,0,48%,-,-,-,-600,-158,-450,-445,-460,-430,-420,-405,-420,-400,-418,-423,-423,-423,-435,-,-,-445,-420,-480,-445,-430,-450,-385,-,-450,-426.7391304347826,0.8048078561339834,-158,0.6124031007751938,0.7648078561339834,1,0,0.6329113924050633,-1,1,-0.6329113924050633,0.24886346128207415,0.6159520688770108,0.3932042688256771,0.6159520688770108
7,3,"Fri Jan 25, 2019",Houston,0,50%,+100,+145,+140,+140,+334,+140,+150,+140,+140,+140,+143,+135,+140,+142,+144,+144,+144,+140,-,-,+150,+140,+140,+145,+140,+140,+149,-,+140,149.8,0.4057920102152462,334,0.2304147465437788,0.3657920102152462,1,0,3.34,-1,1,-3.34,0.5875373243341685,-1.7524626756658312,0.17590937854316424,-1.7524626756658312
9,4,"Fri Jan 25, 2019",Memphis,0,48%,-130,-127,-127,-125,+345,-135,-135,-135,-140,-135,-130,-132,-127,-130,-135,-135,-130,-130,-,-,-125,-125,-135,-135,-135,-135,-124,-,-130,-112.28,0.5538575180575309,345,0.2247191011235955,0.5138575180575309,1,0,3.45,-1,1,-3.45,1.2866659553560125,-1.1633340446439877,0.3729466537263804,-1.1633340446439877
11,5,"Fri Jan 25, 2019",Chicago,0,44%,+1802,+170,+175,+170,+317,+180,+170,+170,+165,+170,+175,+170,+175,+167,+175,+175,+175,+170,-,-,+175,+170,+174,+170,+175,+180,+181,-,+170,178.56,0.36158456784400833,317,0.23980815347721823,0.32158456784400835,1,0,3.17,-1,1,-3.17,0.34100764790951477,-1.8289923520904852,0.10757339050773336,-1.8289923520904852
13,6,"Fri Jan 25, 2019",Dallas,0,53%,-180,-192,-190,-200,+330,-200,-205,-200,-210,-200,-196,-200,-190,-199,-200,-200,-200,-200,-,-,-205,-200,-200,-205,-200,-200,-190,-,-200,-178.08,0.6484187903964629,330,0.23255813953488372,0.6084187903964628,1,0,3.3,-1,1,-3.3,1.61620079870479,-0.6837992012952097,0.4897578177893303,-0.6837992012952097
15,7,"Fri Jan 25, 2019",Milwaukee,0,55%,-650,-744,-710,-1000,-398,-900,-875,-710,-780,-1000,-900,-750,-710,-826,-815,-,-,-840,-,-,-785,-1000,-900,-875,-800,-900,-720,-,-900,-819.0434782608696,0.8883253681014738,-398,0.7991967871485943,0.8483253681014737,1,0,0.25125628140703515,-1,1,-0.25125628140703515,0.06147244551390432,0.8102161641068691,0.24466033314533922,0.8102161641068691
17,8,"Fri Jan 25, 2019",Denver,0,46%,-1475,-1614,-1400,-2200,-400,-2000,-1480,-1800,-1600,-2200,-1600,-1500,-1400,-2041,-1943,-2740,-,-,-,-,-1785,-2200,-2200,-1480,-,-2000,-1350,-,-1700,-1756.0454545454545,0.9396079110912793,-400,0.8,0.8996079110912792,1,0,0.25,-1,1,-0.25,0.12450988886409906,0.8745098888640991,0.4980395554563962,0.8745098888640991
24,12,"Fri Jan 25, 2019",Golden State,0,100%,-135,-133,-135,-130,+110,-130,-,-,-,-130,-135,-,-160,-137,-,-,-,-135,-,-,-,-130,-130,-,-,-130,-,-,-,-115.76923076923077,0.5657814013149278,110,0.47619047619047616,0.5257814013149278,1,0,1.1,-1,1,-1.1,0.10414094276134844,0.004140942761348354,0.09467358432849858,0.004140942761348354
25,12,"Fri Jan 25, 2019",Boston,0,0%,+115,+120,+115,+110,-130,+110,-,-,-,+110,+115,-,+140,+117,-,-,-,+115,-,-,-,+110,+110,-,-,+110,-,-,-,96.3076923076923,0.47305774615047586,140,0.4166666666666667,0.4330577461504759,1,0,1.4,-1,1,-1.4,0.0393385907611421,-0.3606614092388578,0.02809899340081579,-0.3606614092388578
29,14,"Fri Jan 25, 2019",Portland,0,-,-,-700,-542,-580,-196,-700,-700,-,-,-700,-650,-600,-440,-700,-585,-,-,-700,-600,-,-,-700,-650,-650,-,-700,-700,-,-,-620.6842105263158,0.8535502750735809,-196,0.6621621621621622,0.8135502750735809,1,0,0.5102040816326531,-1,1,-0.5102040816326531,0.22862694602948952,0.7184228643968364,0.44810881421779947,0.7184228643968364
