,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
0,0,"Thu Jan 31, 2019",Indiana,0,49%,+110,+125,+125,+120,+120,+125,+120,+120,+120,+120,+120,+120,+125,+123,+120,+120,+120,+120,-,-,+120,+120,+120,+120,+125,+125,+133,-,+120,121.84,0.4509,0.4309,133,0.4292,1,0,0.004,0.0030052631578948415,132.07,2.3207,2.3471,0.0236,0.0376,2.2943,0.0329,0.0545
2,1,"Thu Jan 31, 2019",Dallas,0,47%,+125,+125,+120,+120,+120,+120,+115,+115,+115,+120,+120,+115,+120,+123,+120,+120,+120,+120,-,-,+115,+120,+120,+115,+120,+120,+132,-,+120,119.6,0.4555,0.4355,132,0.431,1,0,0.0104,0.007848484848484875,129.62,2.2962,2.3221,0.0241,0.0386,2.2702999999999998,0.0331,0.0548
11,5,"Thu Jan 31, 2019",L.A. Clippers,0,58%,-225,-193,-200,-220,-215,-230,-210,-205,-210,-220,-215,-210,-200,-200,-220,-220,-220,-220,-,-,-230,-220,-220,-210,-200,-230,-190,-,-220,-213.12,0.6802,0.6602,-190,0.6552,1,0,0.0077,0.014580000000000032,-194.2879,1.5147,1.525,0.0692,0.1165,1.5044,0.0398,0.0728
