,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
1,0,Rot,Draw,0,28%,+186,+188,+193,+180,+179,+180,+188,+165,+175,+180,+179,+180,+193,+186,+188,+188,+188,+175,-,-,+176,+180,+200,+188,+180,+180,+200,-,+220,185.16,0.3511,0.3311,220,0.3125,1,0,0.0595,0.02705454545454546,202.02,3.0202,3.0606,0.0096,0.0142,2.9798,0.0102,0.0155
3,1,"Friday, February 08, 2019 - Soccer",Draw,0,50%,-,+175,+200,+206,+197,+175,+195,+190,+190,+175,+197,+193,+195,+175,+198,+200,+200,+175,+187,-,-,+175,+197,+197,+190,+175,+195,+220,-,190.88,0.3443,0.3243,220,0.3125,1,0,0.0378,0.01716363636363637,208.36,3.0836,3.1253,0.0093,0.0137,3.0419,0.0099,0.0149
4,1,"Saturday, February 09, 2019 - Soccer",Getafe CF,0,50%,-,+132,+152,+151,+144,+132,+145,+140,+140,+132,+144,+151,+145,+132,+151,+152,+152,+132,+138,-,-,+132,+144,+144,+140,+132,+145,+155,-,142.28,0.4132,0.3932,155,0.3922,1,0,0.0027,0.0017161290322580617,154.32,2.5432,2.5741,0.0125,0.0196,2.5122999999999998,0.0134,0.0218
5,1,"Saturday, February 09, 2019 - Soccer",Celta de Vigo,0,0%,-,+208,+239,+235,+229,+208,+235,+250,+215,+208,+229,+210,+230,+208,+239,+239,+239,+208,+218,-,-,+208,+229,+229,+250,+208,+235,+238,-,225.76,0.3076,0.28759999999999997,250,0.2857,1,0,0.0066,0.0026399999999999315,247.71,3.4771,3.5266,0.0079,0.0111,3.4276,0.0083,0.012
6,2,"Saturday, February 09, 2019 - Soccer",Draw,0,90%,-,-120,-107,-104,+193,-120,-110,-120,-,-120,-111,-110,+206,-120,-108,-107,+200,-120,-118,-,+192,-120,-111,-111,+192,-120,-110,-104,+200,-41.8462,0.4864,0.4664,206,0.3268,1,0,0.4272,0.2073708737864077,114.41,2.1441,2.167,0.0169,0.0279,2.1212,0.0182,0.0317
7,2,"Saturday, February 09, 2019 - Soccer",Real Madrid,0,2%,-,+299,+364,+360,+151,+299,+355,+285,-,+299,+347,+280,+151,+299,+361,+364,+152,+299,+333,-,+140,+299,+347,+347,+145,+299,+355,+375,+138,286.2692,0.2744,0.25439999999999996,375,0.2105,1,0,0.2084,0.05557333333333328,293.08,3.9308,3.9894,0.0066,0.0091,3.8722,0.007,0.0098
9,3,"Saturday, February 09, 2019 - Soccer",Espanyol Barcelona,0,0%,-,+123,+145,+146,-111,+123,+135,+131,-111,+123,+136,+140,-111,+123,+144,+145,-107,+123,+131,-,-,+123,+136,+136,-120,+123,+135,+148,-,84.36,0.4488,0.42879999999999996,148,0.4032,1,0,0.0634,0.04285405405405401,133.21,2.3321,2.3587,0.0145,0.0233,2.3055000000000003,0.0155,0.0262
10,3,"Saturday, February 09, 2019 - Soccer",Rayo Vallecano,0,100%,-,+193,+215,+214,+347,+193,+210,+208,+333,+193,+212,+198,+345,+193,+213,+215,+364,+193,+200,-,-,+193,+212,+212,+285,+193,+210,+218,-,230.48,0.3093,0.2893,364,0.2155,1,0,0.3424,0.09405274725274727,245.66,3.4566,3.5057,0.0079,0.0112,3.4075,0.0084,0.0122
11,3,"Saturday, February 09, 2019 - Soccer",Draw,0,0%,-,+204,+233,+233,+232,+204,+225,+266,+220,+204,+228,+215,+230,+204,+233,+233,+239,+204,+215,-,-,+204,+228,+228,+230,+204,+225,+234,-,223.0,0.3102,0.29019999999999996,266,0.2732,1,0,0.0621,0.02335789473684209,244.59,3.4459,3.4948,0.008,0.0113,3.397,0.0084,0.0122
12,4,"Saturday, February 09, 2019 - Soccer",Girona FC,0,33%,-,-135,-117,-116,-110,-135,-125,-130,-,-135,-121,-120,-104,-135,-119,-117,-107,-135,-131,-,-114,-135,-121,-121,-115,-135,-125,-114,-110,-122.3846,0.5495,0.5295,-104,0.5098,1,0,0.0386,0.04017999999999994,-112.5366,1.8886,1.9064,0.0216,0.0376,1.8708,0.02,0.0359
13,4,"Saturday, February 09, 2019 - Soccer",SD Huesca,0,33%,-,+301,+360,+365,+280,+301,+355,+325,-,+301,+346,+320,+360,+301,+357,+360,+364,+301,+334,-,+336,+301,+346,+346,+350,+301,+355,+380,+320,333.3077,0.2317,0.2117,380,0.2083,1,0,0.0162,0.004252631578947356,372.37,4.7237,4.7982,0.0052,0.0069,4.6492,0.0055,0.0073
15,5,"Sunday, February 10, 2019 - Soccer",CD Leganes,0,67%,-,-110,-100,+100,+136,-110,-105,-105,+130,-110,-104,-106,+135,-110,-101,+100,+145,-110,-111,-,-,-110,-104,-104,+131,-110,-105,+104,-,-33.36,0.4956,0.47559999999999997,145,0.4082,1,0,0.1652,0.11394482758620685,110.26,2.1026,2.1247,0.0175,0.0292,2.0805,0.0189,0.0333
