,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
14,4,"Saturday, February 09, 2019 - Soccer",Draw,0,0%,-,+237,+268,+263,+227,-,+204,+135,-,-,+204,+131,+161,-,+204,+140,+163,-,+204,+127,+150,-,+204,+131,-,-,+204,+135,+135,181.35,0.3643,0.3443,268,0.2717,1,0,0.267,0.09963582089552239,190.44,2.9044,2.9425,0.0102,0.0152,2.8663,0.0108,0.0167
15,5,"Saturday, February 09, 2019 - Soccer",Girona FC,0,100%,-,-110,-101,-100,+155,+123,+192,+240,-,+123,+192,+229,+193,+123,+192,+238,+187,+123,+192,+219,+180,+123,+192,+229,-,+123,+192,+240,+220,150.3462,0.378,0.358,240,0.2941,1,0,0.2172,0.09049999999999998,179.33,2.7933,2.8292,0.0108,0.0164,2.7574,0.0115,0.018
16,5,"Saturday, February 09, 2019 - Soccer",SD Huesca,0,0%,-,+264,+331,+329,+186,-,+277,-115,-,-,+277,-117,+227,-,+277,-115,+231,-,+277,-126,+219,-,+277,-117,-,-,+277,-115,+220,148.2,0.3578,0.3378,331,0.232,1,0,0.4559,0.1377395770392749,196.03,2.9603,2.9995000000000003,0.0099,0.0147,2.9211,0.0105,0.0161
17,5,"Saturday, February 09, 2019 - Soccer",Draw,0,0%,-,+212,+241,+244,+226,-117,+216,+345,+235,-117,+216,+328,+229,-117,+216,+355,+242,-117,+216,+325,+219,-117,+216,+328,+229,-117,+216,+345,+235,176.1429,0.3403,0.3203,355,0.2198,1,0,0.4574,0.12883521126760558,212.21,3.1221,3.1645,0.0092,0.0134,3.0797,0.0097,0.0146
18,6,"Sunday, February 10, 2019 - Soccer",CD Leganes,0,0%,-,+123,+141,+135,+153,-,+325,-,+190,-,+325,-,+197,-,+325,-,+204,-,+325,-,-,-,+325,-,+197,-,+325,-,+204,232.9333,0.3181,0.2981,325,0.2353,1,0,0.2669,0.08213076923076922,235.46,3.3546,3.4017,0.0083,0.0118,3.3075,0.0087,0.0128
19,6,"Sunday, February 10, 2019 - Soccer",Real Betis Balompie,0,100%,-,+204,+240,+236,+174,-169,+289,-,+140,-169,+289,-,+144,-169,+289,-,+148,-169,+289,-,-,-169,+289,-,+144,-169,+289,-,+148,109.4286,0.4114,0.39139999999999997,289,0.2571,1,0,0.5225,0.18081176470588234,155.49,2.5549,2.586,0.0124,0.0194,2.5238,0.0133,0.0215
20,6,"Sunday, February 10, 2019 - Soccer",Draw,0,0%,-,+192,+217,+228,+215,-,-,-,+250,-,-,-,+210,-,-,-,+242,-,-,-,-,-,-,-,+229,-,-,-,+242,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
21,7,"Sunday, February 10, 2019 - Soccer",Real Sociedad,0,0%,-,-169,-,-162,+197,-,-,-,+190,-,-,-,+195,-,-,-,+204,-,-,-,-,-,-,-,+190,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
22,7,"Sunday, February 10, 2019 - Soccer",Draw,0,100%,-,+325,-,+316,+144,-,-,-,+140,-,-,-,+145,-,-,-,+148,-,-,-,-,-,-,-,+140,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
23,7,"Sunday, February 10, 2019 - Soccer",Sevilla FC,0,0%,-,+289,-,+282,+229,-,-,-,+205,-,-,-,+230,-,-,-,+242,-,-,-,-,-,-,-,+250,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
