,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Net_Comm
20,10,"Sat Jan 26, 2019",Binghamton,0,41%,-,-650,-,-340,-,-200,-195,-190,-125,-207,-190,-190,-120,-185,-196,-196,-,-195,-,-,-125,-207,-207,-195,-125,-200,-,-,-125,-207.76190476190476,0.651677169691164,0.6116771696911639,-120,0.5454545454545454,1,0,0.8333333333333334,-1,1,-0.8333333333333334,0.12140814443380055,-0.12140814443380055,-157.5176945441741,-154.4291122982099
21,10,"Sat Jan 26, 2019",New Hampshire,0,59%,-,+475,-,+280,-,+170,+170,+165,+105,+174,+165,+165,+110,+151,+166,+166,-,+165,-,-,+105,+174,+174,+170,+105,+170,-,-,+105,172.85714285714286,0.38574156928787395,0.345741569287874,475,0.17391304347826086,1,0,4.75,-1,1,-4.75,0.9880140234052754,-0.9880140234052754,189.23337221489047,193.01803965918828
22,11,"Sat Jan 26, 2019",LIU Brooklyn,0,0%,-,+150,-,-118,-,-145,+240,+1500,-,-145,+240,+1500,+2750,-145,+240,+1500,-,-145,+240,+1500,-,-145,+240,+1500,-,-145,+240,+1500,-,588.1904761904761,0.3174808768325799,0.27748087683257994,2750,0.03508771929824561,1,0,27.5,-1,1,-27.5,6.908204989728528,-6.908204989728528,260.38519533847267,265.59289924524217
23,11,"Sat Jan 26, 2019",Central Connecticut State,0,100%,-,-170,-,-102,-,+125,-280,-3000,-,+125,-280,-3000,-6000,+125,-280,-3000,-,+125,-280,-3000,-,+125,-280,-3000,-,+125,-280,-3000,-,-1200.095238095238,0.7148741711050013,0.6748741711050013,125,0.4444444444444444,1,0,1.25,-1,1,-1.25,0.5184668849862528,-0.5184668849862528,-207.57322584880075,-203.50316259686346
24,12,"Sat Jan 26, 2019",Texas,0,0%,-185,-183,-185,-207,+155,-155,-,+2000,+160,-155,-,+2000,+160,-155,-,+2000,+160,-155,-,+2000,+160,-155,-,+2000,+160,-155,-,+2000,+160,527.7272727272727,0.39102978623711276,0.3510297862371128,2000,0.047619047619047616,1,0,20.0,-1,1,-20.0,6.371625510979369,-6.371625510979369,184.87611000752008,188.5736322076705
25,12,"Sat Jan 26, 2019",Georgia,0,100%,+160,+155,+170,+174,-180,+135,-,-4000,-185,+135,-,-4000,-185,+135,-,-4000,-185,+135,-,-4000,-185,+135,-,-4000,-185,+135,-,-4000,-185,-1090.0454545454545,0.6396333976215719,0.5996333976215719,174,0.36496350364963503,1,0,1.74,-1,1,-1.74,0.6429955094831069,-0.6429955094831069,-149.77108331698355,-146.8343954088074
26,13,"Sat Jan 26, 2019",Clemson,0,91%,+220,-170,+220,-125,+145,-145,+1000,-,+165,-145,+1000,-,+155,-145,+1000,-,+143,-145,+1000,-,+150,-145,+1000,-,+155,-145,+1000,-,+165,278.77272727272725,0.3796762156580113,0.3396762156580113,1000,0.09090909090909091,1,0,10.0,-1,1,-10.0,2.7364383722381245,-2.7364383722381245,194.39800430619724,198.2859643923212
27,13,"Sat Jan 26, 2019",(21) North Carolina State,0,9%,-260,+150,-260,+105,-165,+125,-1500,-,-190,+125,-1500,-,-180,+125,-1500,-,-174,+125,-1500,-,-180,+125,-1500,-,-180,+125,-1500,-,-190,-432.45454545454544,0.654467637676347,0.6144676376763469,150,0.4,1,0,1.5,-1,1,-1.5,0.5361690941908673,-0.5361690941908673,-159.38159742877914,-156.25646806743052
28,14,"Sat Jan 26, 2019",Dayton,0,0%,-280,-155,-,-,+148,+475,-,-,+145,+475,-,-,+145,+475,-,-,+155,+475,-,-,-,+475,-,-,+155,+475,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
29,14,"Sat Jan 26, 2019",Fordham,0,100%,+240,+135,-,-,-170,-650,-,-,-165,-650,-,-,-165,-650,-,-,-175,-650,-,-,-,-650,-,-,-180,-650,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
