,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
0,0,"Mon Jan 28, 2019",Golden State,0,55%,-345,-343,-335,-350,-355,-370,-390,-360,-370,-350,-355,-350,-335,-362,-355,-355,-355,-450,-,-,-445,-350,-350,-390,-360,-370,-325,-,-370,-364.0,0.7837370232998869,0.7537370232998869,-325,0.7647058823529411,0,1,0.3076923076923077,-1,1,-0.3076923076923077,-0.014343892607840192,0.014343892607840192,-306.06997178376133,0.32672267526672,0.33325712877205443,0.11118413070495174,0.185337889515115,0.3201882217613856,0.042612110698996564,0.08029896186399094
1,0,"Mon Jan 28, 2019",Indiana,0,45%,+285,+300,+305,+281,+295,+285,+310,+290,+290,+281,+295,+275,+305,+296,+295,+295,+295,+360,-,-,+340,+281,+281,+310,+300,+285,+320,-,+290,298.4,0.25151944269503734,0.22151944269503734,360,0.2173913043478261,1,0,3.6,-1,1,-3.6,0.018989436397171766,-0.018989436397171766,351.427643476282,3.51427643476282,3.5845619634580768,0.00733116770294359,0.010237731320496022,3.4439909060675635,0.026645583280851093,0.03772155541560307
2,1,"Mon Jan 28, 2019",New York,0,88%,+600,+659,+660,+755,+675,+600,+665,+600,+600,+697,+675,+650,+660,+650,+655,+648,+673,+670,-,-,+725,+755,+755,+665,+650,+600,+700,-,+600,665.68,0.13106538298342854,0.10106538298342854,755,0.11695906432748537,0,1,7.55,-1,1,-7.55,-0.13589097549168605,0.13589097549168605,889.4584777499609,8.89458477749961,9.072476473049601,0.0025247487957404894,0.003061902717460633,8.716693081949618,0.023031961489502817,0.028085230638674075
3,1,"Mon Jan 28, 2019",Charlotte,0,12%,-900,-832,-840,-1200,-900,-1000,-915,-900,-900,-1070,-900,-900,-840,-935,-955,-948,-923,-940,-,-,-1050,-1200,-1200,-915,-850,-1000,-780,-,-900,-951.72,0.9039299814971307,0.8739299814971306,-780,0.8863636363636362,0,1,0.1282051282051282,-1,1,-0.1282051282051282,-0.014027713182724416,0.014027713182724416,-693.2100049443872,0.14425642920145462,0.1471415577854837,0.2344401655545664,0.36381739811567915,0.14137130061742553,0.046217899444913904,0.08991439851977044
4,2,"Mon Jan 28, 2019",Brooklyn,0,55%,+425,+479,+485,+492,+475,+435,+495,+470,+450,+506,+475,+450,+485,+472,+475,+475,+475,+485,-,-,+495,+492,+492,+495,+475,+435,+500,-,+475,477.52,0.173331876209728,0.143331876209728,506,0.16501650165016502,0,1,5.06,-1,1,-5.06,-0.13140883016904836,0.13140883016904836,597.681511219993,5.9768151121999304,6.096351414443929,0.003953557915544331,0.005078238465208496,5.857278809955932,0.02429995628629178,0.031466550096778234
5,2,"Mon Jan 28, 2019",Boston,0,45%,-550,-575,-575,-675,-600,-670,-645,-650,-600,-700,-600,-600,-575,-625,-650,-650,-650,-670,-,-,-690,-675,-675,-645,-650,-670,-510,-,-650,-635.0,0.8634206282116336,0.8334206282116335,-510,0.8360655737704918,0,1,0.19607843137254902,-1,1,-0.19607843137254902,-0.00316356233510498,0.00316356233510498,-500.3144262486874,0.19987430854191235,0.2038717947127506,0.17726513848168263,0.28523098150278514,0.1958768223710741,0.04500261884634903,0.08667365025693069
6,3,"Mon Jan 28, 2019",Denver,0,65%,-200,-210,-210,-225,-215,-235,-225,-220,-225,-225,-215,-220,-210,-218,-225,-225,-225,-250,-,-,-280,-225,-225,-240,-250,-235,-208,-,-225,-226.64,0.6932221832237875,0.6632221832237875,-208,0.6753246753246753,0,1,0.4807692307692308,-1,1,-0.4807692307692308,-0.017920997918622394,0.017920997918622394,-196.9316713233805,0.5077903382833252,0.5179461450489917,0.07024726876748512,0.1182267665932455,0.4976345315176587,0.03989666549671367,0.07305777465790303
7,3,"Mon Jan 28, 2019",Memphis,0,35%,+170,+189,+190,+188,+185,+195,+190,+180,+185,+188,+185,+190,+190,+186,+185,+185,+185,+210,-,-,+225,+188,+188,+200,+210,+195,+193,-,+185,191.6,0.34330414056013325,0.3133041405601332,225,0.3076923076923077,1,0,2.25,-1,1,-2.25,0.018238456820433013,-0.018238456820433013,219.17867354455458,2.191786735445546,2.235622470154457,0.012862633527932238,0.01929435592466733,2.1479510007366347,0.029399124216803907,0.045064331244810685
8,4,"Mon Jan 28, 2019",Atlanta,0,40%,+320,+217,+220,+211,+210,+215,+210,+210,+220,+203,+210,+210,+220,+213,+215,+215,+215,+210,-,-,+220,+211,+211,+210,+220,+215,+230,-,+215,214.24,0.31831864733770165,0.28831864733770163,230,0.30303030303030304,0,1,2.3,-1,1,-2.3,-0.04854846378558464,0.04854846378558464,246.8384751502808,2.468384751502808,2.5177524465328642,0.011157446060976562,0.016451323288439706,2.4190170564727516,0.028649559420131032,0.04306549178701624
9,4,"Mon Jan 28, 2019",L.A. Clippers,0,60%,-425,-244,-240,-255,-250,-260,-260,-250,-260,-245,-250,-250,-240,-254,-255,-255,-255,-260,-,-,-275,-255,-255,-260,-260,-260,-240,-,-260,-253.92,0.7173088623767395,0.6873088623767395,-240,0.7058823529411765,0,1,0.4166666666666667,-1,1,-0.4166666666666667,-0.02631244496628571,0.02631244496628571,-219.8043947138756,0.45494995734808796,0.46404895649504974,0.07901828290491505,0.13294007218112325,0.4458509582011262,0.04061926587130221,0.07498470899013918
