,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365
0,0,"Wed Apr 05, 2017",Miami,112,48%,+105,+132,+125,+130,+125,+125,+130,+120,+125,+130,+125,+125,+125,-,+129,+129,+129,+125,+120,+120,+125,+130,+130,+125,+125,+125,+136,+120,+125
1,0,"Wed Apr 05, 2017",Charlotte,99,52%,-125,-146,-145,-150,-145,-145,-150,-140,-145,-150,-145,-145,-145,-,-149,-149,-149,-145,-140,-140,-145,-150,-150,-145,-145,-145,-142,-140,-145
2,1,"Wed Apr 05, 2017",Toronto,105,66%,+105,-147,-150,-135,-150,-155,-155,-155,-155,-135,-150,-110,-150,-,-151,-,-,-150,-155,-155,-140,-135,-120,-155,-150,-155,-143,-155,-160
3,1,"Wed Apr 05, 2017",Detroit,102,34%,-125,+133,+130,+115,+130,+135,+135,+135,+135,+115,+130,-110,+130,-,+131,-,-,+130,+130,+130,+120,+115,+100,+135,+130,+135,+135,+130,+140
4,2,"Wed Apr 05, 2017",Cleveland,114,58%,+140,+151,+155,+155,+153,+145,+145,+160,+155,+155,+153,+155,+155,-,+154,+154,+154,+150,+150,+150,+150,+155,+155,+145,+160,+145,+151,+150,+160
5,2,"Wed Apr 05, 2017",Boston,91,42%,-160,-167,-175,-180,-173,-165,-165,-180,-175,-180,-173,-175,-175,-,-174,-174,-174,-180,-180,-180,-175,-180,-180,-165,-180,-165,-153,-180,-180
6,3,"Wed Apr 05, 2017",Denver,104,63%,+380,+285,+300,+271,+290,+265,+270,+270,+290,+271,+290,+275,+300,-,+275,+275,+275,+280,+275,+275,+275,+271,+271,+270,+280,+265,+290,+275,+270
7,3,"Wed Apr 05, 2017",Houston,110,37%,-475,-325,-330,-335,-350,-330,-330,-330,-350,-335,-350,-345,-330,-,-335,-335,-335,-350,-345,-345,-350,-335,-335,-330,-340,-330,-300,-345,-340
8,4,"Wed Apr 05, 2017",Oklahoma City,103,57%,+103,-138,-135,-140,-140,-150,-135,-140,-140,-140,-140,-103,-135,-,-142,-,-,-140,-140,-140,-140,-140,-140,-140,-145,-150,-134,-140,-140
9,4,"Wed Apr 05, 2017",Memphis,100,43%,-123,+125,+125,+120,+120,+130,+115,+120,+120,+120,+120,-117,+125,-,+122,-,-,+120,+120,+120,+120,+120,+120,+120,+125,+130,+127,+120,+120
10,5,"Wed Apr 05, 2017",L.A. Lakers,102,36%,+425,+1051,+1050,+857,+1025,+750,+835,+775,+935,+857,+1025,+950,+1050,-,+1051,+1051,+1051,+500,+810,+810,+1100,+857,+857,+835,+900,+750,+1150,+810,+950
11,5,"Wed Apr 05, 2017",San Antonio,95,64%,-550,-1500,-1300,-1450,-1600,-1400,-1185,-1500,-1450,-1450,-1600,-1450,-1300,-,-1500,-1500,-1500,-700,-1365,-1365,-1885,-1450,-1450,-1185,-1500,-1400,-1450,-1365,-1600
12,6,"Wed Apr 05, 2017",Golden State,120,54%,-330,-460,-470,-425,-475,-500,-445,-470,-450,-425,-475,-470,-470,-,-477,-477,-477,-460,-440,-440,-515,-425,-475,-445,-475,-500,-410,-440,-450
13,6,"Wed Apr 05, 2017",Phoenix,111,46%,+270,+393,+375,+334,+400,+350,+355,+360,+355,+334,+400,+370,+375,-,+377,+377,+377,+355,+340,+340,+395,+334,+367,+355,+375,+350,+400,+340,+350
14,7,"Wed Apr 05, 2017",Dallas,101,53%,+600,+604,+550,+562,+600,+525,+605,+550,+550,+562,+600,+600,+550,-,+552,+652,+563,+500,+525,+525,+620,+562,+614,+605,+650,+525,+650,+525,+575
15,7,"Wed Apr 05, 2017",L.A. Clippers,112,47%,-900,-750,-800,-800,-800,-850,-855,-800,-750,-800,-800,-800,-800,-,-802,-952,-838,-700,-745,-745,-885,-800,-900,-855,-850,-850,-740,-745,-850
0,0,"Tue Apr 04, 2017",Brooklyn,141,52%,+103,-125,-130,-135,-135,-130,-130,-130,-130,-135,-135,-130,-130,-,-129,-,-,-130,-130,-130,-125,-135,-125,-135,-130,-130,-122,-130,-130
1,0,"Tue Apr 04, 2017",Philadelphia,118,48%,-113,+113,+110,+115,+115,+110,+110,+110,+110,+115,+115,+110,+110,-,+109,-,-,+110,+110,+110,+105,+115,+105,+115,+110,+110,+114,+110,+110
2,1,"Tue Apr 04, 2017",Orlando,102,36%,+435,+520,+525,+562,+575,+525,+565,+510,+600,+562,+575,+550,+525,-,+505,+425,+425,+440,+520,+520,+550,+562,+562,+565,+500,+525,+640,+520,+525
3,1,"Tue Apr 04, 2017",Cleveland,122,64%,-500,-630,-750,-800,-750,-850,-740,-720,-800,-800,-750,-750,-750,-,-705,-575,-575,-590,-740,-740,-770,-800,-800,-740,-700,-850,-660,-740,-750
4,2,"Tue Apr 04, 2017",Toronto,90,56%,+120,+134,+130,+125,+143,+125,+130,+125,+135,+125,+143,+130,+130,-,+124,+124,+124,+125,+125,+125,+120,+125,+125,+125,+130,+125,+130,+125,+130
5,2,"Tue Apr 04, 2017",Indiana,108,44%,-140,-148,-150,-145,-163,-145,-150,-145,-155,-145,-163,-150,-150,-,-144,-144,-144,-145,-150,-150,-140,-145,-145,-145,-150,-145,-137,-150,-150
6,3,"Tue Apr 04, 2017",Charlotte,111,44%,+160,+133,+130,+130,+125,+135,+130,+130,+130,+130,+125,+130,+130,-,+130,+130,+130,+130,+125,+125,+135,+130,+130,+135,+130,+135,+135,+125,+125
7,3,"Tue Apr 04, 2017",Washington,118,56%,-170,-147,-150,-150,-145,-155,-150,-150,-150,-150,-145,-150,-150,-,-150,-150,-150,-150,-150,-150,-160,-150,-150,-155,-150,-155,-144,-150,-145
8,4,"Tue Apr 04, 2017",Chicago,91,63%,-155,-185,-200,-200,-205,-210,-210,-205,-200,-200,-205,-200,-200,-,-198,-198,-198,-200,-200,-200,-205,-200,-190,-210,-200,-210,-187,-200,-200
9,4,"Tue Apr 04, 2017",New York,100,37%,+145,+166,+170,+170,+175,+175,+180,+175,+170,+170,+175,+170,+170,-,+168,+168,+168,+170,+165,+165,+170,+170,+163,+180,+170,+175,+177,+165,+170
10,5,"Tue Apr 04, 2017",Milwaukee,79,48%,+170,+215,+200,+203,+215,+200,+210,+210,+205,+203,+215,+205,+200,-,+208,+208,+208,+205,+205,+205,+200,+203,+192,+215,+220,+200,+220,+205,+200
11,5,"Tue Apr 04, 2017",Oklahoma City,110,52%,-185,-241,-240,-245,-255,-240,-250,-250,-245,-245,-255,-240,-240,-,-248,-248,-248,-255,-250,-250,-245,-245,-230,-265,-260,-240,-238,-250,-240
12,6,"Tue Apr 04, 2017",Denver,134,49%,+130,+137,+135,+135,+135,+135,+135,+135,+135,+135,+135,+135,+135,-,+135,+135,+133,+135,+140,+140,+135,+135,+135,+135,+135,+135,+138,+140,+135
13,6,"Tue Apr 04, 2017",New Orleans,131,51%,-140,-152,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-,-155,-155,-153,-160,-165,-165,-160,-155,-155,-155,-155,-155,-147,-165,-155
14,7,"Tue Apr 04, 2017",Memphis,89,48%,+405,+371,+350,+351,+370,+350,+360,+340,+350,+351,+370,+340,+350,-,+364,+364,+364,+350,+350,+350,+400,+351,+351,+360,+350,+350,+380,+350,+350
15,7,"Tue Apr 04, 2017",San Antonio,95,52%,-455,-432,-440,-450,-440,-500,-460,-440,-450,-450,-440,-440,-440,-,-439,-439,-439,-450,-455,-455,-525,-450,-450,-460,-450,-500,-430,-455,-450
16,8,"Tue Apr 04, 2017",Portland,87,61%,+230,+206,+210,+199,+200,+195,+210,+200,+200,+199,+200,+205,+210,-,+199,+199,+199,+195,+205,+205,+195,+199,+199,+205,+200,+195,+208,+205,+200
17,8,"Tue Apr 04, 2017",Utah,106,39%,-270,-231,-230,-240,-240,-235,-250,-240,-240,-240,-240,-240,-230,-,-239,-239,-239,-245,-250,-250,-245,-240,-240,-245,-240,-235,-226,-250,-240
18,9,"Tue Apr 04, 2017",Dallas,87,54%,+120,-135,-145,-145,-140,-145,-140,-145,-145,-145,-140,-145,-145,-,-139,-105,+100,-145,-145,-145,-155,-145,+105,-145,-145,-145,-141,-145,-145
19,9,"Tue Apr 04, 2017",Sacramento,98,46%,-140,+122,+125,+125,+120,+125,+120,+125,+125,+125,+120,+125,+125,-,+119,-115,-120,+125,+120,+120,+135,+125,-125,+125,+125,+125,+126,+120,+125
20,10,"Tue Apr 04, 2017",Minnesota,107,64%,+1000,+1198,+1050,+980,+1075,+900,+1050,+850,+1085,+980,+1075,+1000,+1050,-,+1175,-,-,-,+800,+800,+900,+980,+980,+1050,+1100,+900,+1200,+800,+1100
21,10,"Tue Apr 04, 2017",Golden State,121,36%,-1200,-1800,-1600,-1800,-1700,-1900,-1600,-1800,-1800,-1800,-1700,-1600,-1600,-,-1750,-,-,-,-1335,-1335,-1480,-1800,-1800,-1600,-2000,-1900,-1350,-1335,-1800
0,0,"Mon Apr 03, 2017",Portland,109,56%,+105,+120,+110,+110,+112,+100,+110,+110,+110,+110,+112,+110,+110,-,+113,+113,+113,+110,+110,+110,+100,+110,+110,+105,+105,+100,+105,+110,+110
1,0,"Mon Apr 03, 2017",Minnesota,110,44%,-125,-132,-130,-130,-132,-120,-130,-130,-130,-130,-132,-130,-130,-,-133,-133,-133,-130,-130,-130,-120,-130,-130,-125,-125,-120,-123,-130,-130
0,0,"Sun Apr 02, 2017",Boston,110,59%,-255,-333,-370,-420,-350,-380,-365,-340,-335,-420,-350,-335,-370,-,-343,-343,-343,-355,-345,-345,-380,-420,-345,-365,-330,-380,-325,-345,-350
1,0,"Sun Apr 02, 2017",New York,94,41%,+235,+292,+310,+330,+290,+290,+295,+275,+275,+330,+290,+270,+310,-,+283,+283,+283,+285,+275,+275,+300,+330,+278,+295,+270,+290,+268,+275,+275
2,1,"Sun Apr 02, 2017",Charlotte,113,36%,+180,+186,+175,+172,+175,+175,+180,+170,+175,+172,+175,+180,+175,-,+171,+173,+173,+175,+175,+175,+180,+172,+169,+185,+180,+175,+192,+175,+175
3,1,"Sun Apr 02, 2017",Oklahoma City,101,64%,-220,-208,-210,-205,-205,-210,-210,-200,-200,-205,-205,-210,-210,-,-201,-213,-213,-210,-210,-210,-220,-205,-196,-215,-220,-210,-204,-210,-210
4,2,"Sun Apr 02, 2017",Dallas,109,47%,+205,+222,+225,+218,+220,+230,+210,+225,+230,+218,+220,+225,+225,-,+216,+216,+216,+215,+205,+205,+230,+218,+218,+215,+230,+230,+232,+205,+230
5,2,"Sun Apr 02, 2017",Milwaukee,105,53%,-245,-250,-265,-265,-260,-270,-250,-265,-270,-265,-260,-265,-265,-,-256,-256,-256,-265,-255,-255,-285,-265,-265,-265,-270,-270,-252,-255,-280
6,3,"Sun Apr 02, 2017",Utah,103,46%,+175,+180,+178,+176,+190,+180,+180,+175,+185,+176,+190,+185,+178,-,+173,+173,+173,+175,+175,+175,+205,+176,+199,+185,+180,+180,+184,+175,+175
7,3,"Sun Apr 02, 2017",San Antonio,109,54%,-190,-200,-215,-210,-220,-220,-210,-205,-220,-210,-220,-215,-215,-,-208,-208,-208,-210,-215,-215,-255,-210,-240,-220,-220,-220,-195,-215,-210
8,4,"Sun Apr 02, 2017",Memphis,103,62%,-290,-290,-310,-305,-310,-300,-320,-320,-300,-305,-310,-310,-310,-,-312,-312,-312,-310,-310,-310,-310,-305,-305,-320,-340,-300,-286,-310,-315
9,4,"Sun Apr 02, 2017",L.A. Lakers,108,38%,+245,+256,+255,+249,+260,+250,+260,+260,+240,+249,+260,+255,+255,-,+252,+252,+252,+250,+250,+250,+250,+249,+249,+260,+280,+250,+260,+250,+255
10,5,"Sun Apr 02, 2017",Denver,116,47%,+160,+146,+150,+144,+150,+145,+145,+145,+145,+144,+150,+145,+150,-,+144,+144,+144,+145,+140,+140,+145,+144,+144,+145,+145,+145,+149,+140,+145
11,5,"Sun Apr 02, 2017",Miami,113,53%,-185,-162,-160,-165,-170,-165,-165,-165,-165,-165,-170,-165,-160,-,-164,-164,-164,-170,-165,-165,-170,-165,-165,-165,-165,-165,-159,-165,-165
12,6,"Sun Apr 02, 2017",Indiana,130,57%,+360,+330,+320,+317,+330,+300,+315,+320,+310,+317,+330,+295,+320,-,+320,+320,+320,+315,+300,+300,+345,+317,+317,+315,+310,+300,+345,+300,+310
13,6,"Sun Apr 02, 2017",Cleveland,135,43%,-450,-380,-390,-400,-400,-400,-395,-410,-400,-400,-400,-390,-390,-,-390,-390,-390,-410,-380,-380,-435,-400,-400,-395,-380,-400,-370,-380,-390
14,7,"Sun Apr 02, 2017",Atlanta,82,63%,-130,-163,-150,-160,-170,-155,-160,-150,-155,-160,-170,-155,-150,-,-165,-165,-165,-160,-150,-150,-175,-160,-155,-160,-150,-155,-161,-150,-155
15,7,"Sun Apr 02, 2017",Brooklyn,91,37%,+120,+147,+140,+140,+150,+135,+140,+130,+135,+140,+150,+135,+140,-,+145,+145,+145,+135,+125,+125,+150,+140,+135,+140,+130,+135,+149,+125,+135
16,8,"Sun Apr 02, 2017",Chicago,117,67%,+245,+318,+328,+317,+315,+290,+325,+300,+310,+317,+315,+290,+328,-,+312,+312,+312,+315,+315,+315,+310,+317,+317,+325,+320,+290,+330,+315,+320
17,8,"Sun Apr 02, 2017",New Orleans,110,33%,-290,-365,-365,-400,-375,-380,-405,-380,-400,-400,-375,-380,-365,-,-372,-372,-372,-410,-405,-405,-405,-400,-400,-405,-400,-380,-370,-405,-400
18,9,"Sun Apr 02, 2017",Philadelphia,105,56%,+525,+673,+660,+614,+635,+500,+605,+575,+600,+614,+635,+650,+660,-,+642,+642,+642,+495,+575,+575,+650,+614,+588,+605,+550,+500,+720,+575,+600
19,9,"Sun Apr 02, 2017",Toronto,113,44%,-750,-852,-840,-900,-850,-800,-855,-850,-800,-900,-850,-900,-840,-,-942,-942,-942,-690,-840,-840,-890,-900,-850,-855,-750,-800,-760,-840,-900
20,10,"Sun Apr 02, 2017",Washington,115,54%,+425,+423,+435,+416,+430,+400,+420,+410,+445,+416,+430,+415,+435,-,+402,+402,+402,+415,+375,+375,+425,+416,+416,+420,+425,+400,+440,+375,+425
21,10,"Sun Apr 02, 2017",Golden State,139,46%,-550,-500,-500,-550,-525,-600,-545,-550,-550,-550,-525,-525,-500,-,-522,-522,-522,-565,-495,-495,-555,-550,-550,-545,-550,-600,-480,-495,-550
22,11,"Sun Apr 02, 2017",Houston,123,43%,-660,-310,-300,-315,-330,-320,-350,-320,-330,-315,-330,-320,-300,-,-322,-322,-322,-330,-350,-350,-300,-315,-275,-350,-330,-320,-300,-350,-350
23,11,"Sun Apr 02, 2017",Phoenix,116,57%,+540,+273,+270,+256,+275,+260,+280,+260,+270,+256,+275,+260,+270,-,+262,+262,+262,+265,+280,+280,+245,+256,+226,+280,+270,+260,+280,+280,+275
0,0,"Sat Apr 01, 2017",L.A. Lakers,104,59%,+1100,+1198,+1300,+1041,+1175,+1100,+1200,+1000,-,+1041,+1175,+1300,+1300,-,+1244,-,-,-,-,-,+1045,+1041,+1041,+1150,+1400,+1100,+1450,-,+1200
1,0,"Sat Apr 01, 2017",L.A. Clippers,115,41%,-1700,-1800,-2150,-2000,-2000,-2300,-2100,-2500,-,-2000,-2000,-2150,-2150,-,-1900,-,-,-,-,-,-1745,-2000,-2000,-2050,-2500,-2300,-1700,-,-2400
2,1,"Sat Apr 01, 2017",Atlanta,104,47%,+165,+186,+190,+195,+190,+175,+195,+180,+185,+195,+190,+190,+190,-,+187,+187,+179,+190,+190,+190,+200,+195,+192,+195,+200,+175,+193,+190,+190
3,1,"Sat Apr 01, 2017",Chicago,106,53%,-190,-207,-210,-235,-220,-210,-230,-220,-220,-235,-220,-220,-210,-,-227,-227,-219,-235,-230,-230,-250,-235,-230,-230,-240,-210,-200,-230,-230
4,2,"Sat Apr 01, 2017",Orlando,111,59%,+135,+150,+160,+144,+145,+155,+150,+155,+155,+144,+145,+155,+160,-,+158,+158,+158,+150,+145,+145,+155,+144,+144,+145,+155,+155,+163,+145,+155
5,2,"Sat Apr 01, 2017",Brooklyn,121,41%,-155,-166,-170,-165,-165,-175,-170,-175,-175,-165,-165,-175,-170,-,-178,-178,-178,-180,-175,-175,-185,-165,-165,-165,-175,-175,-172,-175,-175
6,3,"Sat Apr 01, 2017",Sacramento,123,67%,+700,+651,+600,+664,+625,+600,+670,+600,+700,+664,+625,+650,+600,-,+598,-,-,-,+660,+660,+665,+664,+664,+670,+650,+600,+720,+660,+600
7,3,"Sat Apr 01, 2017",Minnesota,117,33%,-1100,-820,-900,-1000,-825,-1000,-920,-900,-1000,-1000,-825,-900,-900,-,-873,-,-,-,-1010,-1010,-965,-1000,-1000,-920,-850,-1000,-840,-1010,-900
8,4,"Sat Apr 01, 2017",Phoenix,117,57%,+700,+569,+500,+562,+560,+450,+565,+515,+550,+562,+560,+505,+500,-,+522,-,-,-,+545,+545,+510,+562,+506,+565,+500,+450,+590,+545,+525
9,4,"Sat Apr 01, 2017",Portland,130,43%,-1100,-700,-700,-800,-725,-700,-740,-730,-750,-800,-725,-680,-700,-,-747,-,-,-,-780,-780,-710,-800,-700,-740,-700,-700,-680,-780,-750
