,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
6,3,"Sat Feb 09, 2019",Charlotte,0,48%,-140,-117,-128,-125,-122,-130,-130,-125,-125,-125,-122,-133,-128,-121,-125,-125,-125,-125,-,-,-125,-125,-125,-130,-130,-130,-115,-,-125,-125.44,0.5563,0.5363,-115,0.5349,1,0,0.0026,0.003044999999999995,-115.6604,1.8646,1.8819,0.0222,0.0387,1.8473000000000002,0.02,0.0361
7,3,"Sat Feb 09, 2019",Atlanta,0,52%,+120,+106,+118,+105,+102,+110,+110,+105,+105,+105,+102,+113,+118,+105,+105,+105,+105,+105,-,-,+105,+105,+105,+110,+110,+110,+113,-,+105,107.48,0.4822,0.4622,118,0.4587,1,0,0.0076,0.006437288135593166,116.36,2.1636,2.1869,0.0166,0.0274,2.1403,0.0178,0.0311
24,12,"Sunday, February 10, 2019",Orlando,0,-,-,-123,-115,-123,+250,-123,-125,-120,-,-123,-120,-120,+250,-123,-118,-,-,-123,-120,-,-,-123,-120,-,-,-123,-125,-,-,-82.4737,0.521,0.501,250,0.2857,1,0,0.7535,0.3014,-100.4016,1.996,2.0159000000000002,0.0193,0.0329,1.9761,0.02,0.035
25,12,"Sunday, February 10, 2019",Atlanta,0,-,-,+103,+104,+103,-300,+103,+105,+100,-,+103,+100,+100,-300,+103,+102,-,-,+103,+100,-,-,+103,+100,-,-,+103,+105,-,-,60.0,0.5211,0.5011,105,0.4878,1,0,0.0273,0.025957142857142883,-100.4419,1.9956,2.0155000000000003,0.0193,0.0329,1.9756999999999998,0.02,0.035
