,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Average_Odds,Average_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal,Payout_if_Win,Expected_Value
0,0,"Tue Jan 22, 2019",Sacramento,0,37%,+450,+530,+510,+520,+500,+425,+530,-,+525,+520,+500,+485,+510,+239,+470,+485,+485,+565,-,-,+510,+520,+492,+530,+500,+425,+540,-,+475,491.2916666666667,0.1718966402445552,565,0.15037593984962405,0.1218966402445552,0,5.65,-0.1893873423737079
1,0,"Tue Jan 22, 2019",Toronto,0,63%,-675,-645,-615,-725,-650,-650,-705,-,-700,-725,-650,-635,-615,-345,-670,-685,-685,-825,-,-,-690,-725,-675,-705,-700,-650,-610,-,-650,-663.75,0.8669713691327493,-345,0.7752808988764045,0.8169713691327493,1,0.2898550724637681,0.05377466453354615
2,1,"Tue Jan 22, 2019",Portland,0,43%,+180,+151,+160,+148,+158,+165,+155,+155,+160,+148,+158,+155,+160,+150,+155,+155,+155,+150,-,-,+165,+148,+151,+155,+155,+165,+160,-,+155,155.68,0.3912653096669588,165,0.37735849056603776,0.34126530966695884,0,1.65,-0.09564692938255903
3,1,"Tue Jan 22, 2019",Oklahoma City,0,57%,-220,-168,-170,-170,-178,-190,-175,-175,-180,-170,-178,-175,-170,-175,-175,-175,-175,-180,-,-,-195,-170,-175,-175,-175,-190,-168,-,-175,-176.08,0.6375812437381243,-168,0.6268656716417911,0.5875812437381243,0,0.5952380952380952,-0.06266801594156368
4,2,"Tue Jan 22, 2019",L.A. Clippers,0,54%,+165,+140,+135,+131,+135,+125,+135,+130,+130,+131,+135,+130,+135,+109,+125,+120,+120,+130,-,-,+130,+131,+125,+125,+125,+125,+142,-,+130,129.16,0.4367669123113976,142,0.4132231404958678,0.3867669123113976,0,1.42,-0.06402407220641781
5,2,"Tue Jan 22, 2019",Dallas,0,46%,-205,-155,-145,-151,-155,-145,-155,-150,-150,-151,-155,-150,-145,-145,-145,-140,-140,-150,-,-,-150,-151,-145,-145,-145,-145,-153,-,-150,-148.44,0.597363751497166,-140,0.5833333333333334,0.547363751497166,0,0.7142857142857143,-0.0616621402905726
6,3,"Tue Jan 22, 2019",Minnesota,0,42%,-240,-173,-170,-170,-177,-180,-175,-175,-170,-170,-177,-175,-170,-154,-175,-175,-175,-180,-,-,-175,-170,-180,-175,-175,-180,-185,-,-175,-174.24,0.6351977082203398,-154,0.6062992125984252,0.5851977082203398,0,0.6493506493506493,-0.034803779948270774
7,3,"Tue Jan 22, 2019",Phoenix,0,58%,+200,+156,+160,+148,+157,+160,+155,+155,+150,+148,+157,+155,+160,+116,+155,+155,+155,+150,-,-,+150,+148,+155,+155,+155,+160,+158,-,+155,153.12,0.3955641025674658,160,0.3846153846153846,0.34556410256746584,0,1.6,-0.1015333333245888
8,4,"Tue Jan 22, 2019",Toronto,0,44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
9,4,"Tue Jan 22, 2019",Indiana,0,56%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-185,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
10,5,"Tue Jan 22, 2019",Cleveland,0,61%,+1500,+1586,+1550,+1520,-,-,+1480,-,-,+1520,+1600,+1400,-,+1567,-,-,-,-,-,-,-,+1520,+1520,+1480,-,-,+1500,-,+170,1416.3846153846155,0.0855201899386519,1600,0.058823529411764705,0.0355201899386519,0,16.0,-0.3961567710429177
11,5,"Tue Jan 22, 2019",Boston,0,39%,-3000,-2764,-2050,-4500,-,-,-2430,-,-,-4500,-3100,-2400,-,-4167,-,-,-,-,-,-,-,-4500,-4500,-2430,-,-,-1900,-,-200,-3033.923076923077,0.9441957894935136,-200,0.6666666666666666,0.8941957894935135,1,0.5,0.3412936842402703
12,6,"Tue Jan 22, 2019",Orlando,0,63%,-,+1500,-,+1500,+1600,+1500,-,-,-,+1500,-,-,+1550,+1500,-,-,-,+1500,-,-,-,+1500,-,-,-,+1500,-,-,+1450,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
13,6,"Tue Jan 22, 2019",Brooklyn,0,37%,-,-2000,-,-2000,-3100,-2000,-,-,-,-2000,-,-,-2050,-2000,-,-,-,-2000,-,-,-,-2000,-,-,-,-2000,-,-,-3000,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
14,7,"Tue Jan 22, 2019",Houston,0,100%,-310,-300,-290,-310,-,-320,-320,-300,-,-310,-310,-300,-,-314,-330,-,-,-315,-,-,-,-310,-310,-320,-,-320,-292,-,-,-310.05882352941177,0.7559721568584786,-290,0.7435897435897436,0.7059721568584786,0,0.3448275862068966,-0.05058916836273569
15,7,"Tue Jan 22, 2019",New York,0,0%,+255,+264,+260,+252,-,+260,+260,+250,-,+252,+260,+250,-,+260,+270,-,-,+255,-,-,-,+252,+252,+260,-,+260,+270,-,-,258.05882352941177,0.2793642710792669,270,0.27027027027027023,0.22936427107926693,0,2.7,-0.15135219700671232
16,8,"Tue Jan 22, 2019",L.A. Clippers,0,100%,-,-,-,-,-,-,-,-,-,-,-,-,+1500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+220,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
17,8,"Tue Jan 22, 2019",Miami,0,0%,-,-,-,-,-,-,-,-,-,-,-,-,-2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-270,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
18,9,"Tue Jan 22, 2019",San Antonio,0,-,-,-,-,-,-310,-,-,-,-330,-,-,-,-290,-,-,-,-,-,-,-,-315,-,-,-,-300,-,-,-,-315,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
19,9,"Tue Jan 22, 2019",Philadelphia,0,-,-,-,-,-,+260,-,-,-,+270,-,-,-,+260,-,-,-,-,-,-,-,+250,-,-,-,+250,-,-,-,+255,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
20,10,"Tue Jan 22, 2019",Detroit,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
21,10,"Tue Jan 22, 2019",New Orleans,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
22,11,"Tue Jan 22, 2019",Atlanta,0,-,+125,+110,+115,+115,-,+110,+110,+110,-,+115,+110,+110,-,+108,+110,-,-,+110,-,-,-,+115,+115,+110,-,+110,+112,-,+180,115.27777777777777,0.4665053532429574,180,0.35714285714285715,0.4165053532429574,1,1.8,0.16621498908028076
23,11,"Tue Jan 22, 2019",Chicago,0,-,-145,-122,-125,-135,-,-130,-130,-130,-,-135,-130,-130,-,-125,-130,-,-,-130,-,-,-,-135,-135,-130,-,-130,-121,-,-220,-134.61111111111111,0.5711389352801399,-121,0.5475113122171945,0.5211389352801399,0,0.8264462809917356,-0.04816772977759576
24,12,"Tue Jan 22, 2019",Charlotte,0,-,-102,+102,-103,-105,-,-,-105,-,-,-105,-,-,-,-100,-,-,-,+100,-,-,-,-105,-105,-105,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
25,12,"Tue Jan 22, 2019",Memphis,0,-,-118,-112,-117,-115,-,-,-115,-,-,-115,-,-,-,-115,-,-,-,-120,-,-,-,-115,-115,-115,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
26,13,"Tue Jan 22, 2019",Denver,0,-,+130,+141,+145,+135,-,+130,+135,+140,-,+135,+135,+140,-,+138,+138,-,-,+135,-,-,-,+135,+135,+135,-,+130,+143,-,+165,138.33333333333334,0.4199706751822484,165,0.37735849056603776,0.3699706751822484,0,1.65,-0.019577710767041734
27,13,"Tue Jan 22, 2019",Utah,0,-,-150,-156,-155,-155,-,-150,-155,-160,-,-155,-155,-160,-,-161,-158,-,-,-160,-,-,-,-155,-155,-155,-,-150,-153,-,-185,-157.38888888888889,0.6111889540298692,-150,0.6,0.5611889540298691,0,0.6666666666666666,-0.06468507661688483
28,14,"Tue Jan 22, 2019",Golden State,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
29,14,"Tue Jan 22, 2019",Washington,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
30,15,"Tue Jan 22, 2019",New Orleans,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+165,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
31,15,"Tue Jan 22, 2019",Oklahoma City,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-185,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
32,16,"Tue Jan 22, 2019",Portland,0,-,-,-,-,-,+110,-,-,-,+110,-,-,-,+115,-,-,-,-,-,-,-,+110,-,-,-,+110,-,-,-,+110,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
33,16,"Tue Jan 22, 2019",Phoenix,0,-,-,-,-,-,-130,-,-,-,-130,-,-,-,-125,-,-,-,-,-,-,-,-130,-,-,-,-130,-,-,-,-130,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
34,17,"Tue Jan 22, 2019",Minnesota,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-105,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
35,17,"Tue Jan 22, 2019",L.A. Lakers,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-115,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
