,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds,Kelly_Long,Kelly_Short
1,0,"Fri Jan 25, 2019",Orlando,0,47%,+141,+140,+330,-,-,-160,-160,-160,-160,-160,-158,-160,-155,-161,-163,-163,-163,-165,-,-,-160,-160,-155,-160,-155,-160,-156,-,-160,-125.3913043478261,0.5896773227959863,0.5496773227959862,330,0.23255813953488372,1,0,3.3,-1,1,-3.3,1.3636124880227407,-1.3636124880227407,-119.66959768058803,0.4132159054614366,-1.3636124880227407
2,1,"Fri Jan 25, 2019",Miami,0,50%,+325,+345,+335,-,-,-420,-425,-400,-400,-400,-400,-400,-385,-408,-408,-408,-408,-450,-,-,-445,-400,-400,-425,-400,-420,-370,-,-400,-343.1304347826087,0.7529295162355016,0.7129295162355016,345,0.2247191011235955,1,0,3.45,-1,1,-3.45,2.1725363472479824,-2.1725363472479824,-243.47696668342573,0.629720680361734,-2.1725363472479824
5,2,"Fri Jan 25, 2019",Brooklyn,0,48%,+344,+330,+175,-,-,-450,-445,-460,-430,-420,-405,-420,-400,-418,-423,-423,-423,-435,-,-,-445,-420,-480,-445,-430,-450,-385,-,-450,-371.82608695652175,0.7668360537536875,0.7268360537536874,330,0.23255813953488372,1,0,3.3,-1,1,-3.3,2.125395031140856,-2.125395031140856,-260.86325674276384,0.6440591003457139,-2.125395031140856
6,3,"Fri Jan 25, 2019",Toronto,0,51%,+100,+140,+161,-,-,-160,-170,-160,-160,-160,-163,-155,-150,-256,-164,-164,-164,-165,-,-,-175,-160,-160,-165,-160,-160,-153,-,-160,-138.3913043478261,0.6028105140456563,0.5628105140456563,161,0.38314176245210724,1,0,1.61,-1,1,-1.61,0.468935441659163,-0.468935441659163,-126.20957994124174,0.291264249477741,-0.468935441659163
7,3,"Fri Jan 25, 2019",Houston,0,49%,+141,+140,+675,-,-,+140,+150,+140,+140,+140,+143,+135,+140,+186,+144,+144,+144,+140,-,-,+150,+140,+140,+145,+140,+140,+139,-,+140,166.7391304347826,0.3987747243574686,0.3587747243574686,675,0.12903225806451613,1,0,6.75,-1,1,-6.75,1.7805041137703816,-1.7805041137703816,182.300964017664,0.2637783872252417,-1.7805041137703816
8,4,"Fri Jan 25, 2019",Sacramento,0,52%,+100,+120,+975,-,-,+115,+115,+115,+120,+115,+110,+112,+120,+155,+115,+115,+115,+115,-,-,+105,+115,+115,+115,+115,+115,+119,-,+110,153.95652173913044,0.44625361123069057,0.4062536112306906,975,0.09302325581395349,1,0,9.75,-1,1,-9.75,3.3672263207299236,-3.3672263207299236,149.07469122798625,0.3453565457158896,-3.3672263207299236
9,4,"Fri Jan 25, 2019",Memphis,0,48%,+122,+115,+455,-,-,-135,-135,-135,-140,-135,-130,-132,-130,-208,-135,-135,-135,-135,-,-,-125,-135,-135,-135,-135,-135,-124,-,-130,-100.17391304347827,0.554164532590102,0.514164532590102,455,0.1801801801801802,1,0,4.55,-1,1,-4.55,1.853613155875066,-1.853613155875066,-103.75588216638823,0.40738750678572877,-1.853613155875066
10,5,"Fri Jan 25, 2019",L.A. Clippers,0,57%,+1802,+175,+165,-,-,-220,-195,-200,-190,-210,-205,-200,-190,-250,-210,-210,-210,-200,-,-,-215,-210,-205,-195,-210,-220,-188,-,-200,-173.6086956521739,0.6466705150207721,0.6066705150207721,175,0.36363636363636365,1,0,1.75,-1,1,-1.75,0.6683439163071232,-0.6683439163071232,-151.21546627953856,0.38191080931835614,-0.6683439163071232
12,6,"Fri Jan 25, 2019",Detroit,0,48%,+150,+175,+475,-,-,+170,+175,+170,+175,+176,+161,+170,+175,+160,+170,+170,+170,+170,-,-,+185,+176,+170,+175,+170,+170,+166,-,+170,184.52173913043478,0.36023394811163395,0.32023394811163397,475,0.17391304347826086,1,0,4.75,-1,1,-4.75,0.8413452016418953,-0.8413452016418953,216.51713599222364,0.17712530560882006,-0.8413452016418953
13,6,"Fri Jan 25, 2019",Dallas,0,52%,+164,+176,-,-,-,-200,-205,-200,-210,-210,-181,-200,-190,-187,-200,-200,-200,-200,-,-,-225,-210,-200,-205,-200,-200,-179,-,-200,-183.0,0.6525875344851687,0.6125875344851687,176,0.3623188405797102,1,0,1.76,-1,1,-1.76,0.6907415951790655,-0.6907415951790655,-155.02237735253098,0.3924668154426509,-0.6907415951790655
15,7,"Fri Jan 25, 2019",Milwaukee,0,56%,+592,+614,-,-,-,-900,-780,-900,-750,-900,-900,-750,-710,-455,-775,-,-,-800,-,-,-780,-900,-900,-780,-800,-900,-720,-,-800,-729.3,0.8495322788208967,0.8095322788208966,614,0.1400560224089636,1,0,6.14,-1,1,-6.14,4.780060470781202,-4.780060470781202,-416.6895534687092,0.7785114773259287,-4.780060470781202
17,8,"Fri Jan 25, 2019",Denver,0,43%,+1087,+1098,-,-,-,-2000,-1625,-1800,-1700,-2200,-1500,-1600,-1450,-227,-1988,-2740,-,-,-,-,-1910,-2200,-2200,-1625,-,-2000,-1300,-,-2000,-1629.842105263158,0.8889535529482384,0.8489535529482384,1098,0.08347245409015025,1,0,10.98,-1,1,-10.98,9.170463564319896,-9.170463564319896,-551.027462808174,0.8351970459307737,-9.170463564319896
19,9,"Fri Jan 25, 2019",Utah,0,42%,+449,+459,-,-,-,-620,-625,-600,-600,-620,-560,-580,-560,-595,-600,-730,-,-600,-,-,-600,-620,-470,-625,-600,-620,-530,-,-600,-547.4285714285714,0.8237546928793307,0.7837546928793306,459,0.17889087656529518,1,0,4.59,-1,1,-4.59,3.381188733195458,-3.381188733195458,-355.33115794947145,0.7366424255327796,-3.381188733195458
22,11,"Saturday, January 26, 2019",Indiana,0,-,+115,+140,-,-,-,-180,-185,-200,-,-175,-190,-185,-105,-200,-191,-,-,-190,-,-,-,-175,-175,-185,-,-180,-190,-,+100,-145.05882352941177,0.6191907863237945,0.5791907863237945,140,0.4166666666666667,1,0,1.4,-1,1,-1.4,0.39005788717710677,-0.39005788717710677,-134.9386101312739,0.27861277655507627,-0.39005788717710677
23,11,"Saturday, January 26, 2019",Memphis,0,-,+136,+123,-,-,-,+160,+160,+170,-,+151,+165,+165,-125,+170,+161,-,-,+160,-,-,-,+151,+151,+160,-,+160,+176,-,-120,125.76470588235294,0.40639146857477504,0.36639146857477506,176,0.3623188405797102,1,0,1.76,-1,1,-1.76,0.011240453266379236,-0.011240453266379236,176.39076165383833,0.006386621174079111,-0.011240453266379236
24,12,"Saturday, January 26, 2019",Golden State,0,-,+245,+330,-,-,-,-160,-150,-155,-189,-144,-159,-155,-175,-156,-150,-,-,-150,-,-,-180,-144,-144,-150,-,-160,-149,-,-180,-132.6315789473684,0.5919595156379819,0.5519595156379818,330,0.23255813953488372,1,0,3.3,-1,1,-3.3,1.3734259172433219,-1.3734259172433219,-120.77854544947704,0.41618967189191575,-1.3734259172433219
25,12,"Saturday, January 26, 2019",Boston,0,54%,+425,+470,-,-,-,+140,+130,+135,+164,+123,+139,+135,+165,+133,+130,-,-,+130,-,-,+150,+123,+123,+130,-,+140,+138,-,+160,155.68421052631578,0.4080411624530765,0.3680411624530765,470,0.17543859649122806,1,0,4.7,-1,1,-4.7,1.0978346259825362,-1.0978346259825362,175.14291336367714,0.23358183531543322,-1.0978346259825362
29,14,"Saturday, January 26, 2019",Portland,0,96%,-,-,-,-,-,-700,-615,-630,-,-650,-600,-580,-550,-625,-,-,-,-640,-,-,-430,-650,-650,-615,-,-700,-560,-,-450,-602.8125,0.8559032844026815,0.8159032844026815,-430,0.8113207547169812,1,0,0.23255813953488372,-1,1,-0.23255813953488372,0.005648234263770147,-0.005648234263770147,-434.5026896278825,0.02428740733421163,-0.005648234263770147
