,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds,Kelly_Long,Kelly_Short
7,3,"Fri Jan 25, 2019",Houston,0,49%,+100,+141,+140,+140,+143,+140,+150,+140,+140,+140,+143,+135,+140,+186,+144,+144,+144,+140,-,-,+150,+140,+140,+145,+140,+140,+139,-,+140,143.36,0.4114365384761953,0.37143653847619534,186,0.34965034965034963,1,0,1.86,-1,1,-1.86,0.06230850004191868,-0.06230850004191868,169.2249944236674,0.03349919357092402,-0.06230850004191868
8,4,"Fri Jan 25, 2019",Sacramento,0,52%,+100,+122,+120,+115,+110,+115,+115,+115,+120,+115,+110,+112,+120,+155,+115,+115,+115,+115,-,-,+105,+115,+115,+115,+115,+115,+119,-,+110,116.52,0.46250268032810493,0.42250268032810495,155,0.3921568627450981,1,0,1.55,-1,1,-1.55,0.0773818348366676,-0.0773818348366676,136.68488901027214,0.049923764410753295,-0.0773818348366676
15,7,"Fri Jan 25, 2019",Milwaukee,0,56%,-650,-733,-710,-900,-900,-900,-780,-900,-750,-900,-900,-750,-710,-455,-775,-,-,-800,-,-,-780,-900,-900,-780,-800,-900,-720,-,-800,-801.8695652173913,0.8872645541164271,0.8472645541164271,-455,0.8198198198198198,1,0,0.21978021978021978,-1,1,-0.21978021978021978,0.033476544032125355,-0.033476544032125355,-554.7268672409413,0.15231827534617037,-0.033476544032125355
17,8,"Fri Jan 25, 2019",Denver,0,43%,-1475,-1571,-1450,-2200,-1500,-2000,-1625,-1800,-1700,-2200,-1500,-1600,-1450,-227,-1988,-2740,-,-,-,-,-1910,-2200,-2200,-1625,-,-2000,-1300,-,-2000,-1763.0,0.9352866480671082,0.8952866480671081,-227,0.6941896024464832,1,0,0.44052863436123346,-1,1,-0.44052863436123346,0.2896860525019575,-0.2896860525019575,-854.9880521835214,0.6575873391794436,-0.2896860525019575
22,11,"Fri Jan 25, 2019",Indiana,0,62%,-145,-188,-175,-175,-,-180,-185,-190,-,-175,-180,-185,-105,-191,-,-,-,-190,-,-,-,-175,-175,-185,-,-180,-185,-,+100,-162.16666666666666,0.6299197752272856,0.5899197752272856,100,0.5,1,0,1.0,-1,1,-1.0,0.17983955045457112,-0.17983955045457112,-143.8547239273112,0.17983955045457112,-0.17983955045457112
25,12,"Fri Jan 25, 2019",Boston,0,4%,+115,+137,+140,+123,+160,+135,+130,+135,+164,+123,+139,+135,+165,+134,-,-,-,+135,-,-,+150,+123,+123,+130,-,+135,+139,-,+160,138.8095238095238,0.419957238547971,0.37995723854797103,165,0.37735849056603776,1,0,1.65,-1,1,-1.65,0.00688668215212318,-0.00688668215212318,163.18751126351978,0.0041737467588625335,-0.00688668215212318
26,13,"Fri Jan 25, 2019",Philadelphia,0,33%,+245,-,+285,+330,-159,+325,-,-,-159,+330,-,+340,-150,-,-,-,-,-,-,-,-155,+330,+330,-,-,+325,-,-,-150,140.15384615384616,0.37872893426929,0.33872893426929,340,0.22727272727272727,1,0,3.4,-1,1,-3.4,0.4904073107848761,-0.4904073107848761,195.22131085648516,0.14423744434849298,-0.4904073107848761
27,13,"Fri Jan 25, 2019",Denver,0,67%,-290,-,-375,-420,+139,-450,-,-,+139,-420,-,-440,+140,-,-,-,-,-,-,-,+135,-420,-420,-,-,-450,-,-,+130,-208.6153846153846,0.6604017415458578,0.6204017415458578,140,0.4166666666666667,1,0,1.4,-1,1,-1.4,0.4889641797100587,-0.4889641797100587,-163.4364035473588,0.3492601283643276,-0.4889641797100587
29,14,"Fri Jan 25, 2019",Portland,0,-,-700,-575,-555,-650,-,-700,-615,-630,-,-650,-600,-580,-375,-617,-,-,-,-630,-,-,-430,-650,-650,-615,-,-700,-560,-,-450,-591.1578947368421,0.8526436318733652,0.8126436318733652,-375,0.7894736842105263,1,0,0.26666666666666666,-1,1,-0.26666666666666666,0.029348600372929246,-0.029348600372929246,-433.7421994239857,0.11005725139848467,-0.029348600372929246
