,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Net_Comm,Kelly_Long,Kelly_Short
2,1,"Sat Jan 26, 2019",Illinois,0,29%,-,+360,+364,+355,+245,-,+4230,+1400,+360,-,-,+2750,+360,-,-,-,+360,-,-,-,+360,-,-,+4105,+360,-,-,-,+360,1140.642857142857,0.17110871079189696,0.13110871079189695,4230,0.023094688221709007,1,0,42.3,-1,1,-42.3,4.677007177289138,-4.677007177289138,662.725828024696,675.9803445851899,0.11056754556239097,-4.677007177289138
3,1,"Sat Jan 26, 2019",(13) Maryland,0,71%,-,-450,-464,-400,-290,-,-8230,-5000,-450,-,-,-6000,-450,-,-,-,-450,-,-,-,-450,-,-,-8105,-450,-,-,-,-450,-2259.9285714285716,0.8595259805864163,0.8195259805864162,-290,0.7435897435897436,1,0,0.3448275862068966,-1,1,-0.3448275862068966,0.1021211463058701,-0.1021211463058701,-454.096375339404,-445.1925248425529,0.2961513242870233,-0.1021211463058701
4,2,"Sat Jan 26, 2019",(24) Iowa State,0,51%,-,+2500,-,+2750,+334,+155,+150,+145,+350,+148,+152,+145,+334,+136,+148,+148,+342,+145,-,-,+350,+148,+148,+150,+334,+155,-,-,+350,422.4782608695652,0.31753005530437106,0.2775300553043711,2750,0.03508771929824561,1,0,27.5,-1,1,-27.5,6.909606576174576,-6.909606576174576,260.32133489228255,265.5277615901282,0.25125842095180273,-6.909606576174576
5,2,"Sat Jan 26, 2019",Georgia Tech,0,49%,-,-5000,-,-6000,-425,-175,-170,-165,-500,-170,-172,-165,-425,-166,-168,-168,-459,-170,-,-,-450,-170,-170,-170,-425,-175,-,-,-500,-719.9130434782609,0.7175852284914512,0.6775852284914512,-165,0.6226415094339622,1,0,0.6060606060606061,-1,1,-0.6060606060606061,0.08824294272869437,-0.08824294272869437,-210.15948658961645,-206.03871234276124,0.14560085550234572,-0.08824294272869437
6,3,"Sat Jan 26, 2019",(2) Duke,0,35%,-,+160,+139,+163,+405,-220,-,-200,+380,-220,-,-,+405,-220,-,-,+358,-220,-200,-,-,-220,-,-,+334,-220,-,-,+272,52.705882352941174,0.46844308212730273,0.42844308212730275,405,0.19801980198019803,1,0,4.05,-1,1,-4.05,1.1636375647428787,-1.1636375647428787,133.4032317746401,136.0712964101329,0.2873179172204639,-1.1636375647428787
7,3,"Sat Jan 26, 2019",Florida,0,65%,-,-185,-163,-173,-500,+180,-,+170,-505,+180,-,-,-500,+180,-,-,-443,+180,+170,-,-,+180,-,-,-425,+180,-,-,-,-92.125,0.5570582090506224,0.5170582090506224,180,0.35714285714285715,1,0,1.8,-1,1,-1.8,0.44776298534174275,-0.44776298534174275,-107.06429195828713,-104.96499211596777,0.24875721407874596,-0.44776298534174275
8,4,"Sat Jan 26, 2019",Alabama,0,54%,-,+150,+145,+150,-,+345,+325,+320,+350,+345,+317,+305,+320,+345,+283,+326,+360,+345,+315,-,-,+345,+317,+317,+380,+345,+325,-,-,307.60869565217394,0.25453668388337436,0.21453668388337435,380,0.20833333333333334,1,0,3.8,-1,1,-3.8,0.02977608264019682,-0.02977608264019682,366.1207500268888,373.4431650274266,0.007835811221104426,-0.02977608264019682
9,4,"Sat Jan 26, 2019",Baylor,0,46%,-,-170,-170,-160,-,-430,-450,-400,-450,-430,-400,-365,-420,-430,-368,-401,-440,-430,-410,-,-,-430,-400,-400,-505,-430,-450,-,-,-388.6521739130435,0.7839097181264423,0.7439097181264422,-160,0.6153846153846154,1,0,0.625,-1,1,-0.625,0.20885329195546865,-0.20885329195546865,-290.48728935904757,-284.791460155929,0.33416526712874983,-0.20885329195546865
10,5,"Sat Jan 26, 2019",Colgate,0,47%,-,+345,+303,+335,-118,+250,+250,+250,+380,+245,+245,+250,+355,+238,+250,+250,+363,+245,-,-,+360,+245,+245,+250,+330,+250,-,-,+325,268.375,0.27517562467939083,0.23517562467939082,380,0.20833333333333334,1,0,3.8,-1,1,-3.8,0.12884299846107583,-0.12884299846107583,325.2141357605728,331.71841847578423,0.033906052226598905,-0.12884299846107583
11,5,"Sat Jan 26, 2019",Texas-Arlington,0,53%,-,-430,-376,-375,-102,-300,-310,-300,-480,-300,-290,-300,-400,-302,-300,-300,-438,-305,-,-,-470,-300,-300,-310,-420,-300,-,-,-425,-338.875,0.7620527536844012,0.7220527536844011,-102,0.504950495049505,1,0,0.9803921568627451,-1,1,-0.9803921568627451,0.42994761023773553,-0.42994761023773553,-259.7805026873829,-254.68676734057152,0.43854656244249024,-0.42994761023773553
