,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Thu Feb 07, 2019",Minnesota,0,57%,+115,+124,+115,+115,+112,+110,+110,+115,+110,+115,+112,+110,+115,+121,+115,+115,+115,+115,-,-,+110,+115,+115,+110,+115,+110,+123,-,+115,114.28,0.4668,0.4468,124,0.4464,1,0,0.0008,0.0006709677419354386,123.81,2.2381,2.2629,0.0156,0.0254,2.2133000000000003,0.0168,0.0287
1,0,"Thu Feb 07, 2019",Orlando,0,43%,-155,-137,-125,-135,-132,-130,-130,-135,-130,-135,-132,-130,-125,-141,-135,-135,-135,-135,-,-,-130,-135,-135,-130,-135,-130,-133,-,-135,-132.8,0.5703,0.5503,-125,0.5556,0,1,-0.0095,0.0,-122.3691,1.8172,1.8335,0.0234,0.0413,1.8009,0.02,0.0365
2,1,"Thu Feb 07, 2019",L.A. Clippers,0,48%,+190,+232,+235,+222,+225,+220,+220,+220,+225,+222,+225,+225,+235,+228,+230,+230,+230,+225,-,-,+230,+222,+222,+220,+220,+220,+236,-,+220,225.56,0.3072,0.28719999999999996,236,0.2976,0,1,-0.035,0.0,248.19,3.4819,3.5315,0.0078,0.0111,3.4323,0.0083,0.012
3,1,"Thu Feb 07, 2019",Indiana,0,52%,-270,-262,-255,-270,-265,-270,-270,-260,-270,-270,-265,-265,-255,-274,-270,-270,-270,-275,-,-,-280,-270,-270,-270,-260,-270,-254,-,-270,-267.2,0.7276,0.7076,-254,0.7175,0,1,-0.0138,0.0,-242.0136,1.4132,1.4215,0.0453,0.0875,1.4049,0.02,0.0413
4,2,"Thu Feb 07, 2019",Toronto,0,89%,-425,-395,-385,-400,-400,-420,-435,-420,-420,-400,-400,-400,-385,-418,-418,-418,-418,-430,-,-,-425,-400,-400,-435,-450,-420,-390,-,-425,-412.28,0.8046,0.7846,-385,0.7938,0,1,-0.0116,0.0,-364.2987,1.2745,1.28,0.0666,0.1319,1.2690000000000001,0.02,0.0436
5,2,"Thu Feb 07, 2019",Atlanta,0,11%,+320,+342,+345,+317,+330,+310,+345,+330,+320,+317,+330,+300,+345,+337,+343,+343,+343,+330,-,-,+330,+317,+317,+345,+350,+310,+365,-,+325,331.44,0.2321,0.2121,365,0.2151,0,1,-0.0137,0.0,371.48,4.7148,4.7890999999999995,0.0053,0.0069,4.6405,0.0055,0.0073
6,3,"Thu Feb 07, 2019",Memphis,0,61%,+975,+914,+1075,+912,+875,+800,+950,+825,+950,+912,+875,+950,+1075,+903,+913,-,-,+900,-,-,+900,+912,+912,+950,-,+800,+980,-,+900,917.4091,0.0987,0.07869999999999999,1075,0.0851,0,1,-0.0753,0.0,1170.65,12.7065,12.9406,0.0017,0.0019,12.4724,0.0017,0.002
7,3,"Thu Feb 07, 2019",Oklahoma City,0,39%,-1725,-1247,-1350,-1600,-1300,-1600,-1350,-1700,-1400,-1600,-1300,-1450,-1350,-1471,-1513,-,-,-1500,-,-,-1585,-1600,-1600,-1350,-,-1600,-1200,-,-1500,-1462.0909,0.9355,0.9155,-1200,0.9231,0,1,-0.0082,0.0,-1083.4236,1.0923,1.0941,0.1749,0.3291,1.0905,0.02,0.0474
8,4,"Thu Feb 07, 2019",L.A. Lakers,0,9%,+250,+319,+325,+317,+300,+285,+320,+310,+310,+317,+300,+290,+325,+314,+326,+326,+326,+315,-,-,+315,+317,+317,+320,+300,+285,+325,-,+300,312.16,0.2429,0.22290000000000001,326,0.2347,0,1,-0.0504,0.0,348.63,4.4863,4.556,0.0056,0.0074,4.4166,0.0059,0.0079
9,4,"Thu Feb 07, 2019",Boston,0,91%,-325,-366,-360,-400,-360,-370,-400,-390,-400,-400,-360,-380,-360,-386,-401,-401,-401,-410,-,-,-410,-400,-400,-400,-360,-370,-360,-,-380,-385.0,0.7935,0.7735,-360,0.7826,0,1,-0.0116,0.0,-341.5301,1.2928,1.2987,0.0628,0.1239,1.2869,0.0201,0.0433
10,5,"Thu Feb 07, 2019",San Antonio,0,37%,+175,+206,+215,+211,+200,+210,+205,+200,+220,+211,+200,+205,+215,+203,+210,+210,+210,+205,-,-,+205,+211,+211,+205,+200,+210,+208,-,+210,207.84,0.3249,0.3049,220,0.3125,0,1,-0.0243,0.0,227.98,3.2798,3.3254,0.0085,0.0123,3.2342,0.009,0.0133
11,5,"Thu Feb 07, 2019",Portland,0,63%,-225,-231,-235,-255,-240,-250,-245,-240,-260,-255,-240,-245,-235,-240,-250,-250,-250,-255,-,-,-255,-255,-255,-245,-240,-250,-228,-,-250,-246.16,0.7109,0.6909,-228,0.6951,0,1,-0.0061,0.0,-223.5136,1.4474,1.4563,0.0419,0.0804,1.4385,0.02,0.0407
12,6,"Friday, February 08, 2019",Denver,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
13,6,"Friday, February 08, 2019",Philadelphia,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
