,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Thu Feb 07, 2019",Minnesota,0,58%,+115,+124,+115,+115,+112,+110,+110,+115,+110,+115,+112,+110,+115,+117,+115,+115,+115,+115,-,-,+110,+115,+115,+110,+115,+110,+126,-,+115,114.24,0.4669,0.44689999999999996,126,0.4425,1,0,0.01,0.00793174603174599,123.76,2.2376,2.2624,0.0156,0.0255,2.2128,0.0168,0.0288
1,0,"Thu Feb 07, 2019",Orlando,0,42%,-155,-137,-125,-135,-132,-130,-130,-135,-130,-135,-132,-130,-125,-137,-135,-135,-135,-135,-,-,-130,-135,-135,-130,-135,-130,-133,-,-135,-132.64,0.5701,0.5501,-125,0.5556,0,1,-0.0098,0.0,-122.2643,1.8179,1.8343,0.0235,0.0413,1.8014999999999999,0.02,0.0365
2,1,"Thu Feb 07, 2019",L.A. Clippers,0,50%,+190,+232,+235,+222,+225,+220,+220,+220,+225,+222,+225,+225,+235,+228,+230,+230,+230,+225,-,-,+230,+222,+222,+220,+220,+220,+238,-,+220,225.64,0.3072,0.28719999999999996,238,0.2959,0,1,-0.0293,0.0,248.19,3.4819,3.5315,0.0078,0.0111,3.4323,0.0083,0.012
3,1,"Thu Feb 07, 2019",Indiana,0,50%,-270,-262,-255,-270,-265,-270,-270,-260,-270,-270,-265,-265,-255,-274,-270,-270,-270,-275,-,-,-280,-270,-270,-270,-260,-270,-256,-,-270,-267.28,0.7277,0.7077,-255,0.7183,0,1,-0.0148,0.0,-242.1308,1.413,1.4213,0.0453,0.0875,1.4047,0.02,0.0413
4,2,"Thu Feb 07, 2019",Toronto,0,88%,-425,-395,-385,-400,-400,-420,-435,-420,-420,-400,-400,-400,-385,-418,-418,-418,-418,-430,-,-,-425,-400,-400,-435,-450,-420,-390,-,-425,-412.28,0.8046,0.7846,-385,0.7938,0,1,-0.0116,0.0,-364.2987,1.2745,1.28,0.0666,0.1319,1.2690000000000001,0.02,0.0436
5,2,"Thu Feb 07, 2019",Atlanta,0,12%,+320,+342,+345,+317,+330,+310,+345,+330,+320,+317,+330,+300,+345,+337,+343,+343,+343,+330,-,-,+330,+317,+317,+345,+350,+310,+345,-,+325,330.64,0.2325,0.21250000000000002,350,0.2222,0,1,-0.0437,0.0,370.59,4.7059,4.779999999999999,0.0053,0.0069,4.6318,0.0055,0.0074
6,3,"Thu Feb 07, 2019",Memphis,0,61%,+975,+920,+1075,+912,+875,+800,+950,+825,+950,+912,+875,+950,+1075,+909,+913,-,-,+905,-,-,+900,+912,+912,+950,-,+800,+980,-,+900,918.1818,0.0986,0.07859999999999999,1075,0.0851,0,1,-0.0765,0.0,1172.26,12.7226,12.9571,0.0017,0.0019,12.4881,0.0017,0.002
7,3,"Thu Feb 07, 2019",Oklahoma City,0,39%,-1725,-1258,-1350,-1600,-1300,-1600,-1350,-1700,-1400,-1600,-1300,-1450,-1350,-1493,-1513,-,-,-1520,-,-,-1585,-1600,-1600,-1350,-,-1600,-1200,-,-1500,-1464.5,0.9356,0.9156,-1200,0.9231,0,1,-0.0081,0.0,-1084.5987,1.0922,1.094,0.1752,0.3295,1.0904,0.0199,0.0474
8,4,"Thu Feb 07, 2019",L.A. Lakers,0,10%,+250,+321,+325,+317,+300,+285,+320,+310,+310,+317,+300,+290,+325,+316,+326,+326,+326,+315,-,-,+315,+317,+317,+320,+300,+285,+325,-,+300,312.32,0.2428,0.2228,326,0.2347,0,1,-0.0509,0.0,348.83,4.4883,4.5581,0.0056,0.0074,4.4185,0.0059,0.0079
9,4,"Thu Feb 07, 2019",Boston,0,90%,-325,-370,-360,-400,-360,-370,-400,-390,-400,-400,-360,-380,-360,-391,-401,-401,-401,-410,-,-,-410,-400,-400,-400,-360,-370,-365,-,-380,-385.56,0.7938,0.7737999999999999,-360,0.7826,0,1,-0.0113,0.0,-342.1143,1.2923,1.2981,0.0627,0.124,1.2865,0.02,0.0432
