,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Sun Feb 10, 2019",Portland,0,49%,-150,-150,-150,-150,-157,-155,-155,-155,-155,-150,-157,-155,-150,-152,-159,-159,-159,-160,-,-,-160,-150,-150,-155,-160,-155,-145,-,-150,-154.12,0.6064,0.5864,-145,0.5918,0,1,-0.0092,0.0,-141.7836,1.7053,1.7194000000000003,0.027,0.0488,1.6912,0.02,0.0376
1,0,"Sun Feb 10, 2019",Dallas,0,51%,+120,+136,+140,+130,+137,+135,+135,+135,+135,+130,+137,+135,+140,+131,+139,+139,+139,+135,-,-,+140,+130,+130,+135,+140,+135,+138,-,+130,135.44,0.4248,0.4048,140,0.4167,0,1,-0.0285,0.0,147.04,2.4704,2.4997999999999996,0.0132,0.0208,2.441,0.0141,0.0231
2,1,"Sun Feb 10, 2019",L.A. Lakers,0,59%,+250,+248,+260,+249,+240,+240,+250,+250,+235,+249,+240,+250,+260,+244,+250,+250,+250,+250,-,-,+245,+249,+249,+250,+240,+240,+270,-,+235,247.72,0.2877,0.2677,270,0.2703,0,1,-0.0095,0.0,273.55,3.7355,3.7902,0.0071,0.0099,3.6807999999999996,0.0075,0.0107
3,1,"Sun Feb 10, 2019",Philadelphia,0,41%,-300,-280,-290,-305,-285,-290,-310,-300,-290,-305,-285,-300,-290,-292,-310,-310,-310,-310,-,-,-305,-305,-305,-310,-280,-290,-282,-,-290,-297.16,0.748,0.728,-280,0.7368,0,1,-0.012,0.0,-267.666,1.3736,1.3811,0.0499,0.0971,1.3660999999999999,0.02,0.0419
4,2,"Sun Feb 10, 2019",Phoenix,0,45%,+270,+335,+365,+337,+345,+325,+365,+330,+330,+337,+345,+330,+365,+330,+353,+353,+353,+340,-,-,+355,+337,+337,+365,+320,+325,+375,-,+320,342.88,0.2261,0.2061,375,0.2105,0,1,-0.021,0.0,385.2,4.852,4.929,0.0051,0.0066,4.775,0.0053,0.007
5,2,"Sun Feb 10, 2019",Sacramento,0,55%,-360,-387,-410,-430,-415,-450,-465,-420,-430,-430,-415,-430,-410,-410,-428,-428,-428,-440,-,-,-470,-430,-430,-465,-400,-450,-380,-,-400,-426.04,0.8096,0.7896,-380,0.7917,0,1,-0.0026,0.0,-375.2345,1.2665,1.2718,0.0686,0.1358,1.2612,0.0199,0.0436
6,3,"Sun Feb 10, 2019",Orlando,0,42%,-123,+107,+108,+100,+100,+105,+100,+100,+105,+100,+100,+103,+108,+101,-120,-120,-120,+100,-,-,+100,+100,+100,+100,+105,+105,+110,-,+105,76.08,0.4995,0.4795,110,0.4762,1,0,0.007,0.006318181818181829,108.55,2.0855,2.1071999999999997,0.0177,0.0297,2.0638,0.0192,0.0339
7,3,"Sun Feb 10, 2019",Atlanta,0,58%,+103,-118,-118,-120,-120,-125,-120,-120,-125,-120,-120,-123,-118,-117,+100,+100,+100,-120,-,-,-120,-120,-120,-120,-125,-125,-117,-,-125,-94.24,0.5413,0.5213,100,0.5,1,0,0.0426,0.04259999999999997,-108.8969,1.9183,1.9367,0.0209,0.0361,1.8999000000000001,0.02,0.0356
8,4,"Sun Feb 10, 2019",Miami,0,60%,+850,+899,+950,+980,+925,+750,+935,+725,+950,+980,+925,+850,+950,+888,-,-,-,+895,-,-,+1000,+980,+980,+935,+850,+750,+960,-,+900,907.1364,0.0999,0.0799,1000,0.0909,0,1,-0.1211,0.0,1151.56,12.5156,12.7459,0.0017,0.0019,12.2853,0.0018,0.002
9,4,"Sun Feb 10, 2019",Golden State,0,40%,-1300,-1221,-1150,-1800,-1400,-1400,-1335,-1300,-1500,-1800,-1400,-1300,-1150,-1449,-,-,-,-1490,-,-,-1625,-1800,-1800,-1335,-1400,-1400,-1100,-,-1500,-1438.8636,0.9338,0.9138,-1100,0.9167,0,1,-0.0031,0.0,-1060.4454,1.0943,1.0962,0.172,0.3242,1.0924,0.02,0.0475
