,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds
0,0,"Fri Jan 25, 2019",Washington,0,53%,+155,+141,+145,+140,+138,+140,+140,+140,+140,+140,+138,+140,+145,+138,+143,+143,+143,+140,-,-,+135,+140,+135,+140,+135,+140,+155,-,+140,140.56,0.4158035600115813,0.37580356001158133,155,0.3921568627450981,0,1,1.55,-1,1,-1.55,-0.0417009219704676,0.0417009219704676,166.0964680508036
1,0,"Fri Jan 25, 2019",Orlando,0,47%,-175,-156,-155,-160,-158,-160,-160,-160,-160,-160,-158,-160,-155,-161,-163,-163,-163,-165,-,-,-160,-160,-155,-160,-155,-160,-156,-,-160,-159.32,0.6143343788608339,0.5743343788608338,-155,0.607843137254902,0,1,0.6451612903225806,-1,1,-0.6451612903225806,-0.05512731219669276,0.05512731219669276,-134.92618391962225
2,1,"Fri Jan 25, 2019",Miami,0,50%,-400,-385,-385,-400,-400,-420,-425,-400,-400,-400,-400,-400,-385,-408,-408,-408,-408,-450,-,-,-445,-400,-400,-425,-400,-420,-370,-,-400,-405.68,0.8020161432320423,0.7620161432320423,-370,0.7872340425531915,0,1,0.2702702702702703,-1,1,-0.2702702702702703,-0.032033547786324695,0.032033547786324695,-320.19656861643085
3,1,"Fri Jan 25, 2019",Cleveland,0,50%,+325,+334,+345,+317,+330,+310,+335,+315,+310,+317,+330,+300,+345,+329,+333,+333,+333,+350,-,-,+340,+317,+317,+335,+320,+310,+340,-,+320,326.6,0.2346216864766661,0.19462168647666608,350,0.2222222222222222,0,1,3.5,-1,1,-3.5,-0.12420241085500261,0.12420241085500261,413.81735412096214
4,2,"Fri Jan 25, 2019",New York,0,52%,+450,+344,+355,+330,+335,+325,+355,+355,+330,+330,+335,+320,+355,+337,+348,+348,+348,+335,-,-,+340,+330,+371,+355,+340,+325,+350,-,+350,341.84,0.2264990984479969,0.1864990984479969,371,0.21231422505307856,0,1,3.71,-1,1,-3.71,-0.12158924630993473,0.12158924630993473,436.19562149188533
5,2,"Fri Jan 25, 2019",Brooklyn,0,48%,-600,-398,-400,-420,-405,-450,-445,-460,-430,-420,-405,-420,-400,-418,-423,-423,-423,-435,-,-,-445,-420,-480,-445,-430,-450,-385,-,-450,-427.2,0.8099961610409707,0.7699961610409707,-385,0.7938144329896908,0,1,0.2597402597402597,-1,1,-0.2597402597402597,-0.03000483609124474,0.03000483609124474,-334.77535180538024
6,3,"Fri Jan 25, 2019",Toronto,0,51%,-130,-156,-150,-160,-163,-160,-170,-160,-160,-160,-163,-155,-150,-256,-164,-164,-164,-165,-,-,-175,-160,-160,-165,-160,-160,-153,-,-160,-164.52,0.6203745948973524,0.5803745948973523,-150,0.6,0,1,0.6666666666666666,-1,1,-0.6666666666666666,-0.03270900850441283,0.03270900850441283,-138.30778304649658
7,3,"Fri Jan 25, 2019",Houston,0,49%,+100,+141,+140,+140,+143,+140,+150,+140,+140,+140,+143,+135,+140,+186,+144,+144,+144,+140,-,-,+150,+140,+140,+145,+140,+140,+139,-,+140,143.36,0.4114365384761953,0.37143653847619534,186,0.34965034965034963,1,0,1.86,-1,1,-1.86,0.06230850004191868,-0.06230850004191868,169.2249944236674
8,4,"Fri Jan 25, 2019",Sacramento,0,52%,+100,+122,+120,+115,+110,+115,+115,+115,+120,+115,+110,+112,+120,+155,+115,+115,+115,+115,-,-,+105,+115,+115,+115,+115,+115,+119,-,+110,116.52,0.46250268032810493,0.42250268032810495,155,0.3921568627450981,1,0,1.55,-1,1,-1.55,0.0773818348366676,-0.0773818348366676,136.68488901027214
9,4,"Fri Jan 25, 2019",Memphis,0,48%,-130,-135,-130,-135,-130,-135,-135,-135,-140,-135,-130,-132,-130,-208,-135,-135,-135,-135,-,-,-125,-135,-135,-135,-135,-135,-124,-,-130,-136.16,0.5751943497257543,0.5351943497257543,-124,0.5535714285714285,0,1,0.8064516129032258,-1,1,-0.8064516129032258,-0.03319730372121804,0.03319730372121804,-115.14368412044426
10,5,"Fri Jan 25, 2019",L.A. Clippers,0,57%,-4500,-191,-190,-210,-205,-220,-195,-200,-190,-210,-205,-200,-190,-250,-210,-210,-210,-200,-,-,-215,-210,-205,-195,-210,-220,-188,-,-200,-205.16,0.6717402918305723,0.6317402918305722,-188,0.6527777777777778,0,1,0.5319148936170213,-1,1,-0.5319148936170213,-0.03222763804678297,0.03222763804678297,-171.54749157079198
11,5,"Fri Jan 25, 2019",Chicago,0,43%,+1802,+172,+175,+176,+175,+180,+170,+170,+165,+176,+175,+170,+175,+182,+175,+175,+175,+170,-,-,+175,+176,+174,+170,+175,+180,+183,-,+170,174.36,0.36456510414203686,0.3245651041420369,183,0.35335689045936397,0,1,1.83,-1,1,-1.83,-0.08148075527803567,0.08148075527803567,208.1045951145684
12,6,"Fri Jan 25, 2019",Detroit,0,48%,+150,+164,+175,+176,+161,+170,+175,+170,+175,+176,+161,+170,+175,+160,+170,+170,+170,+170,-,-,+185,+176,+170,+175,+170,+170,+166,-,+170,170.8,0.3694286497963607,0.3294286497963607,185,0.3508771929824561,0,1,1.85,-1,1,-1.85,-0.06112834808037182,0.06112834808037182,203.55586881048717
13,6,"Fri Jan 25, 2019",Dallas,0,52%,-180,-182,-190,-210,-181,-200,-205,-200,-210,-210,-181,-200,-190,-187,-200,-200,-200,-200,-,-,-225,-210,-200,-205,-200,-200,-179,-,-200,-198.6,0.6646686748610721,0.624668674861072,-179,0.6415770609318997,0,1,0.5586592178770949,-1,1,-0.5586592178770949,-0.02635441180872017,0.02635441180872017,-166.4312656637046
14,7,"Fri Jan 25, 2019",Charlotte,0,44%,+475,+592,+575,+614,+675,+550,+580,+600,+550,+614,+675,+550,+575,+300,+525,-,-,+550,-,-,+580,+614,+614,+580,+600,+550,+620,-,+550,575.3478260869565,0.15034565829781507,0.11034565829781506,675,0.12903225806451613,0,1,6.75,-1,1,-6.75,-0.14482114819193326,0.14482114819193326,806.2431775077831
15,7,"Fri Jan 25, 2019",Milwaukee,0,56%,-650,-733,-710,-900,-900,-900,-780,-900,-750,-900,-900,-750,-710,-455,-775,-,-,-800,-,-,-780,-900,-900,-780,-800,-900,-720,-,-800,-801.8695652173913,0.8872645541164271,0.8472645541164271,-455,0.8198198198198198,1,0,0.21978021978021978,-1,1,-0.21978021978021978,0.033476544032125355,-0.033476544032125355,-554.7268672409413
16,8,"Fri Jan 25, 2019",Phoenix,0,57%,+800,+1087,+1150,+1098,+975,+950,+1075,+850,+975,+1098,+975,+1000,+1150,+165,+1138,+1290,-,-,-,-,+1100,+1098,+1098,+1075,-,+950,+1200,-,+1125,1028.2727272727273,0.0993651014339449,0.059365101433944904,1290,0.07194244604316546,0,1,12.9,-1,1,-12.9,-0.17482509006816582,0.17482509006816582,1584.49135240288
17,8,"Fri Jan 25, 2019",Denver,0,43%,-1475,-1571,-1450,-2200,-1500,-2000,-1625,-1800,-1700,-2200,-1500,-1600,-1450,-227,-1988,-2740,-,-,-,-,-1910,-2200,-2200,-1625,-,-2000,-1300,-,-2000,-1763.0,0.9352866480671082,0.8952866480671081,-227,0.6941896024464832,1,0,0.44052863436123346,-1,1,-0.44052863436123346,0.2896860525019575,-0.2896860525019575,-854.9880521835214
18,9,"Fri Jan 25, 2019",Minnesota,0,58%,+425,+449,+475,+459,+455,+410,+475,+440,+450,+459,+455,+455,+475,+456,+450,+505,-,+450,-,-,+445,+459,+364,+475,+450,+410,+490,-,+450,452.5416666666667,0.18146200167872098,0.14146200167872097,505,0.1652892561983471,0,1,5.05,-1,1,-5.05,-0.14415488984373825,0.14415488984373825,606.9036123715633
