,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds
0,0,"Fri Jan 25, 2019",Washington,0,53%,+155,+141,+145,+140,+138,+140,+140,+140,+140,+140,+138,+140,+145,+138,+143,+143,+143,+140,-,-,+135,+140,+135,+140,+135,+140,+155,-,+140,140.56,0.4158035600115813,155,0.3921568627450981,0.37580356001158133,0,1,1.55,-1,1,-1.55,-0.0417009219704676,0.0417009219704676,1.6609646805080358
1,0,"Fri Jan 25, 2019",Orlando,0,47%,-175,-156,-155,-160,-158,-160,-160,-160,-160,-160,-158,-160,-155,-161,-163,-163,-163,-165,-,-,-160,-160,-155,-160,-155,-160,-156,-,-160,-159.32,0.6143343788608339,-155,0.607843137254902,0.5743343788608338,0,1,0.6451612903225806,-1,1,-0.6451612903225806,-0.05512731219669276,0.05512731219669276,0.7411459888287631
2,1,"Fri Jan 25, 2019",Miami,0,50%,-400,-385,-385,-400,-400,-420,-425,-400,-400,-400,-400,-400,-385,-408,-408,-408,-408,-450,-,-,-445,-400,-400,-425,-400,-420,-370,-,-400,-405.68,0.8020161432320423,-370,0.7872340425531915,0.7620161432320423,0,1,0.2702702702702703,-1,1,-0.2702702702702703,-0.032033547786324695,0.032033547786324695,0.31230815630567166
3,1,"Fri Jan 25, 2019",Cleveland,0,50%,+325,+334,+345,+317,+330,+310,+335,+315,+310,+317,+330,+300,+345,+329,+333,+333,+333,+350,-,-,+340,+317,+317,+335,+320,+310,+340,-,+320,326.6,0.2346216864766661,350,0.2222222222222222,0.19462168647666608,0,1,3.5,-1,1,-3.5,-0.12420241085500261,0.12420241085500261,4.138173541209621
4,2,"Fri Jan 25, 2019",New York,0,52%,+450,+344,+355,+330,+335,+325,+355,+355,+330,+330,+335,+320,+355,+337,+348,+348,+348,+335,-,-,+340,+330,+371,+355,+340,+325,+350,-,+350,341.84,0.2264990984479969,371,0.21231422505307856,0.1864990984479969,0,1,3.71,-1,1,-3.71,-0.12158924630993473,0.12158924630993473,4.3619562149188535
5,2,"Fri Jan 25, 2019",Brooklyn,0,48%,-600,-398,-400,-420,-405,-450,-445,-460,-430,-420,-405,-420,-400,-418,-423,-423,-423,-435,-,-,-445,-420,-480,-445,-430,-450,-385,-,-450,-427.2,0.8099961610409707,-385,0.7938144329896908,0.7699961610409707,0,1,0.2597402597402597,-1,1,-0.2597402597402597,-0.03000483609124474,0.03000483609124474,0.2987077736180961
6,3,"Fri Jan 25, 2019",Toronto,0,51%,-130,-156,-150,-160,-163,-160,-170,-160,-160,-160,-163,-155,-150,-256,-164,-164,-164,-165,-,-,-175,-160,-160,-165,-160,-160,-153,-,-160,-164.52,0.6203745948973524,-150,0.6,0.5803745948973523,0,1,0.6666666666666666,-1,1,-0.6666666666666666,-0.03270900850441283,0.03270900850441283,0.7230251096309006
7,3,"Fri Jan 25, 2019",Houston,0,49%,+100,+141,+140,+140,+143,+140,+150,+140,+140,+140,+143,+135,+140,+186,+144,+144,+144,+140,-,-,+150,+140,+140,+145,+140,+140,+139,-,+140,143.36,0.4114365384761953,186,0.34965034965034963,0.37143653847619534,1,0,1.86,-1,1,-1.86,0.06230850004191868,-0.06230850004191868,1.6922499442366739
8,4,"Fri Jan 25, 2019",Sacramento,0,52%,+100,+122,+120,+115,+110,+115,+115,+115,+120,+115,+110,+112,+120,+155,+115,+115,+115,+115,-,-,+105,+115,+115,+115,+115,+115,+119,-,+110,116.52,0.46250268032810493,155,0.3921568627450981,0.42250268032810495,1,0,1.55,-1,1,-1.55,0.0773818348366676,-0.0773818348366676,1.3668488901027214
9,4,"Fri Jan 25, 2019",Memphis,0,48%,-130,-135,-130,-135,-130,-135,-135,-135,-140,-135,-130,-132,-130,-208,-135,-135,-135,-135,-,-,-125,-135,-135,-135,-135,-135,-124,-,-130,-136.16,0.5751943497257543,-124,0.5535714285714285,0.5351943497257543,0,1,0.8064516129032258,-1,1,-0.8064516129032258,-0.03319730372121804,0.03319730372121804,0.8684801147703122
10,5,"Fri Jan 25, 2019",L.A. Clippers,0,57%,-4500,-191,-190,-210,-205,-220,-195,-200,-190,-210,-205,-200,-190,-250,-210,-210,-210,-200,-,-,-215,-210,-205,-195,-210,-220,-188,-,-200,-205.16,0.6717402918305723,-188,0.6527777777777778,0.6317402918305722,0,1,0.5319148936170213,-1,1,-0.5319148936170213,-0.03222763804678297,0.03222763804678297,0.5829289550336171
11,5,"Fri Jan 25, 2019",Chicago,0,43%,+1802,+172,+175,+176,+175,+180,+170,+170,+165,+176,+175,+170,+175,+182,+175,+175,+175,+170,-,-,+175,+176,+174,+170,+175,+180,+183,-,+170,174.36,0.36456510414203686,183,0.35335689045936397,0.3245651041420369,0,1,1.83,-1,1,-1.83,-0.08148075527803567,0.08148075527803567,2.081045951145684
12,6,"Fri Jan 25, 2019",Detroit,0,48%,+150,+164,+175,+176,+161,+170,+175,+170,+175,+176,+161,+170,+175,+160,+170,+170,+170,+170,-,-,+185,+176,+170,+175,+170,+170,+166,-,+170,170.8,0.3694286497963607,185,0.3508771929824561,0.3294286497963607,0,1,1.85,-1,1,-1.85,-0.06112834808037182,0.06112834808037182,2.0355586881048717
13,6,"Fri Jan 25, 2019",Dallas,0,52%,-180,-182,-190,-210,-181,-200,-205,-200,-210,-210,-181,-200,-190,-187,-200,-200,-200,-200,-,-,-225,-210,-200,-205,-200,-200,-179,-,-200,-198.6,0.6646686748610721,-179,0.6415770609318997,0.624668674861072,0,1,0.5586592178770949,-1,1,-0.5586592178770949,-0.02635441180872017,0.02635441180872017,0.6008486422380674
14,7,"Fri Jan 25, 2019",Charlotte,0,44%,+475,+592,+575,+614,+675,+550,+580,+600,+550,+614,+675,+550,+575,+300,+525,-,-,+550,-,-,+580,+614,+614,+580,+600,+550,+620,-,+550,575.3478260869565,0.15034565829781507,675,0.12903225806451613,0.11034565829781506,0,1,6.75,-1,1,-6.75,-0.14482114819193326,0.14482114819193326,8.062431775077831
15,7,"Fri Jan 25, 2019",Milwaukee,0,56%,-650,-733,-710,-900,-900,-900,-780,-900,-750,-900,-900,-750,-710,-455,-775,-,-,-800,-,-,-780,-900,-900,-780,-800,-900,-720,-,-800,-801.8695652173913,0.8872645541164271,-455,0.8198198198198198,0.8472645541164271,1,0,0.21978021978021978,-1,1,-0.21978021978021978,0.033476544032125355,-0.033476544032125355,0.1802688961098504
16,8,"Fri Jan 25, 2019",Phoenix,0,57%,+800,+1087,+1150,+1098,+975,+950,+1075,+850,+975,+1098,+975,+1000,+1150,+165,+1138,+1290,-,-,-,-,+1100,+1098,+1098,+1075,-,+950,+1200,-,+1125,1028.2727272727273,0.0993651014339449,1290,0.07194244604316546,0.059365101433944904,0,1,12.9,-1,1,-12.9,-0.17482509006816582,0.17482509006816582,15.844913524028799
17,8,"Fri Jan 25, 2019",Denver,0,43%,-1475,-1571,-1450,-2200,-1500,-2000,-1625,-1800,-1700,-2200,-1500,-1600,-1450,-227,-1988,-2740,-,-,-,-,-1910,-2200,-2200,-1625,-,-2000,-1300,-,-2000,-1763.0,0.9352866480671082,-227,0.6941896024464832,0.8952866480671081,1,0,0.44052863436123346,-1,1,-0.44052863436123346,0.2896860525019575,-0.2896860525019575,0.1169606987426477
18,9,"Fri Jan 25, 2019",Minnesota,0,58%,+425,+449,+475,+459,+455,+410,+475,+440,+450,+459,+455,+455,+475,+456,+450,+505,-,+450,-,-,+445,+459,+364,+475,+450,+410,+490,-,+450,452.5416666666667,0.18146200167872098,505,0.1652892561983471,0.14146200167872097,0,1,5.05,-1,1,-5.05,-0.14415488984373825,0.14415488984373825,6.069036123715633
19,9,"Fri Jan 25, 2019",Utah,0,42%,-550,-533,-560,-620,-560,-620,-625,-600,-600,-620,-560,-580,-560,-595,-600,-730,-,-600,-,-,-600,-620,-470,-625,-600,-620,-530,-,-600,-592.8333333333334,0.8550025249535457,-470,0.8245614035087719,0.8150025249535456,0,1,0.2127659574468085,-1,1,-0.2127659574468085,-0.011592682503146767,0.011592682503146767,0.2269900636896788
20,10,"Fri Jan 25, 2019",San Antonio,0,55%,-,-105,-,-105,-,-105,-,-,-,-105,-,-,-,-105,-,-,-,-105,-,-,-,-105,-,-,-,-105,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,-26.0
21,10,"Fri Jan 25, 2019",New Orleans,0,45%,-,-125,-,-125,-,-125,-,-,-,-125,-,-,-,-125,-,-,-,-125,-,-,-,-125,-,-,-,-125,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,-26.0
22,11,"Fri Jan 25, 2019",Indiana,0,62%,-145,-174,-170,-175,-,-175,-175,-175,-,-175,-175,-175,-105,-180,-,-,-,-180,-,-,-,-175,-175,-175,-,-175,-167,-,+100,-155.61111111111111,0.6215579832466392,100,0.5,0.5815579832466392,1,0,1.0,-1,1,-1.0,0.16311596649327842,-0.16311596649327842,0.7195189969147052
23,11,"Fri Jan 25, 2019",Memphis,0,38%,+125,+157,+160,+151,-,+155,+155,+155,-,+151,+155,+155,-125,+154,-,-,-,+150,-,-,-,+151,+151,+155,-,+155,+159,-,-120,123.55555555555556,0.4107364030398255,160,0.3846153846153846,0.3707364030398255,0,1,1.6,-1,1,-1.6,-0.03608535209645369,0.03608535209645369,1.6973342563626732
24,12,"Fri Jan 25, 2019",Golden State,0,96%,-135,-150,-150,-144,-175,-155,-150,-150,-175,-144,-159,-155,-170,-155,-,-,-,-150,-,-,-175,-144,-144,-150,-,-155,-148,-,-175,-155.85714285714286,0.6084660128217477,-144,0.5901639344262295,0.5684660128217477,0,1,0.6944444444444444,-1,1,-0.6944444444444444,-0.036765922718705324,0.036765922718705324,0.7591201187845987
25,12,"Fri Jan 25, 2019",Boston,0,4%,+115,+136,+140,+123,+155,+135,+130,+130,+155,+123,+139,+135,+160,+133,-,-,-,+130,-,-,+150,+123,+123,+130,-,+135,+138,-,+155,137.04761904761904,0.4227948697170675,160,0.3846153846153846,0.3827948697170675,0,1,1.6,-1,1,-1.6,-0.004733338735624426,0.004733338735624426,1.612365209437428
26,13,"Fri Jan 25, 2019",Philadelphia,0,33%,+245,-,+285,+330,-159,+325,-,-,-150,+330,-,+340,-150,-,-,-,-,-,-,-,-150,+330,+330,-,-,+325,-,-,-145,141.6153846153846,0.37642847146462544,340,0.22727272727272727,0.33642847146462546,1,0,3.4,-1,1,-3.4,0.480285274444352,-0.480285274444352,1.9724000339404901
27,13,"Fri Jan 25, 2019",Denver,0,67%,-290,-,-375,-420,+139,-450,-,-,+130,-420,-,-440,+140,-,-,-,-,-,-,-,+130,-420,-420,-,-,-450,-,-,+125,-210.07692307692307,0.6631159797308944,140,0.4166666666666667,0.6231159797308944,1,0,1.4,-1,1,-1.4,0.49547835135414653,-0.49547835135414653,0.6048376747325126
28,14,"Fri Jan 25, 2019",Atlanta,0,-,+500,+476,+470,+477,-,+450,+465,+455,-,+477,+475,+455,+285,+470,-,-,-,+465,-,-,-,+477,+477,+465,-,+450,+480,-,+350,451.05555555555554,0.18338826106528267,480,0.1724137931034483,0.14338826106528266,0,1,4.8,-1,1,-4.8,-0.16834808582136063,0.16834808582136063,5.974071605099626
29,14,"Fri Jan 25, 2019",Portland,0,-,-700,-571,-555,-650,-,-700,-615,-630,-,-650,-600,-580,-375,-617,-,-,-,-630,-,-,-,-650,-650,-615,-,-700,-560,-,-450,-599.8888888888889,0.8548902834696015,-375,0.7894736842105263,0.8148902834696015,1,0,0.26666666666666666,-1,1,-0.26666666666666666,0.032194359061495176,-0.032194359061495176,0.2271590670369109
30,15,"Fri Jan 25, 2019",Cleveland,0,-,-,-,-,-,+475,-,-,-,-,-,-,-,+470,-,-,-,-,-,-,-,+455,-,-,-,-,-,-,-,+450,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,-26.0
