,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Net_Comm
0,0,"Sat Jan 26, 2019",Indiana,0,52%,-145,-205,-200,-205,-212,-220,-210,-205,-200,-205,-212,-210,-200,-205,-210,-210,-210,-210,-,-,-205,-205,-195,-210,-200,-220,-199,-,-200,-206.52,0.6736291999033187,0.6336291999033187,-195,0.6610169491525423,0,1,0.5128205128205128,-1,1,-0.5128205128205128,-0.04143274886421022,0.04143274886421022,-172.9475164876979,-169.5563887134293
1,0,"Sat Jan 26, 2019",Memphis,0,48%,+125,+184,+185,+172,+182,+180,+180,+175,+170,+172,+182,+180,+185,+174,+175,+175,+175,+175,-,-,+170,+172,+166,+180,+170,+180,+189,-,+170,176.72,0.3615331918617929,0.3215331918617929,189,0.34602076124567477,0,1,1.89,-1,1,-1.89,-0.07076907551941847,0.07076907551941847,211.0098818133332,215.23007944959986
2,1,"Sat Jan 26, 2019",Golden State,0,51%,-135,-162,-160,-170,-168,-175,-165,-165,-175,-170,-168,-165,-160,-167,-169,-169,-169,-185,-,-,-180,-170,-170,-165,-165,-175,-156,-,-165,-168.32,0.62711444591736,0.58711444591736,-156,0.609375,0,1,0.6410256410256411,-1,1,-0.6410256410256411,-0.03653014003305033,0.03653014003305033,-142.19786575527598,-139.4096723090941
3,1,"Sat Jan 26, 2019",Boston,0,49%,+115,+146,+150,+148,+148,+155,+145,+145,+155,+148,+148,+145,+150,+143,+149,+149,+149,+155,-,-,+150,+148,+148,+145,+145,+155,+151,-,+145,148.6,0.40232856927690946,0.3623285692769095,155,0.3921568627450981,0,1,1.55,-1,1,-1.55,-0.07606214834388081,0.07606214834388081,175.99258926660855,179.51244105194073
4,2,"Sat Jan 26, 2019",Philadelphia,0,70%,+245,+455,+480,+447,+455,+375,+470,+420,+450,+447,+455,+450,+480,+449,+450,+450,+450,+450,-,-,+395,+447,+447,+470,+450,+375,+470,-,+450,445.48,0.18380082740441714,0.14380082740441713,480,0.1724137931034483,0,1,4.8,-1,1,-4.8,-0.16595520105438066,0.16595520105438066,595.4062908050298,607.3144166211305
5,2,"Sat Jan 26, 2019",Denver,0,30%,-290,-542,-570,-600,-560,-550,-620,-570,-600,-600,-560,-600,-570,-585,-600,-600,-600,-600,-,-,-515,-600,-600,-620,-600,-550,-520,-,-600,-581.28,0.8529524845300759,0.8129524845300758,-515,0.8373983739837398,0,1,0.1941747572815534,-1,1,-0.1941747572815534,-0.029192664104860877,0.029192664104860877,-434.62351397059456,-426.1014842848966
6,3,"Sat Jan 26, 2019",Atlanta,0,44%,+500,+358,+400,+371,+375,+350,+385,+375,+375,+371,+375,+370,+400,+380,+378,+467,+467,+390,-,-,+420,+371,+371,+385,+375,+350,+375,-,+375,384.36,0.2071009849314329,0.16710098493143288,467,0.1763668430335097,0,1,4.67,-1,1,-4.67,-0.05253741543877555,0.05253741543877555,498.4405181156373,508.40932847795006
7,3,"Sat Jan 26, 2019",Portland,0,56%,-700,-416,-450,-480,-450,-500,-510,-500,-475,-480,-450,-470,-450,-474,-478,-642,-642,-535,-,-,-505,-480,-480,-510,-475,-500,-400,-,-500,-490.08,0.829277427579821,0.789277427579821,-400,0.8,0,1,0.25,-1,1,-0.25,-0.01340321552522375,0.01340321552522375,-374.5576083828402,-367.2133415518041
8,4,"Sat Jan 26, 2019",San Antonio,0,60%,-105,-185,-190,-200,-180,-210,-190,-190,-180,-200,-180,-200,-190,-154,-196,-196,-196,-195,-,-,-200,-200,-175,-190,-200,-210,-175,-,-200,-191.28,0.656063664074532,0.616063664074532,-154,0.6062992125984252,1,0,0.6493506493506493,-1,1,-0.6493506493506493,0.016105004382669597,-0.016105004382669597,-160.45984878965083,-157.31357724475572
9,4,"Sat Jan 26, 2019",New Orleans,0,40%,-125,+166,+175,+170,+160,+175,+165,+165,+160,+170,+160,+170,+175,+116,+166,+166,+166,+165,-,-,+170,+170,+151,+165,+170,+175,+168,-,+170,165.16,0.3779472491027102,0.33794724910271023,175,0.36363636363636365,0,1,1.75,-1,1,-1.75,-0.07064506496754686,0.07064506496754686,195.90416926165778,199.82225264689095
