,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds
0,0,"Fri Jan 25, 2019",Washington,0,53%,+155,+145,+138,-,-,+140,+140,+140,+140,+140,+138,+140,+145,+138,+143,+143,+143,+140,-,-,+135,+140,+135,+140,+135,+140,+155,-,+140,140.56521739130434,0.4158036771429029,0.3758036771429029,155,0.3921568627450981,0,1,1.55,-1,1,-1.55,-0.04170062328559754,0.04170062328559754,169.418312815533
1,0,"Fri Jan 25, 2019",Orlando,0,47%,+141,+140,+330,-,-,-160,-160,-160,-160,-160,-158,-160,-155,-161,-163,-163,-163,-165,-,-,-160,-160,-155,-160,-155,-160,-156,-,-160,-125.3913043478261,0.5896773227959863,0.5496773227959862,330,0.23255813953488372,1,0,3.3,-1,1,-3.3,1.3636124880227407,-1.3636124880227407,-119.66959768058803
2,1,"Fri Jan 25, 2019",Miami,0,50%,+325,+345,+335,-,-,-420,-425,-400,-400,-400,-400,-400,-385,-408,-408,-408,-408,-450,-,-,-445,-400,-400,-425,-400,-420,-370,-,-400,-343.1304347826087,0.7529295162355016,0.7129295162355016,345,0.2247191011235955,1,0,3.45,-1,1,-3.45,2.1725363472479824,-2.1725363472479824,-243.47696668342573
3,1,"Fri Jan 25, 2019",Cleveland,0,50%,+334,+317,+143,-,-,+310,+335,+315,+310,+317,+330,+300,+345,+329,+333,+333,+333,+350,-,-,+340,+317,+317,+335,+320,+310,+340,-,+320,317.3478260869565,0.24301620906344573,0.20301620906344572,350,0.2222222222222222,0,1,3.5,-1,1,-3.5,-0.08642705921449423,0.08642705921449423,400.42293691989596
4,2,"Fri Jan 25, 2019",New York,0,52%,+450,+355,+110,-,-,+325,+355,+355,+330,+330,+335,+320,+355,+337,+348,+348,+348,+335,-,-,+340,+330,+371,+355,+340,+325,+350,-,+350,332.4782608695652,0.23699997891995767,0.19699997891995766,371,0.21231422505307856,0,1,3.71,-1,1,-3.71,-0.07213009928699943,0.07213009928699943,415.7665528656897
5,2,"Fri Jan 25, 2019",Brooklyn,0,48%,+344,+330,+175,-,-,-450,-445,-460,-430,-420,-405,-420,-400,-418,-423,-423,-423,-435,-,-,-445,-420,-480,-445,-430,-450,-385,-,-450,-371.82608695652175,0.7668360537536875,0.7268360537536874,330,0.23255813953488372,1,0,3.3,-1,1,-3.3,2.125395031140856,-2.125395031140856,-260.86325674276384
6,3,"Fri Jan 25, 2019",Toronto,0,51%,+100,+140,+161,-,-,-160,-170,-160,-160,-160,-163,-155,-150,-256,-164,-164,-164,-165,-,-,-175,-160,-160,-165,-160,-160,-153,-,-160,-138.3913043478261,0.6028105140456563,0.5628105140456563,161,0.38314176245210724,1,0,1.61,-1,1,-1.61,0.468935441659163,-0.468935441659163,-126.20957994124174
7,3,"Fri Jan 25, 2019",Houston,0,49%,+141,+140,+675,-,-,+140,+150,+140,+140,+140,+143,+135,+140,+186,+144,+144,+144,+140,-,-,+150,+140,+140,+145,+140,+140,+139,-,+140,166.7391304347826,0.3987747243574686,0.3587747243574686,675,0.12903225806451613,1,0,6.75,-1,1,-6.75,1.7805041137703816,-1.7805041137703816,182.300964017664
8,4,"Fri Jan 25, 2019",Sacramento,0,52%,+100,+120,+975,-,-,+115,+115,+115,+120,+115,+110,+112,+120,+155,+115,+115,+115,+115,-,-,+105,+115,+115,+115,+115,+115,+119,-,+110,153.95652173913044,0.44625361123069057,0.4062536112306906,975,0.09302325581395349,1,0,9.75,-1,1,-9.75,3.3672263207299236,-3.3672263207299236,149.07469122798625
9,4,"Fri Jan 25, 2019",Memphis,0,48%,+122,+115,+455,-,-,-135,-135,-135,-140,-135,-130,-132,-130,-208,-135,-135,-135,-135,-,-,-125,-135,-135,-135,-135,-135,-124,-,-130,-100.17391304347827,0.554164532590102,0.514164532590102,455,0.1801801801801802,1,0,4.55,-1,1,-4.55,1.853613155875066,-1.853613155875066,-103.75588216638823
10,5,"Fri Jan 25, 2019",L.A. Clippers,0,57%,+1802,+175,+165,-,-,-220,-195,-200,-190,-210,-205,-200,-190,-250,-210,-210,-210,-200,-,-,-215,-210,-205,-195,-210,-220,-188,-,-200,-173.6086956521739,0.6466705150207721,0.6066705150207721,175,0.36363636363636365,1,0,1.75,-1,1,-1.75,0.6683439163071232,-0.6683439163071232,-151.21546627953856
11,5,"Fri Jan 25, 2019",Chicago,0,43%,+172,+176,+139,-,-,+180,+170,+170,+165,+176,+175,+170,+175,+182,+175,+175,+175,+170,-,-,+175,+176,+174,+170,+175,+180,+183,-,+170,172.8695652173913,0.3668529504041595,0.3268529504041595,183,0.35335689045936397,0,1,1.83,-1,1,-1.83,-0.0750061503562286,0.0750061503562286,210.0669398084832
12,6,"Fri Jan 25, 2019",Detroit,0,48%,+150,+175,+475,-,-,+170,+175,+170,+175,+176,+161,+170,+175,+160,+170,+170,+170,+170,-,-,+185,+176,+170,+175,+170,+170,+166,-,+170,184.52173913043478,0.36023394811163395,0.32023394811163397,475,0.17391304347826086,1,0,4.75,-1,1,-4.75,0.8413452016418953,-0.8413452016418953,216.51713599222364
13,6,"Fri Jan 25, 2019",Dallas,0,52%,+164,+176,-,-,-,-200,-205,-200,-210,-210,-181,-200,-190,-187,-200,-200,-200,-200,-,-,-225,-210,-200,-205,-200,-200,-179,-,-200,-183.0,0.6525875344851687,0.6125875344851687,176,0.3623188405797102,1,0,1.76,-1,1,-1.76,0.6907415951790655,-0.6907415951790655,-155.02237735253098
14,7,"Fri Jan 25, 2019",Charlotte,0,44%,+475,+575,-,-,-,+550,+580,+600,+550,+614,+675,+550,+575,+300,+525,-,-,+550,-,-,+580,+614,+614,+580,+600,+550,+620,-,+550,567.6,0.1522176594928018,0.1122176594928018,675,0.12903225806451613,0,1,6.75,-1,1,-6.75,-0.130313138930786,0.130313138930786,806.9478470769816
15,7,"Fri Jan 25, 2019",Milwaukee,0,56%,+592,+614,-,-,-,-900,-780,-900,-750,-900,-900,-750,-710,-455,-775,-,-,-800,-,-,-780,-900,-900,-780,-800,-900,-720,-,-800,-729.3,0.8495322788208967,0.8095322788208966,614,0.1400560224089636,1,0,6.14,-1,1,-6.14,4.780060470781202,-4.780060470781202,-416.6895534687092
16,8,"Fri Jan 25, 2019",Phoenix,0,57%,+800,+1150,-,-,-,+950,+1075,+850,+975,+1098,+975,+1000,+1150,+165,+1138,+1290,-,-,-,-,+1100,+1098,+1098,+1075,-,+950,+1200,-,+1125,1024.3157894736842,0.10133108017513705,0.06133108017513705,1290,0.07194244604316546,0,1,12.9,-1,1,-12.9,-0.14749798556559512,0.14749798556559512,1561.1045745277727
