,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds
14,7,"Fri Jan 25, 2019",Charlotte,0,44%,+475,+592,+575,+614,+675,+550,+580,+600,+550,+614,+675,+550,+575,+300,+525,-,-,+550,-,-,+580,+614,+614,+580,+600,+550,+620,-,+550,575.3478260869565,0.15034565829781507,675,0.12903225806451613,0.11034565829781506,0,1,6.75,-1,1,-6.75,-0.14482114819193326,0.14482114819193326,806.2431775077831
15,7,"Fri Jan 25, 2019",Milwaukee,0,56%,-650,-733,-710,-900,-900,-900,-780,-900,-750,-900,-900,-750,-710,-455,-775,-,-,-800,-,-,-780,-900,-900,-780,-800,-900,-720,-,-800,-801.8695652173913,0.8872645541164271,-455,0.8198198198198198,0.8472645541164271,1,0,0.21978021978021978,-1,1,-0.21978021978021978,0.033476544032125355,-0.033476544032125355,18.026889610985037
16,8,"Fri Jan 25, 2019",Phoenix,0,57%,+800,+1087,+1150,+1098,+975,+950,+1075,+850,+975,+1098,+975,+1000,+1150,+165,+1138,+1290,-,-,-,-,+1100,+1098,+1098,+1075,-,+950,+1200,-,+1125,1028.2727272727273,0.0993651014339449,1290,0.07194244604316546,0.059365101433944904,0,1,12.9,-1,1,-12.9,-0.17482509006816582,0.17482509006816582,1584.49135240288
17,8,"Fri Jan 25, 2019",Denver,0,43%,-1475,-1571,-1450,-2200,-1500,-2000,-1625,-1800,-1700,-2200,-1500,-1600,-1450,-227,-1988,-2740,-,-,-,-,-1910,-2200,-2200,-1625,-,-2000,-1300,-,-2000,-1763.0,0.9352866480671082,-227,0.6941896024464832,0.8952866480671081,1,0,0.44052863436123346,-1,1,-0.44052863436123346,0.2896860525019575,-0.2896860525019575,11.696069874264769
18,9,"Fri Jan 25, 2019",Minnesota,0,58%,+425,+449,+475,+459,+455,+410,+475,+440,+450,+459,+455,+455,+475,+456,+450,+505,-,+450,-,-,+445,+459,+364,+475,+450,+410,+490,-,+450,452.5416666666667,0.18146200167872098,505,0.1652892561983471,0.14146200167872097,0,1,5.05,-1,1,-5.05,-0.14415488984373825,0.14415488984373825,606.9036123715633
19,9,"Fri Jan 25, 2019",Utah,0,42%,-550,-533,-560,-620,-560,-620,-625,-600,-600,-620,-560,-580,-560,-595,-600,-730,-,-600,-,-,-600,-620,-470,-625,-600,-620,-530,-,-600,-592.8333333333334,0.8550025249535457,-470,0.8245614035087719,0.8150025249535456,0,1,0.2127659574468085,-1,1,-0.2127659574468085,-0.011592682503146767,0.011592682503146767,22.69900636896788
20,10,"Fri Jan 25, 2019",San Antonio,0,57%,-,-105,-,-105,-,-105,-,-,-,-105,-,-,-,-105,-,-,-,-105,-,-,-,-105,-,-,-,-105,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
21,10,"Fri Jan 25, 2019",New Orleans,0,43%,-,-125,-,-125,-,-125,-,-,-,-125,-,-,-,-125,-,-,-,-125,-,-,-,-125,-,-,-,-125,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
22,11,"Fri Jan 25, 2019",Indiana,0,62%,-145,-178,-175,-175,-,-175,-175,-175,-,-175,-175,-175,-105,-184,-,-,-,-180,-,-,-,-175,-175,-175,-,-175,-167,-,+100,-156.33333333333334,0.6225032866496577,100,0.5,0.5825032866496577,1,0,1.0,-1,1,-1.0,0.16500657329931534,-0.16500657329931534,71.6728511098415
23,11,"Fri Jan 25, 2019",Memphis,0,38%,+125,+160,+165,+151,-,+155,+155,+155,-,+151,+155,+155,-125,+157,-,-,-,+150,-,-,-,+151,+151,+155,-,+155,+162,-,-120,124.33333333333333,0.40958288672743964,165,0.37735849056603776,0.36958288672743966,0,1,1.65,-1,1,-1.65,-0.02060535017228493,0.02060535017228493,170.57529877931847
24,12,"Fri Jan 25, 2019",Golden State,0,96%,-135,-150,-150,-144,-175,-155,-150,-150,-175,-144,-159,-155,-175,-155,-,-,-,-150,-,-,-175,-144,-144,-150,-,-155,-148,-,-175,-156.0952380952381,0.6087866798090814,-144,0.5901639344262295,0.5687866798090814,0,1,0.6944444444444444,-1,1,-0.6944444444444444,-0.03622257032350101,0.03622257032350101,75.81283730759297
25,12,"Fri Jan 25, 2019",Boston,0,4%,+115,+136,+140,+123,+155,+135,+130,+130,+155,+123,+139,+135,+165,+133,-,-,-,+130,-,-,+150,+123,+123,+130,-,+135,+138,-,+155,137.28571428571428,0.42244930333376524,165,0.37735849056603776,0.38244930333376526,1,0,1.65,-1,1,-1.65,0.013490653834477895,-0.013490653834477895,161.47256414984116
26,13,"Fri Jan 25, 2019",Philadelphia,0,33%,+245,-,+285,+330,-159,+325,-,-,-150,+330,-,+340,-150,-,-,-,-,-,-,-,-150,+330,+330,-,-,+325,-,-,-145,141.6153846153846,0.37642847146462544,340,0.22727272727272727,0.33642847146462546,1,0,3.4,-1,1,-3.4,0.480285274444352,-0.480285274444352,197.240003394049
27,13,"Fri Jan 25, 2019",Denver,0,67%,-290,-,-375,-420,+139,-450,-,-,+130,-420,-,-440,+140,-,-,-,-,-,-,-,+130,-420,-420,-,-,-450,-,-,+125,-210.07692307692307,0.6631159797308944,140,0.4166666666666667,0.6231159797308944,1,0,1.4,-1,1,-1.4,0.49547835135414653,-0.49547835135414653,60.48376747325126
28,14,"Fri Jan 25, 2019",Atlanta,0,-,+500,+476,+470,+477,-,+450,+465,+455,-,+477,+475,+455,+285,+470,-,-,-,+465,-,-,+330,+477,+477,+465,-,+450,+480,-,+350,444.6842105263158,0.18597614940578797,480,0.1724137931034483,0.14597614940578796,0,1,4.8,-1,1,-4.8,-0.1533383334464299,0.1533383334464299,585.0434157022297
29,14,"Fri Jan 25, 2019",Portland,0,-,-700,-570,-555,-650,-,-700,-615,-630,-,-650,-600,-580,-375,-617,-,-,-,-630,-,-,-430,-650,-650,-615,-,-700,-560,-,-450,-590.8947368421053,0.8525854432841476,-375,0.7894736842105263,0.8125854432841476,1,0,0.26666666666666666,-1,1,-0.26666666666666666,0.02927489482658696,-0.02927489482658696,23.06398154985366
30,15,"Fri Jan 25, 2019",Cleveland,0,-,-,-,-,-,+475,-,-,-,-,-,-,-,+470,-,-,-,-,-,-,-,+455,-,-,-,-,-,-,-,+450,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
31,15,"Fri Jan 25, 2019",Chicago,0,-,-,-,-,-,-600,-,-,-,-,-,-,-,-555,-,-,-,-,-,-,-,-605,-,-,-,-,-,-,-,-600,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
32,16,"Fri Jan 25, 2019",Sacramento,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
33,16,"Fri Jan 25, 2019",L.A. Clippers,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
34,17,"Fri Jan 25, 2019",Milwaukee,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
35,17,"Fri Jan 25, 2019",Oklahoma City,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
36,18,"Fri Jan 25, 2019",Toronto,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
37,18,"Fri Jan 25, 2019",Dallas,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
38,19,"Fri Jan 25, 2019",Orlando,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
39,19,"Fri Jan 25, 2019",Houston,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
40,20,"Fri Jan 25, 2019",Washington,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
41,20,"Fri Jan 25, 2019",San Antonio,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
42,21,"Fri Jan 25, 2019",Utah,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
43,21,"Fri Jan 25, 2019",Minnesota,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
44,22,"Fri Jan 25, 2019",Miami,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
45,22,"Fri Jan 25, 2019",New York,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
46,23,"Fri Jan 25, 2019",Phoenix,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
47,23,"Fri Jan 25, 2019",L.A. Lakers,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
48,24,"Fri Jan 25, 2019",Golden State,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
49,24,"Fri Jan 25, 2019",Indiana,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463
