,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks,Kelly_Long,Kelly_Short
6,3,"Wed Jan 30, 2019",Bradley,0,0%,+438,+400,+435,+416,+420,+145,+140,+150,+438,+144,+143,+145,+438,+138,+143,-,+438,+140,-,-,+438,+144,+144,+140,+438,+145,-,-,+438,267.82608695652175,0.3145858692528078,0.2745858692528078,438,0.1858736059479554,1,0,4.38,-1,1,-4.38,0.4772719765801059,-0.4772719765801059,264.1848004491857,2.6418480044918566,3.694684964581694,0.010288093694530013,0.015016672745618872,3.5890110444020196,0.028237576077584148,0.04196686954022466,0.10896620469865431,-0.4772719765801059
7,3,"Wed Jan 30, 2019",Evansville,0,100%,-575,-519,-500,-550,-515,-165,-160,-170,-575,-165,-163,-165,-575,-168,-163,-,-575,-165,-,-,-575,-165,-165,-160,-575,-165,-,-,-575,-333.60869565217394,0.7196410695811422,0.6796410695811421,-160,0.6153846153846154,1,0,0.625,-1,1,-0.625,0.10441673806935592,-0.10441673806935592,-212.14987473348586,0.47136487884155204,1.4807921764183831,0.07609236511353282,0.12805145900057174,1.461937581264721,0.04038923208743417,0.07437128556649131,0.16706678091096946,-0.10441673806935592
9,4,"Wed Jan 30, 2019",Duquesne,0,50%,-185,-164,-160,-165,-163,+115,+115,+120,-600,+113,+113,+115,-550,+116,+115,-,-549,+115,-,-,-565,+113,+113,+115,-550,+115,-,-,-600,-111.8695652173913,0.592713087576476,0.552713087576476,120,0.45454545454545453,1,0,1.2,-1,1,-1.2,0.2159687926682471,-0.2159687926682471,-123.57014529705862,0.8092569589491316,1.8254420981281143,0.041786193176582775,0.06939066975233726,1.793071819770149,0.03658139262729437,0.06421704700611813,0.1799739938902059,-0.2159687926682471
11,5,"Wed Jan 30, 2019",La Salle,0,57%,+115,+118,+120,+113,+113,+110,+110,+115,-550,+113,+110,+110,-515,+110,+110,-,-555,+110,-,-,-,+113,+113,+110,-550,+110,-,-,-,-12.476190476190476,0.5423116079334102,0.5023116079334101,120,0.45454545454545453,1,0,1.2,-1,1,-1.2,0.10508553745350224,-0.10508553745350224,-100.92893785358804,0.9907961197913764,2.010612042187204,0.03306519900121265,0.054190776210337736,1.9709801973955487,0.03506934823800234,0.06018492863467284,0.08757128121125188,-0.10508553745350224
12,6,"Wed Jan 30, 2019",Richmond,0,50%,-118,-131,-125,-133,-130,+400,+445,+425,+390,+431,+445,+455,+415,+429,+445,-,-,+440,-,-,-,+431,+431,+445,+425,+400,-,-,-,316.65,0.2645607361610337,0.2245607361610337,455,0.1801801801801802,1,0,4.55,-1,1,-4.55,0.24631208569373697,-0.24631208569373697,345.31382337600405,3.4531382337600407,4.522200998435241,0.007484691397976404,0.010481157425908497,4.38407546908484,0.02673682208483097,0.0379648588928827,0.05413452432829384,-0.24631208569373697
17,8,"Wed Jan 30, 2019",Miami (FL),0,45%,+125,+108,+118,+107,+108,+315,+350,+300,-160,+327,+315,+325,-160,+314,+338,-,-,+325,-,-,-165,+327,+327,+350,-160,+315,+292,-,-160,180.69565217391303,0.36099933093547004,0.32099933093547006,350,0.2222222222222222,1,0,3.5,-1,1,-3.5,0.4444969892096152,-0.4444969892096152,211.52712907087903,2.1152712907087903,3.157576716522966,0.01342194801489504,0.020234061655805897,3.0729658648946145,0.029629979928064043,0.04567994647483764,0.1269991397741758,-0.4444969892096152
18,9,"Wed Jan 30, 2019",West Virginia,0,93%,-340,-377,-405,-415,-375,+170,+170,+165,-135,+170,+170,+170,-130,+163,+170,-,-,+170,-,-,-135,+170,+170,+170,-135,+170,-,-,-135,-2.0,0.4946539069241307,0.4546539069241307,170,0.37037037037037035,1,0,1.7,-1,1,-1.7,0.22756554869515289,-0.22756554869515289,119.94752156982402,1.1994752156982402,2.2234647200122053,0.026415821874831054,0.042594495872478357,2.175485711384275,0.033639617207724126,0.05637231255393066,0.133862087467737,-0.22756554869515289
23,11,"Wed Jan 30, 2019",Niagara,0,92%,-170,-189,-190,-200,-195,-170,-170,-170,-550,-170,-175,-172,-555,-170,-176,-168,-,-170,-170,-,-585,-170,-175,-175,-600,-170,-170,-,-600,-256.2,0.6800361859698764,0.6400361859698763,-168,0.6268656716417911,1,0,0.5952380952380952,-1,1,-0.5952380952380952,0.02101010619004079,-0.02101010619004079,-177.8057018576636,0.5624116603417569,1.5736598935485921,0.0628565119941323,0.10569561222135329,1.551163427134922,0.03920108557909624,0.07120289487759002,0.03529697839926853,-0.02101010619004079
24,12,"Wed Jan 30, 2019",South Dakota,0,48%,-133,-116,-113,-117,-117,+115,-,+115,-130,+115,-,-,-128,+115,-,+115,-,+115,+115,-,-135,+115,-,-,-130,+115,-,-,-125,-4.222222222222222,0.5085446070254043,0.4685446070254043,115,0.46511627906976744,1,0,1.15,-1,1,-1.15,0.00737090510461913,-0.00737090510461913,113.42685093498055,1.1342685093498055,2.1569538795368017,0.028216768501404633,0.04573244054365431,2.1115831391628093,0.03405633821076226,0.05748356856203246,0.006409482699668809,-0.00737090510461913
25,12,"Wed Jan 30, 2019",Purdue Fort Wayne,0,52%,+113,-100,+103,-103,-103,-135,-,-135,+110,-135,-,-,+118,-135,-,-135,-,-135,-135,-,+115,-135,-,-,+110,-135,-,-,+105,-47.77777777777778,0.5300899796860444,0.49008997968604445,118,0.4587155963302753,1,0,1.18,-1,1,-1.18,0.06839615571557689,-0.06839615571557689,104.04416361269169,1.0404416361269169,2.0612504688494555,0.031228512710110585,0.05098572613154257,2.0196328034043782,0.03470269939058146,0.05920719837488364,0.05796284382676008,-0.06839615571557689
