,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks,Kelly_Long,Kelly_Short
6,3,"Wed Jan 30, 2019",Northern Iowa,0,0%,+160,+130,+140,+135,+438,+140,+140,+135,+438,+135,+135,+135,+438,+128,+138,-,+438,+135,-,-,+438,+135,+135,+140,+438,+140,-,-,+438,227.91304347826087,0.3514022200551552,0.3114022200551552,438,0.1858736059479554,1,0,4.38,-1,1,-4.38,0.675343943896735,-0.675343943896735,221.1280895245002,2.211280895245002,3.255506513149902,0.012726950209984815,0.01906688746292343,3.167055277340102,0.029342066601654726,0.04491217760441257,0.15418811504491667,-0.675343943896735
7,3,"Wed Jan 30, 2019",Bradley,0,100%,-185,-152,-150,-155,-575,-160,-160,-155,-575,-155,-155,-155,-575,-156,-158,-,-575,-160,-,-,-575,-155,-155,-160,-575,-160,-,-,-575,-283.7391304347826,0.6834669871573977,0.6434669871573977,-150,0.6,1,0,0.6666666666666666,-1,1,-0.6666666666666666,0.07244497859566279,-0.07244497859566279,-180.47893574485553,0.554081281492987,1.5651629071228466,0.06389203438573539,0.1074584259091748,1.5429996558631274,0.03930400961472186,0.07147735897259172,0.10866746789349419,-0.07244497859566279
9,4,"Wed Jan 30, 2019",Rhode Island,0,50%,+115,+118,+120,+113,-519,+115,+115,+120,-600,+113,+113,+115,-550,+116,+115,-,-549,+115,-,-,-565,+113,+113,+115,-550,+115,-,-,-600,-90.82608695652173,0.5815036798057105,0.5415036798057105,120,0.45454545454545453,1,0,1.2,-1,1,-1.2,0.191308095572563,-0.191308095572563,-118.10425862878164,0.8467095188693756,1.8636437092467633,0.03967094615476858,0.06570923856697147,1.829775328491988,0.03624511039417139,0.06332029438445691,0.15942341297713586,-0.191308095572563
11,5,"Wed Jan 30, 2019",Massachusetts,0,55%,-102,+112,+115,+113,-500,+110,+110,+115,-550,+113,+110,+110,-515,+110,+110,-,-555,+110,-,-,-,+113,+113,+110,-550,+110,-,-,-,-42.19047619047619,0.5607593749172102,0.5207593749172101,115,0.46511627906976744,1,0,1.15,-1,1,-1.15,0.1196326560720018,-0.1196326560720018,-108.66344538868086,0.9202726790256616,1.9386781326061748,0.0360307162388775,0.05936463670286604,1.9018672254451483,0.03562278124751633,0.061660749993376784,0.1040283965843494,-0.1196326560720018
15,7,"Wed Jan 30, 2019",Indiana,0,100%,+125,+105,+108,+107,-515,+110,+105,+105,-550,+107,+105,+103,-500,+103,+105,-,-,+110,-,-,-540,+107,+107,+105,-600,+110,-,-,-550,-70.5909090909091,0.5826223185925576,0.5426223185925576,110,0.47619047619047616,1,0,1.1,-1,1,-1.1,0.13950686904437104,-0.13950686904437104,-118.63769061113793,0.8429024493385732,1.8597604983253446,0.039877165061087246,0.06606834267303803,1.8260444003518017,0.036278669557776755,0.06340978548740461,0.12682442640397365,-0.13950686904437104
17,8,"Wed Jan 30, 2019",(12) Virginia Tech,0,45%,+280,+303,+348,+327,-155,+310,+340,+300,-155,+327,+315,+310,-150,+300,+327,-,-,+315,-,-,-150,+327,+327,+340,-160,+310,+292,-,-155,195.34782608695653,0.3349786948396495,0.2949786948396495,348,0.2232142857142857,1,0,3.48,-1,1,-3.48,0.3215045528816298,-0.3215045528816298,239.0075342707717,2.3900753427077173,3.4378768495618717,0.011595976243868315,0.017179043023580365,3.342273835853563,0.02884936084518941,0.04359829558717199,0.09238636577058329,-0.3215045528816298
20,10,"Wed Jan 30, 2019",(20) Iowa State,0,0%,+150,+160,+175,+170,-130,+170,+170,+165,-130,+170,+170,+170,-125,+158,+170,-,-,+170,-,-,-130,+170,+170,+170,-135,+170,-,-,-130,87.18181818181819,0.424933854016653,0.38493385401665303,175,0.36363636363636365,1,0,1.75,-1,1,-1.75,0.05856809854579581,-0.05856809854579581,159.78489279790338,1.5978489279790338,2.629805906538615,0.018780750500816616,0.02936439754849373,2.565891949419453,0.03154801562049969,0.05079470832133237,0.033467484883311895,-0.05856809854579581
21,10,"Wed Jan 30, 2019",Providence,0,100%,-170,-189,-190,-200,+110,-200,-195,-190,+110,-200,-195,-200,+115,-194,-200,-,-,-200,-,-,+110,-200,-200,-195,+115,-200,-,-,+110,-112.63636363636364,0.611010605558083,0.5710106055580829,115,0.46511627906976744,1,0,1.15,-1,1,-1.15,0.22767280194987827,-0.22767280194987827,-133.10599584890082,0.7512809574222181,1.7663065765706625,0.0454857515943685,0.07581709549597214,1.7362553382737738,0.037130318166742504,0.06568084844464661,0.1979763495216333,-0.22767280194987827
24,12,"Wed Jan 30, 2019",Niagara,0,45%,-,+150,+146,+155,-125,+150,+150,+150,-130,+150,+151,+152,-118,+150,+144,+148,-,+150,+145,-,-125,+150,+151,+151,-130,+150,+150,-,-125,83.6,0.43801265753574853,0.39801265753574855,155,0.3921568627450981,1,0,1.55,-1,1,-1.55,0.014932276716158821,-0.014932276716158821,151.24829099440947,1.5124829099440946,2.542732568142977,0.0200538247066254,0.031557791942643194,2.482233251745213,0.03194037972607244,0.05184101260285989,0.009633726913650852,-0.014932276716158821
25,12,"Wed Jan 30, 2019",South Dakota,0,55%,-,-170,-172,-165,+105,-170,-170,-170,+110,-170,-175,-172,+108,-170,-176,-168,-,-170,-170,-,+105,-170,-175,-175,+110,-170,-170,-,+105,-104.2,0.5953390350064938,0.5553390350064937,110,0.47619047619047616,1,0,1.1,-1,1,-1.1,0.16621197351363692,-0.16621197351363692,-124.89043984659273,0.8007018000964163,1.8167158360983446,0.04229779764406555,0.07028036416904207,1.784687764094488,0.03666017105019481,0.06442712280051943,0.1511017941033063,-0.16621197351363692
