,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_30ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
13,4,"Tuesday, February 12, 2019 - Soccer",Draw,0,0%,+506,+848,+793,+920,+665,+1000,+520,+850,+665,+888,+560,-,+665,+588,+875,+875,+665,+815,-,-,+665,+920,+888,+520,+665,+1000,-,-,+665,761.5217,0.1197,0.0997,1000,0.0909,1,0,0.0967,0.009670000000000002,903.01,10.0301,10.2107,0.0022,0.0025,0.005,9.8495,0.0023,0.0026
14,4,"Tuesday, February 12, 2019 - Soccer",Draw,0,0%,+297,+487,+466,+448,+368,+425,+375,+425,+368,+441,+440,-,+368,+321,+425,+425,+368,+454,-,-,+368,+448,+441,+375,+368,+425,-,-,+368,408.5652,0.198,0.17800000000000002,487,0.1704,1,0,0.0449,0.00921149897330598,461.8,5.618,5.7104,0.0042,0.0053,0.0139,5.5256,0.0044,0.0057
15,5,"Wednesday, February 13, 2019 - Soccer",Draw,0,100%,-248,+189,-526,-,-418,+189,-526,-,-425,+189,-526,-,-416,+189,-526,-,-457,+189,-526,-,-483,+189,-526,-,-434,+189,-526,-,-425,-257.9524,0.6666,0.6466,189,0.346,1,0,0.8687,0.459615873015873,-182.9491,1.5466,1.5575,0.0347,0.0649,0.2345,1.5356999999999998,0.0199,0.0393
16,5,"Wednesday, February 13, 2019 - Soccer",Draw,0,0%,+520,+133,+954,-,+1047,+133,+954,-,+1000,+133,+954,-,+1095,+133,+954,-,+956,+133,+954,-,+1035,+133,+954,-,+1131,+133,+954,-,+1000,708.2381,0.2041,0.1841,1131,0.0812,1,0,1.2663,0.11196030061892132,443.18,5.4318,5.5204,0.0044,0.0056,0.0148,5.3432,0.0046,0.0059
17,5,"Wednesday, February 13, 2019 - Soccer",Draw,0,0%,+307,+191,+441,-,+527,+191,+441,-,+525,+191,+441,-,+494,+191,+441,-,+475,+191,+441,-,+507,+191,+441,-,+501,+191,+441,-,+525,379.9048,0.2311,0.2111,527,0.1595,1,0,0.3236,0.06140360531309301,373.71,4.7371,4.8118,0.0052,0.0068,0.0192,4.6624,0.0055,0.0073
18,6,"Wednesday, February 13, 2019 - Soccer",Draw,0,100%,-,+197,-,-,-460,+131,-,-,-,+131,-,-,-500,+131,-,-,-455,+131,-,-,-,+131,-,-,-416,+131,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
19,6,"Thursday, February 14, 2019 - Soccer",Draw,0,0%,+160,+131,-,-,+1193,+183,-,-,-,+183,-,-,+660,+183,-,-,+1075,+183,-,-,-,+183,-,-,+1095,+183,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
20,6,"Tuesday, February 12, 2019 - Soccer",Fenerbahce,0,0%,+151,+183,-,-,+513,+199,-,-,-,+199,-,-,+540,+199,-,-,+475,+199,-,-,-,+199,-,-,+494,+199,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
21,7,"Tuesday, February 12, 2019 - Soccer",FC Zenit St Petersburg,0,100%,+407,+199,-,-,-434,-110,-,-,-500,-110,-,-,-,-110,-,-,-455,-110,-,-,-,-110,-,-,-,-110,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
22,7,"Tuesday, February 12, 2019 - Soccer",Draw,0,0%,-175,-110,-,-,+1131,+273,-,-,+1000,+273,-,-,-,+273,-,-,+1075,+273,-,-,-,+273,-,-,-,+273,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
23,7,"Thursday, February 14, 2019 - Soccer",Inter Milan,0,0%,+249,+273,-,-,+501,+205,-,-,+475,+205,-,-,-,+205,-,-,+475,+205,-,-,-,+205,-,-,-,+205,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
24,8,"Thursday, February 14, 2019 - Soccer",Draw,0,100%,+224,+205,-,-,-500,+154,-,-,-417,+154,-,-,-460,+154,-,-,-455,+154,-,-,-478,+154,-,-,-420,+154,-,-,-,-123.1538,0.5851,0.5650999999999999,205,0.3279,1,0,0.7236,0.3529536585365853,-129.9376,1.7696,1.7850000000000001,0.0249,0.0443,0.1643,1.7542,0.02,0.037
25,8,"Thursday, February 14, 2019 - Soccer",Bayer Leverkusen,0,0%,-107,+154,-,-,+660,+153,-,-,+1150,+153,-,-,+1193,+153,-,-,+1075,+153,-,-,+1000,+153,-,-,+1037,+153,-,-,-,552.8462,0.2552,0.2352,1193,0.0773,1,0,2.0411,0.1710927074601844,325.17,4.2517,4.3167,0.006,0.008,0.0237,4.1867,0.0063,0.0086
26,8,"Thursday, February 14, 2019 - Soccer",Draw,0,0%,+240,+153,-,-,+540,+203,-,-,+525,+203,-,-,+513,+203,-,-,+475,+203,-,-,+450,+203,-,-,+522,+203,-,-,-,338.1538,0.2593,0.23929999999999998,540,0.1562,1,0,0.5315,0.0984296296296296,317.89,4.1789,4.2425,0.0061,0.0083,0.0246,4.1152999999999995,0.0065,0.0089
