,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks,Kelly_Short_10ticks
0,0,"Tue Feb 05, 2019",L.A. Lakers,0,66%,-155,-125,-135,-150,-135,-160,-140,-135,-150,-150,-135,-140,-135,-128,-135,-135,-135,-135,-,-,-145,-150,-133,-140,-140,-160,-119,-,-135,-139.2,0.5813,0.5613,-119,0.5434,1,0,0.033,0.03924700000000005,-127.9427,1.7816,1.7972000000000001,0.0245,0.0435,0.0723,1.766,0.02,0.0368,0.0649
1,0,"Tue Feb 05, 2019",Indiana,0,34%,+135,+113,+125,+130,+115,+140,+120,+115,+130,+130,+115,+120,+125,+111,+115,+115,+115,+115,-,-,+125,+130,+113,+120,+120,+140,+118,-,+115,121.2,0.4527,0.4327,140,0.4167,1,0,0.0385,0.02748571428571418,131.11,2.3111,2.3373,0.0147,0.0238,0.038,2.2848999999999995,0.0158,0.0267,0.0461
9,4,"Tue Feb 05, 2019",Oklahoma City,0,60%,-500,-468,-475,-560,-515,-570,-540,-490,-500,-560,-515,-500,-475,-503,-536,-536,-536,-550,-,-,-540,-560,-560,-540,-500,-570,-420,-,-525,-521.76,0.8386,0.8186,-420,0.8077,1,0,0.0135,0.0567199999999999,-451.2635,1.2216,1.226,0.0812,0.1614,0.2622,1.2172,0.02,0.0445,0.0855
12,6,"Tue Feb 05, 2019",Minnesota,0,52%,-125,-109,-112,-115,-115,-115,-115,-115,-115,-115,-115,-117,-112,-112,-,-,-,-120,-,-,-115,-115,-115,-115,-120,-115,-103,-,-115,-114.3182,0.5333,0.5133,-103,0.5074,1,0,0.0116,0.011998999999999958,-105.463,1.9482,1.9672,0.0203,0.0348,0.0572,1.9292,0.02,0.0354,0.0611
