,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Average_Odds,Average_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal,Payout_if_Win,Expected_Value,Kelly
4,2,H2H,Massachusetts,0,51%,+145,+122,+125,+121,+155,+125,+120,+125,+160,+121,+130,+120,+165,-,+120,+120,+155,+120,-,-,+155,+121,+125,+120,+145,+125,-,-,+150,132.3913043478261,0.4321218174222743,165,0.37735849056603776,0.3821218174222743,1,1.65,0.01262281616902683,0.007650191617592018
7,3,H2H,George Washington,0,60%,-145,-130,-130,-135,+105,-135,-135,-135,+105,-135,-130,-135,+105,-,-135,-135,+105,-135,-,-,+105,-135,-140,-135,+105,-135,-,-,+105,-61.52173913043478,0.5472711597767148,105,0.48780487804878053,0.4972711597767148,1,1.05,0.019405877542265304,0.018481788135490763
8,4,H2H,Davidson,0,59%,+1050,+1230,+1375,-,-128,-,+1330,+1000,-120,-,-,+1200,-125,-,+1175,+1175,-117,-,-,-,-130,-,-,+1330,-125,-,-,-,-120,596.6666666666666,0.29835674945957147,1375,0.06779661016949153,0.24835674945957148,1,13.75,2.6632620545286794,0.19369178578390395
9,4,H2H,Richmond,0,41%,-1600,-2623,-1775,-,+110,-,-2080,-2857,+100,-,-,-2000,+105,-,-2275,-2275,-104,-,-,-,+110,-,-,-2080,+105,-,-,-,+100,-1162.6,0.7393564228947246,110,0.47619047619047616,0.6893564228947245,1,1.1,0.44764848807892155,0.4069531709808377
11,5,H2H,Valparaiso,0,96%,-185,-167,-155,-165,+103,-170,-165,-165,+105,-165,-168,-160,+110,-171,-168,-168,+105,-170,-,-,-,-165,-165,-165,+105,-170,-,-,-,-104.27272727272727,0.5927220293192667,110,0.47619047619047616,0.5427220293192666,1,1.1,0.1397162615704599,0.12701478324587265
13,6,H2H,Dayton,0,59%,-155,-144,-145,-145,+105,-150,-150,-145,+100,-145,-150,-150,+103,-147,-145,-145,+100,-145,-,-,-,-145,-145,-150,+105,-150,-,-,-,-90.13636363636364,0.5718207654823622,105,0.48780487804878053,0.5218207654823621,1,1.05,0.06973256923884241,0.06641197070365944
14,7,H2H,Rhode Island,0,100%,+255,+305,+315,+296,-130,+300,+310,+300,-125,+296,+320,+280,-113,+287,+318,+310,-120,+305,-,-,-130,+296,+296,+310,-125,+300,-,-,-125,178.16666666666666,0.3374398868814112,320,0.23809523809523808,0.2874398868814112,1,3.2,0.2072475249019271,0.06476485153185221
15,7,H2H,Bradley,0,0%,-310,-379,-345,-370,+110,-400,-390,-380,+105,-370,-380,-360,+103,-375,-378,-370,+100,-390,-,-,+110,-370,-370,-390,+105,-400,-,-,+105,-236.625,0.7018772942792101,110,0.47619047619047616,0.65187729427921,1,1.1,0.36894231798634114,0.3354021072603101
16,8,H2H,Vanderbilt,0,54%,-105,-114,-113,-125,+130,-,-120,-,+120,-125,-,-,+125,-116,-120,-110,+120,-,-,-,+125,-125,-125,-120,+130,-,-,-,+120,-24.61111111111111,0.5058194223137605,130,0.4347826086956522,0.45581942231376055,1,1.3,0.048384671321649364,0.03721897793973028
18,9,H2H,Florida International,0,45%,+525,+490,+540,+534,+110,+500,+545,+475,+115,+534,+525,+500,+120,+485,+500,+500,+115,+500,-,-,+110,+534,+534,+545,+115,+500,+470,-,+115,400.44,0.24857668821668533,545,0.15503875968992248,0.19857668821668534,1,5.45,0.2808196389976203,0.051526539265618405
