,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Average_Odds,Average_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal,Payout_if_Win,Expected_Value,Kelly
1,0,"Wed Jan 23, 2019",Indiana,0,48%,-200,-234,-230,-270,-255,-240,-260,-245,-250,-270,-255,-240,-230,+109,-255,-255,-255,-260,-,-,-245,-270,-270,-260,-250,-240,-230,-,-270,-237.2,0.7057339898553288,109,0.47846889952153115,0.6557339898553287,1,1.09,0.370484038797637,0.33989361357581377
11,5,"Wed Jan 23, 2019",Philadelphia,0,53%,-165,-176,-155,-173,-170,-170,-165,-160,-155,-175,-170,-160,-155,-167,-163,-163,-163,-165,-,-,-140,-173,-130,-165,-165,-170,-170,-,-160,-163.12,0.6193270394308417,-130,0.5652173913043479,0.5693270394308416,1,0.7692307692307693,0.0072709159161044035,0.009452190690935725
12,6,"Wed Jan 23, 2019",Detroit,0,48%,+160,+174,+185,+170,+170,+170,+175,+170,+170,+170,+170,+180,+185,+235,+170,+170,+170,+170,-,-,+165,+170,+155,+175,+170,+170,+177,-,+175,174.44,0.3651595467669717,235,0.29850746268656714,0.3151595467669717,1,2.35,0.055784481669355235,0.02373807730610861
14,7,"Wed Jan 23, 2019",Atlanta,0,56%,+125,+105,+108,+100,-103,-105,+100,+100,+105,+100,-103,+103,+108,+153,+100,-,-,+100,-,-,+105,+100,-110,+100,+110,-105,+108,-,+100,59.95652173913044,0.4927286369527868,153,0.39525691699604737,0.4427286369527868,1,1.53,0.12010345149055057,0.07849898790232064
