,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks,Kelly_Short_10ticks
0,0,"Mon Feb 04, 2019",Denver,0,68%,-170,-155,-160,-160,-165,-180,-165,-160,-165,-160,-165,-165,-160,-,-164,-164,-164,-180,-,-,-180,-160,-160,-165,-160,-180,-153,-,-160,-164.5833,0.6217,0.6017,-153,0.6047,0,1,-0.005,0.0,-151.0574,1.662,1.6752,0.0288,0.0525,0.0879,1.6488,0.02,0.038,0.0681
1,0,"Mon Feb 04, 2019",Detroit,0,32%,+150,+140,+150,+140,+145,+160,+145,+140,+145,+140,+145,+145,+150,-,+144,+144,+144,+150,-,-,+150,+140,+140,+145,+140,+160,+148,-,+140,145.4167,0.4077,0.3877,160,0.3846,1,0,0.008,0.0050124999999999476,157.93,2.5793,2.6109,0.0123,0.019,0.0298,2.5477,0.0131,0.0211,0.0352
2,1,"Mon Feb 04, 2019",Atlanta,0,56%,+210,+225,+240,+195,+230,+215,+225,+215,+225,+195,+230,+230,+240,-,+225,+225,+225,+220,-,-,+230,+195,+195,+225,+220,+215,+240,-,+220,220.8333,0.3123,0.2923,240,0.2941,0,1,-0.0062,0.0,242.11,3.4211,3.4695,0.008,0.0114,0.0169,3.3727,0.0085,0.0124,0.0191
3,1,"Mon Feb 04, 2019",Washington,0,44%,-250,-253,-260,-235,-275,-260,-275,-255,-270,-235,-275,-270,-260,-,-265,-265,-265,-270,-,-,-285,-235,-235,-275,-260,-260,-250,-,-270,-260.75,0.7224,0.7024,-235,0.7015,1,0,0.0013,0.0030400000000000483,-236.016,1.4237,1.4322,0.0443,0.0852,0.1432,1.4152,0.02,0.0411,0.0762
4,2,"Mon Feb 04, 2019",Milwaukee,0,52%,-290,-266,-265,-275,-280,-300,-300,-275,-280,-275,-280,-275,-265,-,-275,-275,-275,-300,-,-,-330,-275,-275,-300,-280,-300,-262,-,-280,-281.7917,0.7377,0.7177,-262,0.7238,0,1,-0.0084,0.0,-254.2588,1.3933,1.4012,0.0475,0.092,0.1545,1.3854,0.0201,0.0416,0.0775
5,2,"Mon Feb 04, 2019",Brooklyn,0,48%,+245,+236,+245,+226,+235,+250,+240,+235,+230,+226,+235,+235,+245,-,+235,+235,+235,+240,-,-,+270,+226,+226,+240,+240,+250,+246,-,+230,237.9583,0.2961,0.27609999999999996,270,0.2703,1,0,0.0216,0.00798888888888888,262.19,3.6219,3.6743,0.0074,0.0104,0.0152,3.5694999999999997,0.0078,0.0112,0.017
6,3,"Mon Feb 04, 2019",Indiana,0,56%,-118,-136,-135,-131,-135,-135,-140,-130,-140,-131,-135,-140,-135,-,-140,-140,-140,-140,-,-,-140,-131,-131,-140,-130,-135,-133,-,-140,-135.9583,0.5761,0.5560999999999999,-130,0.5652,0,1,-0.0161,0.0,-125.2819,1.7982,1.8142,0.024,0.0424,0.0705,1.7822,0.02,0.0367,0.0645
7,3,"Mon Feb 04, 2019",New Orleans,0,44%,-102,+123,+125,+111,+115,+115,+120,+110,+120,+111,+115,+120,+125,-,+120,+120,+120,+120,-,-,+120,+111,+111,+120,+110,+115,+128,-,+120,117.7083,0.4596,0.4396,128,0.4386,1,0,0.0023,0.0017874999999999662,127.48,2.2748,2.3003,0.0152,0.0246,0.0394,2.2493,0.0163,0.0277,0.048
8,4,"Mon Feb 04, 2019",Houston,0,68%,-360,-359,-345,-375,-370,-400,-400,-360,-370,-375,-370,-365,-345,-,-370,-370,-370,-400,-,-,-385,-375,-375,-400,-380,-400,-355,-,-380,-374.75,0.7891,0.7691,-345,0.7753,0,1,-0.008,0.0,-333.1113,1.3002,1.3062,0.0613,0.1209,0.2007,1.2942,0.02,0.0431,0.0815
9,4,"Mon Feb 04, 2019",Phoenix,0,32%,+300,+313,+315,+299,+310,+300,+320,+290,+290,+299,+310,+285,+315,-,+310,+310,+310,+310,-,-,+315,+299,+299,+320,+310,+300,+320,-,+300,306.2083,0.2463,0.2263,320,0.2381,0,1,-0.0495,0.0,341.89,4.4189,4.487299999999999,0.0057,0.0076,0.0106,4.350499999999999,0.006,0.0081,0.0117
10,5,"Mon Feb 04, 2019",San Antonio,0,45%,-130,-127,-125,-120,-130,-130,-130,-130,-130,-120,-130,-130,-125,-,-130,-130,-130,-140,-,-,-130,-120,-120,-130,-135,-130,-121,-,-130,-128.0417,0.5613,0.5413,-120,0.5455,0,1,-0.0076,0.0,-118.008,1.8474,1.8643,0.0226,0.0396,0.0656,1.8305,0.02,0.0362,0.0633
11,5,"Mon Feb 04, 2019",Sacramento,0,55%,+110,+115,+115,+100,+110,+110,+110,+110,+110,+100,+110,+110,+115,-,+110,+110,+110,+120,-,-,+110,+100,+100,+110,+115,+110,+118,-,+110,109.9167,0.4767,0.4567,120,0.4545,1,0,0.0047,0.003949999999999973,118.96,2.1896,2.2134,0.0162,0.0267,0.043,2.1658,0.0175,0.0302,0.0531
