,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks,Kelly_Short_10ticks
0,0,"Mon Feb 04, 2019",Denver,0,68%,-170,-155,-160,-160,-160,-180,-165,-160,-165,-160,-160,-165,-160,-,-164,-164,-164,-180,-,-,-180,-160,-160,-165,-160,-180,-153,-,-160,-164.1667,0.6211,0.6011,-153,0.6047,0,1,-0.006,0.0,-150.6932,1.6636,1.6768999999999998,0.0287,0.0523,0.0876,1.6503,0.02,0.0381,0.0681
1,0,"Mon Feb 04, 2019",Detroit,0,32%,+150,+140,+150,+140,+140,+160,+145,+140,+145,+140,+140,+145,+150,-,+144,+144,+144,+150,-,-,+150,+140,+140,+145,+140,+160,+148,-,+140,145.0,0.4084,0.38839999999999997,160,0.3846,1,0,0.0098,0.006149999999999975,157.47,2.5747,2.6062000000000003,0.0123,0.0191,0.0299,2.5431999999999997,0.0131,0.0212,0.0354
2,1,"Mon Feb 04, 2019",Atlanta,0,56%,+210,+225,+240,+204,+230,+215,+225,+215,+225,+204,+230,+230,+240,-,+225,+225,+225,+220,-,-,+230,+204,+204,+225,+220,+215,+240,-,+220,222.3333,0.3106,0.29059999999999997,240,0.2941,0,1,-0.012,0.0,244.12,3.4412,3.49,0.008,0.0113,0.0167,3.3924,0.0084,0.0123,0.0189
3,1,"Mon Feb 04, 2019",Washington,0,44%,-250,-253,-260,-246,-275,-260,-275,-255,-270,-246,-275,-270,-260,-,-265,-265,-265,-270,-,-,-285,-246,-246,-275,-260,-260,-250,-,-270,-262.5833,0.724,0.704,-246,0.711,0,1,-0.0098,0.0,-237.8121,1.4205,1.4289,0.0446,0.0859,0.1443,1.4121000000000001,0.02,0.0411,0.0763
4,2,"Mon Feb 04, 2019",Milwaukee,0,53%,-290,-266,-265,-275,-280,-300,-300,-275,-280,-275,-280,-275,-265,-,-275,-275,-275,-300,-,-,-330,-275,-275,-300,-280,-300,-262,-,-280,-281.7917,0.7377,0.7177,-262,0.7238,0,1,-0.0084,0.0,-254.2588,1.3933,1.4012,0.0475,0.092,0.1545,1.3854,0.0201,0.0416,0.0775
5,2,"Mon Feb 04, 2019",Brooklyn,0,47%,+245,+236,+245,+226,+235,+250,+240,+235,+230,+226,+235,+235,+245,-,+235,+235,+235,+240,-,-,+270,+226,+226,+240,+240,+250,+246,-,+230,237.9583,0.2961,0.27609999999999996,270,0.2703,1,0,0.0216,0.00798888888888888,262.19,3.6219,3.6743,0.0074,0.0104,0.0152,3.5694999999999997,0.0078,0.0112,0.017
6,3,"Mon Feb 04, 2019",Indiana,0,56%,-118,-133,-135,-131,-135,-135,-140,-130,-140,-131,-135,-140,-135,-,-135,-135,-135,-135,-,-,-140,-131,-131,-140,-130,-135,-131,-,-140,-134.9167,0.5742,0.5542,-130,0.5652,0,1,-0.0195,0.0,-124.3163,1.8044,1.8205,0.0238,0.0421,0.0699,1.7883,0.02,0.0366,0.0643
7,3,"Mon Feb 04, 2019",New Orleans,0,44%,-102,+120,+125,+111,+115,+115,+120,+110,+120,+111,+115,+120,+125,-,+115,+115,+115,+115,-,-,+120,+111,+111,+120,+110,+115,+129,-,+120,116.7917,0.4615,0.4415,129,0.4367,1,0,0.011,0.008554263565891486,126.5,2.265,2.2903000000000002,0.0153,0.0248,0.0398,2.2397,0.0164,0.0279,0.0485
8,4,"Mon Feb 04, 2019",Houston,0,68%,-360,-359,-345,-375,-370,-400,-400,-360,-370,-375,-370,-365,-345,-,-370,-370,-370,-400,-,-,-385,-375,-375,-400,-380,-400,-355,-,-380,-374.75,0.7891,0.7691,-345,0.7753,0,1,-0.008,0.0,-333.1113,1.3002,1.3062,0.0613,0.1209,0.2007,1.2942,0.02,0.0431,0.0815
9,4,"Mon Feb 04, 2019",Phoenix,0,32%,+300,+313,+315,+299,+310,+300,+320,+290,+290,+299,+310,+285,+315,-,+310,+310,+310,+310,-,-,+315,+299,+299,+320,+310,+300,+325,-,+300,306.4167,0.2462,0.2262,325,0.2353,0,1,-0.0386,0.0,342.09,4.4209,4.4893,0.0057,0.0076,0.0106,4.3525,0.006,0.0081,0.0117
