,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
1,0,"Sat Feb 02, 2019",Detroit,0,41%,-117,-136,-138,-145,-139,-125,-135,-140,-135,-145,-139,-143,-138,-134,-140,-140,-140,-140,-,-,-135,-145,-145,-135,-140,-125,-130,-,-140,-137.88,0.5794,0.5594,-125,0.5556,1,0,0.0069,0.008650000000000047,-126.968,1.7876,1.8034,0.0431,0.0717,1.7717999999999998,0.0368,0.0648
6,3,"Sat Feb 02, 2019",Milwaukee,0,88%,-270,-281,-290,-310,-300,-320,-325,-310,-330,-310,-300,-300,-290,-300,-310,-310,-310,-310,-,-,-320,-310,-310,-325,-300,-320,-276,-,-315,-307.28,0.7542,0.7342,-276,0.734,1,0,0.0002,0.0005919999999998083,-276.2431,1.362,1.3692,0.1001,0.1677,1.3548,0.042,0.0787
9,4,"Sat Feb 02, 2019",Miami,0,51%,-155,-136,-135,-140,-140,-135,-135,-140,-135,-140,-140,-140,-135,-132,-140,-140,-140,-140,-,-,-140,-140,-140,-135,-145,-135,-126,-,-140,-137.76,0.5793,0.5593,-126,0.5575,1,0,0.0032,0.004018000000000024,-126.9197,1.7879,1.8037,0.0431,0.0716,1.7721,0.0368,0.0648
11,5,"Sat Feb 02, 2019",Cleveland,0,69%,+380,+201,+205,+199,+200,+210,+205,+230,+200,+199,+200,+200,+205,+228,+205,+205,+205,+200,-,-,+190,+199,+199,+205,+210,+210,+214,-,+210,205.36,0.3277,0.3077,230,0.303,1,0,0.0154,0.006699999999999919,224.99,3.2499,3.2949,0.0125,0.0186,3.2049,0.0292,0.0446
17,8,"Sat Feb 02, 2019",Minnesota,0,36%,-102,-105,-103,-110,-110,+105,-110,-115,-105,-110,-110,-110,-103,-100,-105,-,+100,+100,-,-,-110,-110,-110,-110,-115,+105,-101,-,-115,-73.2083,0.5155,0.49549999999999994,105,0.4878,1,0,0.0158,0.015023809523809401,101.82,2.0182,2.0385999999999997,0.0321,0.0524,1.9978,0.0349,0.0596
19,9,"Sat Feb 02, 2019",Utah,0,38%,-280,-265,-270,-300,-275,-300,-300,-280,-300,-300,-275,-280,-270,-288,-295,-295,-295,-300,-,-,-295,-300,-300,-300,-285,-300,-260,-,-290,-288.72,0.7425,0.7225,-260,0.7222,1,0,0.0004,0.001000000000000112,-260.3489,1.3841,1.3918,0.0944,0.1582,1.3764,0.0417,0.0778
28,14,"Sunday, February 03, 2019",L.A. Clippers,0,-,-,+475,+423,+475,+130,+475,+400,+455,-,+475,+492,+475,-,+475,-,-,-,+475,+475,-,-,+475,+492,-,+130,+475,+400,-,-,426.2222,0.2066,0.18660000000000002,492,0.1689,1,0,0.1047,0.0212747967479675,435.91,5.3591,5.4463,0.0057,0.0077,5.2719,0.0256,0.0349
