,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks,Kelly_Short_10ticks
1,0,"Mon Feb 04, 2019",Detroit,0,32%,+150,+140,+150,+140,+140,+160,+145,+140,+145,+140,+140,+145,+150,-,+144,+144,+144,+150,-,-,+150,+140,+140,+145,+140,+160,+148,-,+140,145.0,0.4084,0.38839999999999997,160,0.3846,1,0,0.0098,0.006149999999999975,157.47,2.5747,2.6062000000000003,0.0123,0.0191,0.0299,2.5431999999999997,0.0131,0.0212,0.0354
5,2,"Mon Feb 04, 2019",Brooklyn,0,47%,+245,+236,+245,+226,+235,+250,+240,+235,+230,+226,+235,+235,+245,-,+235,+235,+235,+240,-,-,+270,+226,+226,+240,+240,+250,+246,-,+230,237.9583,0.2961,0.27609999999999996,270,0.2703,1,0,0.0216,0.00798888888888888,262.19,3.6219,3.6743,0.0074,0.0104,0.0152,3.5694999999999997,0.0078,0.0112,0.017
7,3,"Mon Feb 04, 2019",New Orleans,0,44%,-102,+120,+125,+111,+115,+115,+120,+110,+120,+111,+115,+120,+125,-,+115,+115,+115,+115,-,-,+120,+111,+111,+120,+110,+115,+129,-,+120,116.7917,0.4615,0.4415,129,0.4367,1,0,0.011,0.008554263565891486,126.5,2.265,2.2903000000000002,0.0153,0.0248,0.0398,2.2397,0.0164,0.0279,0.0485
11,5,"Mon Feb 04, 2019",Sacramento,0,55%,+110,+115,+115,+100,+110,+110,+110,+110,+110,+100,+110,+110,+115,-,+110,+110,+110,+120,-,-,+110,+100,+100,+110,+115,+110,+118,-,+110,109.9167,0.4767,0.4567,120,0.4545,1,0,0.0047,0.003949999999999973,118.96,2.1896,2.2134,0.0162,0.0267,0.043,2.1658,0.0175,0.0302,0.0531
