,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Mon Feb 11, 2019",Washington,0,40%,+145,+202,+200,+195,+200,+195,+195,+190,+190,+195,+200,+200,+200,+163,+193,+193,+193,+145,-,-,+190,+195,+195,+195,+200,+195,+204,-,+190,192.52,0.3425,0.3225,204,0.3289,0,1,-0.0196,0.0,210.08,3.1008,3.1428,0.0092,0.0135,3.0588,0.0098,0.0148
1,0,"Mon Feb 11, 2019",Detroit,0,60%,-165,-226,-220,-235,-240,-235,-230,-230,-230,-235,-240,-230,-220,-191,-233,-233,-233,-170,-,-,-230,-235,-235,-230,-240,-235,-220,-,-230,-227.44,0.6938,0.6738,-170,0.6296,1,0,0.0702,0.1192599999999999,-206.5689,1.4841,1.4938,0.0389,0.0739,1.4744,0.02,0.0402
2,1,"Mon Feb 11, 2019",New York,0,61%,-102,+115,+110,+105,+107,+100,+105,+105,+100,+105,+107,+105,+110,+106,+110,+110,+110,+100,-,-,+105,+105,+105,+105,+105,+100,+116,-,+105,106.24,0.4851,0.46509999999999996,116,0.463,1,0,0.0046,0.00397931034482745,115.01,2.1501,2.1731,0.0168,0.0278,2.1271,0.0181,0.0315
3,1,"Mon Feb 11, 2019",Cleveland,0,39%,-118,-127,-120,-125,-127,-120,-125,-125,-120,-125,-127,-125,-120,-122,-130,-130,-130,-120,-,-,-125,-125,-125,-125,-125,-120,-124,-,-125,-124.48,0.5544,0.5344,-120,0.5455,0,1,-0.0203,0.0,-114.771,1.8713,1.8887,0.022,0.0384,1.8538999999999999,0.02,0.036
4,2,"Mon Feb 11, 2019",Charlotte,0,41%,+180,+189,+190,+188,+185,+180,+185,+185,+190,+188,+185,+190,+190,+187,+185,+185,+185,+180,-,-,+180,+188,+188,+185,+180,+180,+198,-,+180,185.84,0.3499,0.32989999999999997,198,0.3356,0,1,-0.0169,0.0,203.12,3.0312,3.0718,0.0096,0.0141,2.9905999999999997,0.0101,0.0154
5,2,"Mon Feb 11, 2019",Indiana,0,59%,-220,-211,-210,-225,-215,-220,-220,-225,-230,-225,-215,-220,-210,-220,-225,-225,-225,-220,-,-,-220,-225,-225,-220,-220,-220,-208,-,-220,-219.96,0.6874,0.6674,-208,0.6753,0,1,-0.0117,0.0,-200.6421,1.4984,1.5084,0.038,0.0718,1.4884,0.02,0.04
6,3,"Mon Feb 11, 2019",Brooklyn,0,55%,+425,+456,+450,+447,+455,+400,+455,+440,+450,+447,+455,+425,+450,+439,+445,-,-,+450,-,-,+460,+447,+447,+455,+450,+400,+470,-,+425,444.2609,0.1839,0.16390000000000002,470,0.1754,0,1,-0.0658,0.0,510.13,6.1013,6.2033,0.0038,0.0047,5.9993,0.004,0.005
7,3,"Mon Feb 11, 2019",Toronto,0,45%,-550,-543,-525,-600,-560,-600,-605,-600,-600,-600,-560,-550,-525,-568,-595,-,-,-600,-,-,-615,-600,-600,-605,-600,-600,-530,-,-550,-579.6087,0.8526,0.8326,-525,0.84,0,1,-0.0088,0.0,-497.265,1.2011,1.2051,0.0889,0.1764,1.1971,0.0199,0.0449
8,4,"Mon Feb 11, 2019",Portland,0,53%,+240,+209,+200,+192,+200,+200,+205,+190,+225,+192,+200,+200,+200,+231,+200,+200,+200,+195,-,-,+190,+192,+192,+205,+200,+200,+204,-,+190,200.48,0.3331,0.3131,231,0.3021,1,0,0.0364,0.01574069264069263,219.39,3.1939,3.2378,0.0089,0.0129,3.15,0.0094,0.014
9,4,"Mon Feb 11, 2019",Oklahoma City,0,47%,-280,-234,-220,-230,-240,-240,-245,-230,-270,-230,-240,-230,-220,-277,-240,-240,-240,-245,-,-,-230,-230,-230,-245,-240,-240,-224,-,-230,-237.6,0.7034,0.6834,-220,0.6875,0,1,-0.006,0.0,-215.8429,1.4633,1.4726,0.0407,0.0776,1.454,0.02,0.0405
10,5,"Mon Feb 11, 2019",Dallas,0,60%,+385,+466,+468,+471,+485,+410,+460,+450,+475,+471,+485,+450,+468,+421,+450,-,-,+450,-,-,+440,+471,+471,+460,+450,+410,+500,-,+425,456.8261,0.1799,0.15990000000000001,500,0.1667,0,1,-0.0406,0.0,525.39,6.2539,6.359,0.0037,0.0046,6.1488,0.0039,0.0049
11,5,"Mon Feb 11, 2019",Houston,0,40%,-535,-557,-550,-640,-610,-620,-610,-620,-625,-640,-610,-600,-550,-543,-600,-,-,-600,-,-,-585,-640,-640,-610,-600,-620,-530,-,-550,-597.8261,0.8564,0.8364,-530,0.8413,0,1,-0.0058,0.0,-511.2474,1.1956,1.1995,0.0911,0.1807,1.1917,0.02,0.0451
12,6,"Mon Feb 11, 2019",Milwaukee,0,55%,-535,-675,-705,-900,-850,-900,-885,-900,-900,-900,-850,-800,-705,-704,-800,-,-,-860,-,-,-805,-900,-900,-885,-850,-900,-680,-,-850,-830.6087,0.8917,0.8717,-675,0.871,1,0,0.0008,0.00567500000000027,-679.3478,1.1472,1.1501000000000001,0.1174,0.2305,1.1443,0.0199,0.0461
13,6,"Mon Feb 11, 2019",Chicago,0,45%,+385,+552,+570,+614,+635,+550,+635,+600,+600,+614,+635,+600,+570,+524,+550,-,-,+610,-,-,+555,+614,+614,+635,+650,+550,+530,-,+575,590.5217,0.1452,0.1252,650,0.1333,0,1,-0.061,0.0,698.72,7.9872,8.126900000000001,0.0028,0.0033,7.8475,0.0029,0.0035
14,7,"Mon Feb 11, 2019",L.A. Clippers,0,92%,+165,+150,+150,+146,+150,+150,+150,+145,+145,+155,+150,+145,+150,+159,+165,+165,+165,+145,-,-,+145,+146,+155,+150,+153,+150,+152,-,+167,152.12,0.3969,0.37689999999999996,167,0.3745,1,0,0.0063,0.0037862275449101605,165.32,2.6532,2.6863,0.0117,0.018,2.6201,0.0125,0.02
15,7,"Mon Feb 11, 2019",Minnesota,0,8%,-205,-167,-160,-167,-170,-170,-170,-165,-165,-180,-170,-165,-160,-186,-195,-195,-195,-170,-,-,-170,-167,-180,-170,-173,-170,-159,-,-192,-173.24,0.6335,0.6134999999999999,-159,0.6139,0,1,-0.0007,0.0,-158.7302,1.63,1.6425999999999998,0.0302,0.0555,1.6174,0.02,0.0384
16,8,"Mon Feb 11, 2019",Miami,0,89%,+425,+469,+485,+471,+475,+420,+465,+470,+475,+471,+475,+450,+485,+439,+452,+452,+452,+460,-,-,+450,+471,+471,+465,+450,+420,+460,-,+450,460.12,0.1787,0.1587,485,0.1709,0,1,-0.0716,0.0,530.12,6.3012,6.4072,0.0037,0.0045,6.1952,0.0039,0.0048
17,8,"Mon Feb 11, 2019",Denver,0,11%,-550,-561,-575,-640,-600,-640,-615,-650,-625,-640,-600,-600,-575,-568,-627,-627,-627,-620,-,-,-600,-640,-640,-615,-600,-640,-520,-,-600,-609.8,0.8588,0.8388,-520,0.8387,1,0,0.0001,0.0005600000000000049,-520.2914,1.1922,1.196,0.0925,0.1835,1.1884000000000001,0.0199,0.0451
18,9,"Tuesday, February 12, 2019",L.A. Lakers,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
19,9,"Tuesday, February 12, 2019",Atlanta,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
20,10,"Tuesday, February 12, 2019",Orlando,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
21,10,"Tuesday, February 12, 2019",New Orleans,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
22,11,"Tuesday, February 12, 2019",Boston,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
23,11,"Tuesday, February 12, 2019",Philadelphia,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
24,12,"Tuesday, February 12, 2019",San Antonio,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
25,12,"Tuesday, February 12, 2019",Memphis,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
26,13,"Tuesday, February 12, 2019",Utah,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
27,13,"Tuesday, February 12, 2019",Golden State,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
