,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
28,14,"Tue Feb 05, 2019",(22) Florida State,0,37%,+125,+120,+130,+120,-330,+125,+125,+115,-320,+120,+122,+125,-310,+118,+120,-,-,+125,-,-,-325,+120,+120,+125,-345,+125,+106,-,-350,3.5217,0.5344,0.5144,130,0.4348,1,0,0.1831,0.14086153846153843,-105.9322,1.944,1.9628999999999999,0.0204,0.035,1.9251,0.02,0.0354
29,14,"Tue Feb 05, 2019",Syracuse,0,63%,-145,-140,-140,-140,+275,-145,-145,-135,+250,-140,-142,-145,+280,-143,-140,-,-,-145,-,-,+265,-140,-140,-145,+285,-145,-161,-,+275,-34.8261,0.5051,0.4851,285,0.2597,1,0,0.8676,0.30443333333333333,106.14,2.0614,2.0826000000000002,0.0181,0.0305,2.0402,0.0196,0.0346
30,15,"Tue Feb 05, 2019",North Carolina State,0,100%,+500,+417,+480,+462,-,+425,+470,+450,-,+462,+445,+450,+2750,+413,+450,-,-,+450,-,-,-,+462,+462,+470,+4205,+425,+325,-,-,761.7368,0.1689,0.1489,4205,0.0232,1,0,5.4101,0.12865980975029728,571.59,6.7159,6.8302,0.0034,0.0042,6.601600000000001,0.0036,0.0044
31,15,"Tue Feb 05, 2019",(8) North Carolina,0,0%,-700,-545,-570,-625,-,-650,-620,-620,-,-625,-550,-600,-6000,-578,-600,-,-,-600,-,-,-,-625,-625,-620,-8205,-650,-,-,-,-1328.2222,0.8724,0.8523999999999999,-545,0.845,1,0,0.0088,0.047979999999999565,-577.3672,1.1732,1.1767,0.102,0.2013,1.1697,0.02,0.0456
32,16,"Tue Feb 05, 2019",Dayton,0,52%,+100,-,-,-,-,-,-,-,-,-,-,-,+2750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
33,16,"Tue Feb 05, 2019",Saint Louis,0,48%,-120,-,-,-,-,-,-,-,-,-,-,-,-6000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
34,17,"Tue Feb 05, 2019",Missouri,0,44%,+1300,-,-,-,+125,-,-,-,+120,-,-,-,+130,-,-,-,-,-,-,-,+125,-,-,-,+125,-,-,-,+125,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
35,17,"Tue Feb 05, 2019",(1) Tennessee,0,56%,-2150,-,-,-,-145,-,-,-,-140,-,-,-,-140,-,-,-,-,-,-,-,-145,-,-,-,-145,-,-,-,-145,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
36,18,"Tue Feb 05, 2019",(13) Kansas,0,50%,+125,-,-,-,+255,-,-,-,+255,-,-,-,+265,-,-,-,-,-,-,-,+255,-,-,-,+250,-,-,-,+250,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
37,18,"Tue Feb 05, 2019",Kansas State,0,50%,-145,-,-,-,-305,-,-,-,-330,-,-,-,-295,-,-,-,-,-,-,-,-315,-,-,-,-300,-,-,-,-310,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
