,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Tue Feb 05, 2019",L.A. Lakers,0,66%,-155,-125,-135,-150,-135,-160,-140,-135,-150,-150,-135,-140,-135,-128,-135,-135,-135,-135,-,-,-145,-150,-150,-140,-140,-160,-119,-,-135,-139.88,0.5824,0.5624,-119,0.5434,1,0,0.035,0.04165600000000005,-128.5182,1.7781,1.7936999999999999,0.0246,0.0437,1.7624999999999997,0.02,0.0369
1,0,"Tue Feb 05, 2019",Indiana,0,34%,+135,+113,+125,+130,+115,+140,+120,+115,+130,+130,+115,+120,+125,+111,+115,+115,+115,+115,-,-,+125,+130,+130,+120,+120,+140,+118,-,+115,121.88,0.4513,0.43129999999999996,140,0.4167,1,0,0.0351,0.025085714285714236,131.86,2.3186,2.3449999999999998,0.0147,0.0236,2.2922000000000002,0.0157,0.0265
2,1,"Tue Feb 05, 2019",Boston,0,36%,-950,-747,-750,-870,-850,-900,-800,-875,-900,-870,-850,-800,-750,-833,-,-,-,-845,-,-,-810,-870,-870,-800,-800,-900,-720,-,-800,-827.7273,0.8919,0.8719,-720,0.878,0,1,-0.007,0.0,-680.7352,1.1469,1.1498,0.1175,0.2308,1.144,0.02,0.0461
3,1,"Tue Feb 05, 2019",Cleveland,0,64%,+625,+602,+600,+599,+635,+550,+600,+585,+600,+599,+635,+600,+600,+594,-,-,-,+595,-,-,+555,+599,+599,+600,+600,+550,+640,-,+550,594.8636,0.1441,0.1241,640,0.1351,0,1,-0.0817,0.0,705.8,8.058,8.199200000000001,0.0028,0.0033,7.9168,0.0029,0.0035
4,2,"Tue Feb 05, 2019",L.A. Clippers,0,88%,+105,+146,+155,+144,+140,+140,+145,+150,+145,+144,+140,+150,+155,+143,+148,+148,+148,+145,-,-,+150,+144,+144,+145,+150,+140,+149,-,+145,146.12,0.4064,0.38639999999999997,155,0.3922,0,1,-0.0147,0.0,158.8,2.588,2.6197999999999997,0.0122,0.0189,2.5562,0.013,0.021
5,2,"Tue Feb 05, 2019",Charlotte,0,12%,-135,-161,-165,-165,-160,-160,-165,-170,-165,-165,-160,-170,-165,-166,-168,-168,-168,-170,-,-,-180,-165,-165,-165,-170,-160,-158,-,-165,-165.56,0.6233,0.6033,-158,0.6124,0,1,-0.0149,0.0,-152.0681,1.6576,1.6707999999999998,0.029,0.0529,1.6444,0.02,0.0381
6,3,"Tue Feb 05, 2019",Detroit,0,52%,-155,-174,-170,-175,-175,-190,-175,-190,-180,-175,-175,-175,-170,-180,-175,-175,-175,-180,-,-,-175,-175,-175,-175,-185,-190,-171,-,-175,-177.2,0.6391,0.6191,-170,0.6296,0,1,-0.0167,0.0,-162.5488,1.6152,1.6275,0.0308,0.0569,1.6029,0.02,0.0386
7,3,"Tue Feb 05, 2019",New York,0,48%,+135,+157,+160,+151,+155,+165,+155,+165,+160,+151,+155,+155,+160,+154,+155,+155,+155,+150,-,-,+150,+151,+151,+155,+165,+165,+165,-,+155,156.6,0.3899,0.3699,165,0.3774,0,1,-0.0198,0.0,170.34,2.7034,2.7375,0.0114,0.0174,2.6693,0.0121,0.0192
8,4,"Tue Feb 05, 2019",Orlando,0,40%,+400,+399,+420,+422,+420,+385,+415,+370,+400,+422,+420,+400,+420,+393,+416,+416,+416,+400,-,-,+410,+422,+422,+415,+400,+385,+410,-,+400,407.92,0.197,0.17700000000000002,422,0.1916,0,1,-0.0761,0.0,464.97,5.6497,5.7427,0.0042,0.0053,5.5567,0.0044,0.0056
9,4,"Tue Feb 05, 2019",Oklahoma City,0,60%,-500,-468,-475,-560,-515,-570,-540,-490,-500,-560,-515,-500,-475,-503,-536,-536,-536,-550,-,-,-540,-560,-560,-540,-500,-570,-420,-,-525,-521.76,0.8386,0.8186,-420,0.8077,1,0,0.0135,0.0567199999999999,-451.2635,1.2216,1.226,0.0812,0.1614,1.2172,0.02,0.0445
