,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
12,6,"Wed Jan 30, 2019",La Salle,0,50%,+438,+433,+465,+431,+416,+400,+445,+425,+390,+431,+445,+445,+415,+429,+440,-,-,+435,-,-,-,+431,+431,+445,+425,+400,-,-,-,428.85,0.18929966221340322,0.1492996622134032,465,0.17699115044247787,0,1,4.65,-1,1,-4.65,-0.15645690849427185,0.15645690849427185,569.7938797548238,5.697938797548238,6.811897573499204,0.004175949777264648,0.005403336674888453,6.583980021597273,0.02447898986640218,0.0319439729770723
13,6,"Wed Jan 30, 2019",Richmond,0,50%,-575,-571,-545,-575,-550,-600,-570,-580,-520,-575,-550,-570,-525,-606,-580,-,-,-585,-,-,-,-575,-575,-570,-550,-600,-,-,-,-568.6,0.8502643489636601,0.8102643489636601,-520,0.8387096774193549,0,1,0.19230769230769232,-1,1,-0.19230769230769232,-0.03391558392794375,0.03391558392794375,-427.0490783034079,0.23416512312187324,1.2388484255843109,0.15339509079642547,0.2503218002882178,1.2294818206594358,0.044307930468909795,0.08482114791709282
15,7,"Wed Jan 30, 2019",Indiana,0,100%,+125,+105,+108,+107,-515,+110,+105,+105,-550,+107,+105,+103,-500,+103,+105,-,-,+110,-,-,-540,+107,+107,+105,-600,+110,-,-,-550,-70.5909090909091,0.5826223185925576,0.5426223185925576,110,0.47619047619047616,1,0,1.1,-1,1,-1.1,0.13950686904437104,-0.13950686904437104,-118.63769061113793,0.8429024493385732,1.8597604983253446,0.039877165061087246,0.06606834267303803,1.8260444003518017,0.036278669557776755,0.06340978548740461
17,8,"Wed Jan 30, 2019",(12) Virginia Tech,0,45%,+280,+303,+348,+327,-155,+310,+340,+300,-155,+327,+315,+310,-150,+300,+327,-,-,+315,-,-,-150,+327,+327,+340,-160,+310,+292,-,-155,195.34782608695653,0.3349786948396495,0.2949786948396495,348,0.2232142857142857,1,0,3.48,-1,1,-3.48,0.3215045528816298,-0.3215045528816298,239.0075342707717,2.3900753427077173,3.4378768495618717,0.011595976243868315,0.017179043023580365,3.342273835853563,0.02884936084518941,0.04359829558717199
20,10,"Wed Jan 30, 2019",(20) Iowa State,0,0%,+150,+160,+175,+170,-130,+170,+170,+165,-130,+170,+170,+170,-125,+158,+170,-,-,+170,-,-,-130,+170,+170,+170,-135,+170,-,-,-130,87.18181818181819,0.424933854016653,0.38493385401665303,175,0.36363636363636365,1,0,1.75,-1,1,-1.75,0.05856809854579581,-0.05856809854579581,159.78489279790338,1.5978489279790338,2.629805906538615,0.018780750500816616,0.02936439754849373,2.565891949419453,0.03154801562049969,0.05079470832133237
21,10,"Wed Jan 30, 2019",Providence,0,100%,-170,-189,-190,-200,+110,-200,-195,-190,+110,-200,-195,-200,+115,-194,-200,-,-,-200,-,-,+110,-200,-200,-195,+115,-200,-,-,+110,-112.63636363636364,0.611010605558083,0.5710106055580829,115,0.46511627906976744,1,0,1.15,-1,1,-1.15,0.22767280194987827,-0.22767280194987827,-133.10599584890082,0.7512809574222181,1.7663065765706625,0.0454857515943685,0.07581709549597214,1.7362553382737738,0.037130318166742504,0.06568084844464661
24,12,"Wed Jan 30, 2019",Niagara,0,45%,-,+150,+146,+155,-125,+150,+150,+150,-130,+150,+151,+152,-118,+150,+144,+148,-,+150,+145,-,-125,+150,+151,+151,-130,+150,+150,-,-125,83.6,0.43801265753574853,0.39801265753574855,155,0.3921568627450981,1,0,1.55,-1,1,-1.55,0.014932276716158821,-0.014932276716158821,151.24829099440947,1.5124829099440946,2.542732568142977,0.0200538247066254,0.031557791942643194,2.482233251745213,0.03194037972607244,0.05184101260285989
25,12,"Wed Jan 30, 2019",South Dakota,0,55%,-,-170,-172,-165,+105,-170,-170,-170,+110,-170,-175,-172,+108,-170,-176,-168,-,-170,-170,-,+105,-170,-175,-175,+110,-170,-170,-,+105,-104.2,0.5953390350064938,0.5553390350064937,110,0.47619047619047616,1,0,1.1,-1,1,-1.1,0.16621197351363692,-0.16621197351363692,-124.89043984659273,0.8007018000964163,1.8167158360983446,0.04229779764406555,0.07028036416904207,1.784687764094488,0.03666017105019481,0.06442712280051943
26,13,"Wed Jan 30, 2019",Purdue Fort Wayne,0,94%,-,+115,-,+115,-375,+115,-,+115,-410,+115,-,-,-390,+115,-,+115,-,+115,+115,-,-415,+115,-,-,-420,+115,-,-,-380,-66.17647058823529,0.5829868768841047,0.5429868768841046,115,0.46511627906976744,1,0,1.15,-1,1,-1.15,0.16742178530082485,-0.16742178530082485,-118.81209738180908,0.8416651351473462,1.8584984378502931,0.039944599566282525,0.06618576269462505,1.8248318324443993,0.03628960630652317,0.06343895015072837
28,14,"Wed Jan 30, 2019",Longwood,0,93%,-,+500,-,+280,+660,+500,-,+285,+600,+500,-,-,+660,+500,-,+285,-,+500,+280,-,+600,+500,-,-,+650,+500,-,-,+600,494.11764705882354,0.17867797836838084,0.13867797836838083,660,0.13157894736842105,1,0,6.6,-1,1,-6.6,0.05395263559969421,-0.05395263559969421,621.0950229917718,6.210950229917717,7.335169234516072,0.003783821299590431,0.004831922384059686,7.0867312253193635,0.02416033935105133,0.03109423826947033
