,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
0,0,"Wed Jan 30, 2019",Florida,0,52%,+200,+186,+200,+199,+195,+205,+195,+190,+200,+199,+195,+200,+200,+184,+193,-,-,+190,-,-,+190,+199,+199,+195,+205,+205,-,-,+190,196.0909090909091,0.33786522886830006,0.2978652288683001,205,0.3278688524590164,0,1,2.05,-1,1,-2.05,-0.09151105195168474,0.09151105195168474,235.72230092091274,2.3572230092091275,3.40436746939331,0.0117895780590677,0.017501113093471743,3.310078549024945,0.028935956866048995,0.04382921830946407
1,0,"Wed Jan 30, 2019",(10) Marquette,0,48%,-240,-222,-220,-240,-225,-245,-230,-230,-240,-240,-225,-230,-220,-228,-233,-,-,-235,-,-,-230,-240,-240,-230,-245,-245,-,-,-230,-232.86363636363637,0.6994106952622549,0.6594106952622548,-220,0.6875,0,1,0.45454545454545453,-1,1,-0.45454545454545453,-0.04085717052762938,0.04085717052762938,-193.60874991949703,0.5165055817032042,1.5268356933372682,0.06896646881837026,0.11606367728302894,1.50617547006914,0.03978232085786759,0.07275285562098033
2,1,"Wed Jan 30, 2019",Butler,0,97%,+135,+123,+130,+123,+117,+120,+120,+125,+125,+123,+117,+125,+130,+121,+125,-,-,+120,-,-,+125,+123,+123,+120,+125,+120,+125,-,+125,123.04347826086956,0.4484412254782507,0.40844122547825074,130,0.4347826086956522,0,1,1.3,-1,1,-1.3,-0.060585181400023225,0.060585181400023225,144.83326795160872,1.4483326795160871,2.4772993331064086,0.021117822855816253,0.03339587923017677,2.4193660259257657,0.03225323676434744,0.05267529803825999
3,1,"Wed Jan 30, 2019",Fordham,0,3%,-155,-144,-140,-143,-137,-140,-140,-145,-145,-143,-137,-145,-140,-147,-145,-,-,-140,-,-,-145,-143,-143,-140,-145,-140,-148,-,-145,-142.6086956521739,0.5877520831761063,0.5477520831761062,-137,0.5780590717299579,0,1,0.7299270072992701,-1,1,-0.7299270072992701,-0.052428878009217694,0.052428878009217694,-121.1176575500738,0.8256434447525283,1.8421563136475787,0.040836523754821295,0.06773840575032315,1.8091305758574778,0.03643256249528315,0.0638201666540884
4,2,"Wed Jan 30, 2019",George Washington,0,100%,+135,+120,+130,+117,+113,+115,+120,+125,+120,+117,+113,+125,+130,+118,+115,-,-,+120,-,-,+120,+117,+117,+120,+125,+115,-,-,+120,119.63636363636364,0.45550301248103936,0.4155030124810394,130,0.4347826086956522,0,1,1.3,-1,1,-1.3,-0.04434307129360937,0.04434307129360937,140.67214194882231,1.4067214194882232,2.4348558478779876,0.02186413611855131,0.034687453595130986,2.3785869910984587,0.03246509037443124,0.053240240998483124
5,2,"Wed Jan 30, 2019",Northern Iowa,0,0%,-155,-141,-140,-137,-133,-135,-140,-145,-140,-137,-133,-145,-140,-144,-135,-,-,-140,-,-,-140,-137,-137,-140,-145,-135,-,-,-140,-139.04545454545453,0.581576113152953,0.541576113152953,-133,0.5708154506437768,0,1,0.7518796992481203,-1,1,-0.7518796992481203,-0.05122380176963881,0.05122380176963881,-118.13872023070421,0.8464625298523425,1.8633917804493894,0.039684267113455865,0.06573243651995535,1.8295332792552956,0.0362472833945886,0.06332608905223625
6,3,"Wed Jan 30, 2019",Bradley,0,0%,+438,+400,+435,+416,+420,+145,+140,+150,+438,+144,+143,+145,+438,+138,+143,-,+438,+140,-,-,+438,+144,+144,+140,+438,+145,-,-,+438,267.82608695652175,0.3145858692528078,0.2745858692528078,438,0.1858736059479554,1,0,4.38,-1,1,-4.38,0.4772719765801059,-0.4772719765801059,264.1848004491857,2.6418480044918566,3.694684964581694,0.010288093694530013,0.015016672745618872,3.5890110444020196,0.028237576077584148,0.04196686954022466
7,3,"Wed Jan 30, 2019",Evansville,0,100%,-575,-519,-500,-550,-515,-165,-160,-170,-575,-165,-163,-165,-575,-168,-163,-,-575,-165,-,-,-575,-165,-165,-160,-575,-165,-,-,-575,-333.60869565217394,0.7196410695811422,0.6796410695811421,-160,0.6153846153846154,1,0,0.625,-1,1,-0.625,0.10441673806935592,-0.10441673806935592,-212.14987473348586,0.47136487884155204,1.4807921764183831,0.07609236511353282,0.12805145900057174,1.461937581264721,0.04038923208743417,0.07437128556649131
9,4,"Wed Jan 30, 2019",Duquesne,0,50%,-185,-164,-160,-165,-163,+115,+115,+120,-600,+113,+113,+115,-550,+116,+115,-,-549,+115,-,-,-565,+113,+113,+115,-550,+115,-,-,-600,-111.8695652173913,0.592713087576476,0.552713087576476,120,0.45454545454545453,1,0,1.2,-1,1,-1.2,0.2159687926682471,-0.2159687926682471,-123.57014529705862,0.8092569589491316,1.8254420981281143,0.041786193176582775,0.06939066975233726,1.793071819770149,0.03658139262729437,0.06421704700611813
11,5,"Wed Jan 30, 2019",La Salle,0,57%,+115,+118,+120,+113,+113,+110,+110,+115,-550,+113,+110,+110,-515,+110,+110,-,-555,+110,-,-,-,+113,+113,+110,-550,+110,-,-,-,-12.476190476190476,0.5423116079334102,0.5023116079334101,120,0.45454545454545453,1,0,1.2,-1,1,-1.2,0.10508553745350224,-0.10508553745350224,-100.92893785358804,0.9907961197913764,2.010612042187204,0.03306519900121265,0.054190776210337736,1.9709801973955487,0.03506934823800234,0.06018492863467284
12,6,"Wed Jan 30, 2019",Richmond,0,50%,-118,-131,-125,-133,-130,+400,+445,+425,+390,+431,+445,+455,+415,+429,+445,-,-,+440,-,-,-,+431,+431,+445,+425,+400,-,-,-,316.65,0.2645607361610337,0.2245607361610337,455,0.1801801801801802,1,0,4.55,-1,1,-4.55,0.24631208569373697,-0.24631208569373697,345.31382337600405,3.4531382337600407,4.522200998435241,0.007484691397976404,0.010481157425908497,4.38407546908484,0.02673682208483097,0.0379648588928827
17,8,"Wed Jan 30, 2019",Miami (FL),0,45%,+125,+108,+118,+107,+108,+315,+350,+300,-160,+327,+315,+325,-160,+314,+338,-,-,+325,-,-,-165,+327,+327,+350,-160,+315,+292,-,-160,180.69565217391303,0.36099933093547004,0.32099933093547006,350,0.2222222222222222,1,0,3.5,-1,1,-3.5,0.4444969892096152,-0.4444969892096152,211.52712907087903,2.1152712907087903,3.157576716522966,0.01342194801489504,0.020234061655805897,3.0729658648946145,0.029629979928064043,0.04567994647483764
