,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
0,0,"Wed Jan 30, 2019",Ole Miss,0,56%,+200,+181,+200,+195,+190,+190,+185,+180,+190,+195,+190,+200,+200,+179,+185,-,-,+185,-,-,+190,+195,+195,+185,+205,+190,-,-,+180,190.22727272727272,0.3447661765679482,0.30476617656794824,205,0.3278688524590164,0,1,2.05,-1,1,-2.05,-0.07046316146775788,0.07046316146775788,228.12040078110437,2.2812040078110436,3.3268280879672645,0.012261292873714842,0.01828777833316162,3.2355799276548227,0.029142985297038404,0.0443812941254359
1,0,"Wed Jan 30, 2019",Florida,0,44%,-240,-215,-220,-235,-220,-230,-220,-220,-230,-235,-220,-230,-220,-221,-225,-,-,-225,-,-,-230,-235,-235,-220,-245,-230,-,-,-220,-226.4090909090909,0.6934814613201244,0.6534814613201244,-215,0.6825396825396826,0,1,0.46511627906976744,-1,1,-0.46511627906976744,-0.04257367294958514,0.04257367294958514,-188.58484853643878,0.5302652931880568,1.540870599051818,0.06702727112020426,0.11278176438823614,1.5196599873242955,0.03960444383960382,0.07227851690561005
2,1,"Wed Jan 30, 2019",(10) Marquette,0,98%,+135,+127,+135,+125,+128,+115,+120,+130,+125,+125,+128,+130,+135,+125,+130,-,-,+130,-,-,+125,+125,+125,+120,+130,+115,+139,-,+130,126.82608695652173,0.44114459647656884,0.40114459647656886,139,0.4184100418410042,0,1,1.39,-1,1,-1.39,-0.041264414421000484,0.041264414421000484,149.28666839425088,1.4928666839425089,2.522724017621359,0.020368696309951962,0.03210131060639813,2.4630093502636585,0.032034337894297105,0.05209156771812562
3,1,"Wed Jan 30, 2019",Butler,0,2%,-155,-149,-145,-145,-148,-135,-140,-150,-145,-145,-148,-150,-145,-152,-150,-,-,-150,-,-,-145,-145,-145,-140,-150,-135,-154,-,-150,-146.1304347826087,0.5935527170259758,0.5535527170259757,-135,0.574468085106383,0,1,0.7407407407407407,-1,1,-0.7407407407407407,-0.03640823332515336,0.03640823332515336,-123.990611688454,0.8065126757440781,1.8226429292589597,0.0419490954242478,0.06967399339819279,1.7903824222291966,0.03660658151077928,0.06428421736207807
4,2,"Wed Jan 30, 2019",Fordham,0,100%,+135,+120,+130,+115,+113,+115,+120,+125,+120,+115,+113,+125,+130,+118,+115,-,-,+120,-,-,+115,+115,+115,+120,+125,+115,-,-,+120,119.04545454545455,0.4567629201380008,0.4167629201380008,130,0.4347826086956522,0,1,1.3,-1,1,-1.3,-0.041445283682598144,0.041445283682598144,139.94457080511737,1.3994457080511737,2.427434622212197,0.02199954374662804,0.03492197494763203,2.3714567938901503,0.032502887604139996,0.053341033611040034
5,2,"Wed Jan 30, 2019",George Washington,0,0%,-155,-141,-140,-135,-133,-135,-140,-145,-140,-135,-133,-145,-140,-144,-135,-,-,-140,-,-,-135,-135,-135,-140,-145,-135,-,-,-140,-138.45454545454547,0.5805202406656235,0.5405202406656234,-133,0.5708154506437768,0,1,0.7518796992481203,-1,1,-0.7518796992481203,-0.05307356334518604,0.05307356334518604,-117.63744314845246,0.850069478931169,1.8670708685097925,0.03949052190352298,0.06539502048148979,1.8330680893525457,0.03621560721996864,0.06324161925324978
6,3,"Wed Jan 30, 2019",Northern Iowa,0,0%,+438,+400,+435,+416,+420,+400,+425,+390,+430,+416,+420,+415,+435,+396,+425,-,-,+415,-,-,+415,+416,+416,+425,+450,+400,-,-,+425,417.5,0.1933755434316101,0.15337554343161008,450,0.18181818181818182,0,1,4.5,-1,1,-4.5,-0.1564345111261446,0.1564345111261446,551.9944298980747,5.5199442989807475,6.630343184960362,0.004330947180811931,0.005631432958365128,6.409545413001132,0.024601266302948233,0.032270043474528665
7,3,"Wed Jan 30, 2019",Loyola (IL),0,100%,-575,-519,-500,-550,-515,-600,-550,-520,-550,-550,-515,-525,-500,-549,-555,-,-,-565,-,-,-540,-550,-550,-550,-600,-600,-,-,-550,-545.5909090909091,0.8448136656217037,0.8048136656217036,-500,0.8333333333333334,0,1,0.2,-1,1,-0.2,-0.03422360125395563,0.03422360125395563,-412.33094939006884,0.2425236333773216,1.247374106044868,0.14844739024449732,0.24292280795056384,1.2376731607097753,0.044144409968651016,0.0843850932497362
8,4,"Wed Jan 30, 2019",Bradley,0,50%,+160,+130,+140,+135,+135,+140,+140,+135,+135,+135,+135,+135,+140,+128,+138,-,-,+135,-,-,+130,+135,+135,+140,+140,+140,-,-,+135,135.95454545454547,0.42390215937921455,0.38390215937921457,140,0.4166666666666667,0,1,1.4,-1,1,-1.4,-0.0786348174898851,0.0786348174898851,160.4830359946505,1.604830359946505,2.6369269671454356,0.01868312345181659,0.02919649110732659,2.572733752747575,0.03151706478137639,0.05071217275033724
9,4,"Wed Jan 30, 2019",Evansville,0,50%,-185,-152,-150,-155,-155,-160,-160,-155,-155,-155,-155,-155,-150,-156,-158,-,-,-160,-,-,-150,-155,-155,-160,-160,-160,-,-,-155,-155.72727272727272,0.6088950804002958,0.5688950804002958,-150,0.6,0,1,0.6666666666666666,-1,1,-0.6666666666666666,-0.051841532666173695,0.051841532666173695,-131.9620942689623,0.7577933690274887,1.7729492364080386,0.04504148101989404,0.07504629559169683,1.7426375016469389,0.03706685241200891,0.0655116064320237
