,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Breakeven_Odds_Net_Comm_Short,Kelly_Long,Kelly_Short
4,2,"Sun Jan 27, 2019",Milwaukee,0,48%,-102,-110,-113,-115,-116,+105,-115,-115,-115,-115,-116,-118,-113,-113,-115,-,-,-120,-,-,-120,-115,-115,-115,-120,+105,-107,-,-115,-95.91304347826087,0.5308015700718207,0.5008015700718207,105,0.48780487804878053,1,0,1.05,-1,1,-1.05,0.026643218647232403,-0.026643218647232403,-100.3211428657482,0.9967988516022195,1.016734828634264,0.9768628745701751,0.025374493949745145,-0.026643218647232403
10,5,"Sun Jan 27, 2019",Washington,0,41%,+240,+159,+167,+176,+160,+170,+170,+165,+160,+176,+160,+170,+167,+159,+163,+160,+160,+160,-,-,+200,+176,+176,+165,+170,+170,+167,-,+160,167.44,0.3743003854257869,0.3443003854257869,200,0.3333333333333333,1,0,2.0,-1,1,-2.0,0.03290115627736068,-0.03290115627736068,190.44405476436725,1.9044405476436725,1.942529358596546,1.8663517366907991,0.01645057813868034,-0.03290115627736068
