,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Net_Comm,Kelly_Long,Kelly_Short
0,0,"Sat Jan 26, 2019",San Antonio,0,60%,-105,-185,-190,-200,-180,-210,-190,-190,-180,-200,-180,-200,-190,-154,-196,-196,-196,-195,-,-,-200,-200,-175,-190,-200,-210,-175,-,-200,-191.28,0.656063664074532,0.616063664074532,-154,0.6062992125984252,1,0,0.6493506493506493,-1,1,-0.6493506493506493,0.016105004382669597,-0.016105004382669597,-160.45984878965083,-157.31357724475572,0.02480170674931118,-0.016105004382669597
8,4,"Sat Jan 26, 2019",Atlanta,0,45%,+500,+330,+340,+351,+330,+325,+355,+330,+310,+351,+330,+300,+340,+250,+338,+467,+467,+375,-,-,+395,+351,+371,+355,+330,+325,+310,-,+325,346.04,0.22629566039055812,0.18629566039055812,467,0.1763668430335097,1,0,4.67,-1,1,-4.67,0.056296394414464546,-0.056296394414464546,436.7811563101135,445.5167794363158,0.012054902444210824,-0.056296394414464546
15,7,"Sunday, January 27, 2019",Oklahoma City,0,47%,-118,-,+145,-,-,-125,-120,-120,-,-125,-119,-125,-,-111,-120,-,-,-115,-,-,-,-125,-125,-120,-,-125,-107,-,-,-102.46666666666667,0.536303470672863,0.496303470672863,145,0.4081632653061224,1,0,1.45,-1,1,-1.45,0.2159435031485144,-0.2159435031485144,101.48962461299149,103.51941710525132,0.14892655389552717,-0.2159435031485144
17,8,"Sunday, January 27, 2019",Dallas,0,4%,+150,+178,+185,+180,+180,+170,+170,+170,-,+166,+180,+170,-195,+168,+170,+170,-,+170,-,-,-,+166,+166,+170,-,+170,+174,-,-185,137.76190476190476,0.3948289745242999,0.3548289745242999,185,0.3508771929824561,1,0,1.85,-1,1,-1.85,0.011262577394254736,-0.011262577394254736,181.82591383374094,185.46243211041576,0.006087879672570127,-0.011262577394254736
25,12,"Sunday, January 27, 2019",New York,0,48%,+190,-,-,-,-,+180,+180,+175,-,+180,+180,+180,-390,+175,+175,+175,-,+175,-,-,-,+180,+180,+180,-,+180,+190,-,-450,108.52941176470588,0.41125854730606975,0.3712585473060698,190,0.3448275862068966,1,0,1.9,-1,1,-1.9,0.07664978718760229,-0.07664978718760229,169.35406800899554,172.74114936917545,0.040341993256632784,-0.07664978718760229
