,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks,Kelly_Short_10ticks
0,0,"Wed Feb 06, 2019",Everton FC,0,-,-,+976,+945,+844,+850,-,-300,+950,+500,-,-300,+844,+482,-,-300,+969,+499,-,-300,+866,+467,-,-300,+844,+482,-,-300,+950,+500,462.1818,0.2963,0.2763,976,0.0929,1,0,1.973,0.20215040983606558,261.93,3.6193,3.6717,0.0074,0.0104,0.0152,3.5669,0.0078,0.0112,0.0171
1,0,"Wed Feb 06, 2019",Manchester City,0,-,-,-334,-339,-344,-333,+574,+351,-335,+880,+574,+351,-344,+850,+574,+351,-345,+976,+574,+351,-410,-,+574,+351,-344,+844,+574,+351,-335,+1000,245.8148,0.3879,0.3679,1000,0.0909,1,0,3.0469,0.30469,171.81,2.7181,2.7525,0.0113,0.0172,0.0267,2.6837,0.012,0.019,0.0312
2,0,"Wed Feb 06, 2019",Draw,0,-,-,+499,+524,+482,+440,-,-169,+400,-345,-,-169,+394,-333,-,-169,+426,-334,-,-169,+389,-,-,-169,+394,-344,-,-169,+400,-320,78.9524,0.4526,0.4326,524,0.1603,1,0,1.6994,0.3243175572519084,131.16,2.3116,2.3378,0.0147,0.0238,0.038,2.2854,0.0158,0.0267,0.0461
3,1,"Saturday, February 09, 2019",Fulham FC,0,-,+574,+429,+353,+394,+370,+349,+272,-150,+430,+349,+272,-158,+440,+349,+272,-151,+499,+349,+272,-169,-,+349,+272,-158,+482,+349,+272,-150,+560,249.8889,0.3071,0.28709999999999997,560,0.1515,1,0,0.8949,0.1597964285714285,248.31,3.4831,3.5328,0.0078,0.0111,0.0163,3.4334,0.0083,0.012,0.0184
4,1,"Saturday, February 09, 2019",Manchester United,0,-,-300,-148,-171,-158,-152,-,+243,+110,+800,-,+243,+102,+850,-,+243,+109,+976,-,+243,-102,-,-,+243,+102,+880,-,+243,+110,-,238.3,0.3765,0.3565,976,0.0929,1,0,2.8359,0.29056762295081967,180.5,2.805,2.8411,0.0107,0.0162,0.025,2.7689,0.0114,0.0179,0.0291
5,1,"Saturday, February 09, 2019",Draw,0,-,+351,+325,+272,+307,+295,-103,+211,+280,-357,-103,+211,+269,-333,-103,+211,+276,-334,-103,+211,+257,-,-103,+211,+269,-345,-103,+211,+280,-,81.1154,0.411,0.39099999999999996,325,0.2353,1,0,0.6617,0.20361538461538456,155.75,2.5575,2.5887000000000002,0.0124,0.0194,0.0304,2.5263999999999998,0.0133,0.0215,0.0359
6,2,"Saturday, February 09, 2019",Crystal Palace,0,-,-,+110,-103,+102,+100,-,-182,+450,+450,-,-182,+416,+475,-,-182,+459,+499,-,-182,+425,-,-,-182,+416,+430,-,-182,+450,-,179.35,0.3841,0.3641,499,0.1669,1,0,1.181,0.23666513026052105,174.65,2.7465,2.7814,0.0111,0.0169,0.0261,2.7116,0.0118,0.0186,0.0305
7,2,"Saturday, February 09, 2019",West Ham United,0,-,-,+278,+241,+269,+250,+385,+272,-165,-,+385,+272,-161,+945,+385,+272,-162,+976,+385,+272,-178,+800,+385,+272,-161,+952,+385,+272,-165,+800,313.3704,0.304,0.284,976,0.0929,1,0,2.0558,0.21063934426229508,252.11,3.5211,3.5715,0.0077,0.0109,0.016,3.4707,0.0082,0.0118,0.018
8,2,"Saturday, February 09, 2019",Draw,0,-,-,+254,+213,+240,+230,-,+889,-475,-,-,+889,-454,-339,-,+889,-503,-334,-,+889,-562,-359,-,+889,-454,-369,-,+889,-475,-275,79.619,0.5059,0.4859,889,0.1011,1,0,3.8056,0.4280709786276716,105.8,2.058,2.0792,0.0182,0.0306,0.0499,2.0368,0.0197,0.0346,0.0589
9,3,"Saturday, February 09, 2019",Huddersfield Town,0,-,+349,+463,+385,+416,+420,-563,+489,+1300,-,-563,+489,+1101,+524,-563,+489,+1391,+499,-563,+489,+1079,+460,-563,+489,+1101,+482,-563,+489,+1300,+450,404.7037,0.3039,0.2839,1391,0.0671,1,0,3.2329,0.23241905104241553,252.24,3.5224,3.5727999999999995,0.0077,0.0109,0.016,3.472,0.0081,0.0118,0.018
