,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks,Kelly_Short_10ticks
10,3,"Saturday, February 09, 2019",Draw,0,-,-,-182,-159,-182,-152,-,+341,-130,+320,-,+341,-136,+307,-,+341,-131,+325,-,+341,-144,+298,-,+341,-136,+307,-,+341,-130,+320,110.9545,0.3983,0.37829999999999997,341,0.2268,1,0,0.6683,0.19598328445747798,164.34,2.6434,2.6763,0.0118,0.0182,0.0283,2.6105,0.0126,0.0201,0.0333
11,3,"Saturday, February 09, 2019",Liverpool FC,0,-,-,+272,+327,+272,+295,-150,+241,+385,+370,-150,+241,+381,+370,-150,+241,+382,+429,-150,+241,+367,-,-150,+241,+381,+394,-150,+241,+385,+440,222.0741,0.3199,0.2999,440,0.1852,1,0,0.6195,0.14078636363636365,233.44,3.3344,3.3811,0.0083,0.0119,0.0177,3.2877,0.0088,0.013,0.0201
12,4,"Saturday, February 09, 2019",AFC Bournemouth,0,-,-,-563,-474,-546,+102,-,+193,+130,-164,-,+193,+125,-152,-,+193,+129,-148,-,+193,+120,-,-,+193,+125,-158,-,+193,+130,-144,-15.7143,0.5113,0.49129999999999996,193,0.3413,1,0,0.4395,0.22772487046632114,103.54,2.0354,2.0561,0.0186,0.0314,0.0513,2.0147,0.02,0.0347,0.0593
15,5,"Saturday, February 09, 2019",Cardiff City,0,-,-,-150,-129,-150,+100,-102,+200,+285,-161,-102,+200,+285,-154,-102,+200,+293,-148,-102,+200,+269,-,-102,+200,+285,-164,-102,+200,+285,-,51.3077,0.4346,0.41459999999999997,293,0.2545,1,0,0.6294,0.21480477815699653,141.2,2.412,2.4402,0.0137,0.0218,0.0345,2.3838,0.0146,0.0243,0.0414
17,5,"Saturday, February 09, 2019",Watford FC,0,-,-,+241,+292,+241,+230,-,-,+450,-,-,-,+414,+353,-,-,+473,+429,-,-,+430,+395,-,-,+414,+408,-,-,+450,+400,374.6667,0.2179,0.19790000000000002,473,0.1745,1,0,0.134,0.02832283298097255,405.31,5.0531,5.1342,0.0048,0.0062,0.0085,4.9719999999999995,0.0051,0.0066,0.0093
19,6,"Saturday, February 09, 2019",Draw,0,-,-,+193,+228,+193,-161,-,-,+550,-,-,-,+513,+272,-,-,+578,+325,-,-,+541,+307,-,-,+513,+309,-,-,+550,+300,347.4,0.2524,0.23240000000000002,578,0.1475,1,0,0.5757,0.09959723183391009,330.29,4.3029,4.369,0.0059,0.0079,0.0111,4.236800000000001,0.0062,0.0085,0.0123
20,6,"Saturday, February 09, 2019",Brighton & Hove Albion FC,0,-,-,+212,+255,+212,+303,-,-,-,+250,-,-,-,+240,-,-,-,+254,-,-,-,+232,-,-,-,+240,-,-,-,+250,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-8.5754,1.0200080032012806,1.02,1.0194,1.0184
21,7,"Saturday, February 09, 2019",Burnley FC,0,-,-,-102,+115,-102,+420,-,-,-,-105,-,-,-,+100,-,-,-,+110,-,-,-,-,-,-,-,+102,-,-,-,+111,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-8.5754,1.0200080032012806,1.02,1.0194,1.0184
22,7,"Saturday, February 09, 2019",Draw,0,-,-,+253,+295,+253,-164,-,-,-,+245,-,-,-,+250,-,-,-,+278,-,-,-,-,-,-,-,+269,-,-,-,+300,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-8.5754,1.0200080032012806,1.02,1.0194,1.0184
23,7,"Sunday, February 10, 2019",Tottenham Hotspur,0,-,-,+200,+231,+200,+285,-,-,-,+225,-,-,-,+230,-,-,-,+254,-,-,-,-,-,-,-,+240,-,-,-,+248,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-8.5754,1.0200080032012806,1.02,1.0194,1.0184
