,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Net_Comm_Long,Breakeven_Odds_Net_Comm_Short
0,0,"Sun Jan 27, 2019",Cleveland,0,41%,+150,+170,+167,+160,+175,+175,+170,+170,+170,+160,+175,+165,+167,+167,+170,+170,+170,+170,-,-,+170,+170,+160,+170,+170,+175,+173,-,+170,169.16,0.3716184314276322,0.34161843142763215,175,0.36363636363636365,0,1,1.75,-1,1,-1.75,-0.06054931357401161,0.06054931357401161,192.72425255890744,196.5787376100856,188.86976750772928
1,0,"Sun Jan 27, 2019",Chicago,0,59%,-180,-189,-178,-185,-205,-210,-200,-200,-200,-185,-205,-185,-178,-195,-200,-200,-200,-220,-,-,-205,-200,-185,-200,-200,-210,-183,-,-200,-196.72,0.6625641953621225,0.6325641953621225,-178,0.6402877697841726,0,1,0.5617977528089888,-1,1,-0.5617977528089888,-0.012062661176010903,0.012062661176010903,-172.15638415682963,-168.78076878120552,-175.669779751867
2,1,"Sun Jan 27, 2019",Sacramento,0,39%,+165,+169,+170,+170,+175,+170,+170,+165,+165,+170,+175,+165,+170,+166,+165,+165,+165,+165,-,-,+175,+170,+170,+170,+165,+170,+178,-,+165,168.92,0.37192954005771733,0.34192954005771736,178,0.3597122302158273,0,1,1.78,-1,1,-1.78,-0.04943587863954568,0.04943587863954568,192.4579139407496,196.30707221956462,188.6087556619346
3,1,"Sun Jan 27, 2019",L.A. Clippers,0,61%,-205,-188,-185,-200,-205,-200,-195,-190,-190,-200,-205,-190,-185,-195,-195,-195,-195,-195,-,-,-205,-200,-200,-195,-185,-200,-183,-,-185,-194.44,0.6601976577383458,0.6301976577383458,-183,0.6466431095406361,0,1,0.546448087431694,-1,1,-0.546448087431694,-0.025432037486601833,0.025432037486601833,-170.41472855043423,-167.07326328473945,-173.89258015350433
4,2,"Sun Jan 27, 2019",Milwaukee,0,49%,-102,-110,-113,-115,-116,+105,-115,-115,-115,-115,-116,-118,-113,-113,-115,-,-,-120,-,-,-120,-115,-115,-115,-120,+105,-108,-,-115,-95.95652173913044,0.53090255079662,0.5009025507966199,105,0.48780487804878053,1,0,1.05,-1,1,-1.05,0.02685022913307089,-0.02685022913307089,-100.36167317547324,101.63242278918794,-102.4098705872176
5,2,"Sun Jan 27, 2019",Oklahoma City,0,51%,-118,-100,+103,-105,-104,-125,-105,-105,-105,-105,-104,-102,+103,-102,-105,-,-,+100,-,-,+100,-105,-105,-105,+100,-125,+105,-,-105,-52.21739130434783,0.5102433789906606,0.4802433789906606,105,0.48780487804878053,0,1,1.05,-1,1,-1.05,-0.015501073069145721,0.015501073069145721,108.22775362394891,110.3923086964279,106.06319855146992
6,3,"Sun Jan 27, 2019",Toronto,0,60%,-170,-188,-190,-185,-192,-200,-200,-200,-190,-185,-192,-200,-190,-195,-196,-196,-196,-195,-,-,-200,-185,-185,-200,-200,-200,-182,-,-200,-193.68,0.6593506078436602,0.6293506078436601,-182,0.6453900709219857,0,1,0.5494505494505495,-1,1,-0.5494505494505495,-0.024852354879603467,0.024852354879603467,-169.7967462410407,-166.4673982755301,-173.2619859602456
7,3,"Sun Jan 27, 2019",Dallas,0,40%,+150,+169,+175,+160,+167,+170,+170,+170,+165,+160,+167,+170,+175,+166,+166,+166,+166,+165,-,-,+165,+160,+160,+170,+170,+170,+178,-,+170,167.6,0.3738022084566122,0.34380220845661225,178,0.3597122302158273,0,1,1.78,-1,1,-1.78,-0.044229860490617945,0.044229860490617945,190.86491459411312,194.6822128859954,187.04761630223086
8,4,"Sun Jan 27, 2019",Orlando,0,34%,+300,+334,+335,+344,+330,+315,+345,+315,+350,+344,+330,+295,+335,+329,+353,+353,+353,+340,-,-,+360,+344,+344,+345,+320,+315,+350,-,+325,336.12,0.22958184349871677,0.19958184349871677,360,0.2173913043478261,0,1,3.6,-1,1,-3.6,-0.08192351990590285,0.08192351990590285,401.0475815183206,409.068533148687,393.0266298879542
9,4,"Sun Jan 27, 2019",Houston,0,66%,-390,-385,-375,-440,-400,-430,-435,-400,-450,-440,-400,-390,-375,-408,-428,-428,-428,-440,-,-,-475,-440,-440,-435,-400,-430,-375,-,-425,-418.88,0.8067919213248029,0.7767919213248029,-375,0.7894736842105263,0,1,0.26666666666666666,-1,1,-0.26666666666666666,-0.01606356632191633,0.01606356632191633,-348.0124581221621,-341.18868443349226,-355.11475318587975
10,5,"Sun Jan 27, 2019",Washington,0,52%,+240,+163,+165,+172,+175,+165,+165,+160,+165,+172,+175,+165,+165,+160,+165,+165,+165,+165,-,-,+170,+172,+172,+165,+160,+165,+167,-,+165,166.52,0.3752999134491993,0.3452999134491993,175,0.36363636363636365,0,1,1.75,-1,1,-1.75,-0.05042523801470189,0.05042523801470189,189.60331614653606,193.39538246946677,185.81124982360532
11,5,"Sun Jan 27, 2019",San Antonio,0,48%,-300,-181,-175,-205,-205,-190,-190,-180,-185,-205,-205,-185,-175,-187,-195,-195,-195,-195,-,-,-200,-205,-205,-190,-180,-190,-176,-,-185,-191.16,0.6561359280295802,0.6261359280295802,-175,0.6363636363636364,0,1,0.5714285714285714,-1,1,-0.5714285714285714,-0.01607211309637402,0.01607211309637402,-167.4768919970251,-164.19303136963242,-170.89478775206643
12,6,"Sun Jan 27, 2019",Utah,0,0%,-175,-190,-190,-215,-205,-200,-190,-200,-190,-215,-205,-200,-190,-196,-200,-200,-200,-220,-,-,-180,-215,-215,-190,-200,-200,-185,-,-200,-199.64,0.6658839048014468,0.6358839048014467,-180,0.6428571428571429,0,1,0.5555555555555556,-1,1,-0.5555555555555556,-0.010847259197749481,0.010847259197749481,-174.63768099970915,-171.2134127448129,-178.20171530582564
13,6,"Sun Jan 27, 2019",Minnesota,0,100%,+145,+171,+175,+180,+175,+170,+165,+170,+165,+180,+175,+170,+175,+168,+170,+170,+170,+170,-,-,+150,+180,+180,+165,+170,+170,+174,-,+170,171.12,0.36903990322253777,0.33903990322253774,180,0.35714285714285715,0,1,1.8,-1,1,-1.8,-0.05068827097689432,0.05068827097689432,194.95053251700102,198.84954316734104,191.051521866661
14,7,"Sun Jan 27, 2019",Miami,0,61%,-230,-188,-190,-190,-205,-210,-200,-200,-200,-190,-205,-200,-190,-195,-200,-200,-200,-220,-,-,-210,-190,-190,-200,-200,-210,-185,-,-200,-198.72,0.6649855617188498,0.6349855617188498,-185,0.6491228070175439,0,1,0.5405405405405406,-1,1,-0.5405405405405406,-0.021778999514204367,0.021778999514204367,-173.96176565206332,-170.55075063927774,-177.51200576741155
15,7,"Sun Jan 27, 2019",New York,0,39%,+190,+169,+175,+163,+175,+175,+170,+170,+170,+163,+175,+170,+175,+166,+170,+170,+170,+170,-,-,+175,+163,+163,+170,+170,+175,+182,-,+170,170.56,0.3697095263062049,0.3397095263062049,182,0.35460992907801414,0,1,1.82,-1,1,-1.82,-0.042019135816502184,0.042019135816502184,194.36913673672706,198.2565194714616,190.4817540019925
16,8,"Sun Jan 27, 2019",Phoenix,0,6%,+285,+263,+260,+252,+250,+255,+260,+245,+240,+252,+250,+250,+260,+259,+255,+255,+255,+260,-,-,+255,+252,+252,+260,+250,+255,+268,-,+250,254.52,0.2821484109819636,0.2521484109819636,268,0.2717391304347826,0,1,2.68,-1,1,-2.68,-0.07209384758637383,0.07209384758637383,296.5918310195224,302.5236676399129,290.6599943991319
17,8,"Sun Jan 27, 2019",L.A. Lakers,0,94%,-375,-298,-290,-310,-300,-310,-320,-290,-300,-310,-300,-300,-290,-312,-315,-315,-315,-335,-,-,-315,-310,-310,-320,-300,-310,-290,-,-310,-307.0,0.7541254487132312,0.7241254487132311,-290,0.7435897435897436,0,1,0.3448275862068966,-1,1,-0.3448275862068966,-0.026176120695999477,0.026176120695999477,-262.48359819188613,-257.33686097243736,-267.84040631825115
18,9,"Monday, January 28, 2019",Golden State,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,2.855511136493432,2.9720626114523476
19,9,"Monday, January 28, 2019",Indiana,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,2.855511136493432,2.9720626114523476
20,10,"Monday, January 28, 2019",New York,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,2.855511136493432,2.9720626114523476
21,10,"Monday, January 28, 2019",Charlotte,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,2.855511136493432,2.9720626114523476
