,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Net_Comm_Long,Breakeven_Odds_Net_Comm_Short
0,0,"Sun Jan 27, 2019",Cleveland,0,40%,+150,+173,+175,+170,+175,+175,+170,+170,+170,+170,+175,+170,+175,+172,+170,+170,+170,+170,-,-,+180,+170,+170,+170,+180,+175,+179,-,+170,172.56,0.36694637781924305,0.3369463778192431,180,0.35714285714285715,0,1,1.8,-1,1,-1.8,-0.056550142106119305,0.056550142106119305,196.78312806688072,200.71879062821836,192.8474655055431
1,0,"Sun Jan 27, 2019",Chicago,0,60%,-180,-193,-190,-200,-205,-210,-200,-200,-200,-200,-205,-200,-190,-201,-200,-200,-200,-220,-,-,-215,-200,-200,-200,-220,-210,-190,-,-200,-201.96,0.6686120701358456,0.6386120701358455,-190,0.6551724137931034,0,1,0.5263157894736842,-1,1,-0.5263157894736842,-0.025276314003183142,0.025276314003183142,-176.71095721871495,-173.24603648893623,-180.317303284403
2,1,"Sun Jan 27, 2019",Sacramento,0,38%,+165,+169,+170,+170,+175,+170,+170,+165,+165,+170,+175,+165,+170,+166,+170,+165,+165,+165,-,-,+175,+170,+170,+170,+165,+170,+178,-,+165,169.12,0.37165001524989066,0.3416500152498907,178,0.3597122302158273,0,1,1.78,-1,1,-1.78,-0.050212957605303865,0.050212957605303865,192.69719167686176,196.551135510399,188.84324784332455
3,1,"Sun Jan 27, 2019",L.A. Clippers,0,62%,-205,-188,-185,-200,-205,-200,-195,-190,-190,-200,-205,-190,-185,-195,-200,-195,-195,-195,-,-,-205,-200,-200,-195,-185,-200,-182,-,-185,-194.6,0.6603735248941648,0.6303735248941648,-182,0.6453900709219857,0,1,0.5494505494505495,-1,1,-0.5494505494505495,-0.02326739549365675,0.02326739549365675,-170.54339105814046,-167.1994029981769,-174.02386842667394
4,2,"Sun Jan 27, 2019",Milwaukee,0,49%,-102,-110,-113,-115,-116,+105,-115,-115,-115,-115,-116,-118,-113,-113,-115,-,-,-120,-,-,-120,-115,-115,-115,-120,+105,-108,-,-115,-95.95652173913044,0.53090255079662,0.5009025507966199,105,0.48780487804878053,1,0,1.05,-1,1,-1.05,0.02685022913307089,-0.02685022913307089,-100.36167317547324,101.63242278918794,-102.4098705872176
5,2,"Sun Jan 27, 2019",Oklahoma City,0,51%,-118,-100,+103,-105,-104,-125,-105,-105,-105,-105,-104,-102,+103,-102,-105,-,-,+100,-,-,+100,-105,-105,-105,+100,-125,+105,-,-105,-52.21739130434783,0.5102433789906606,0.4802433789906606,105,0.48780487804878053,0,1,1.05,-1,1,-1.05,-0.015501073069145721,0.015501073069145721,108.22775362394891,110.3923086964279,106.06319855146992
6,3,"Sun Jan 27, 2019",Toronto,0,61%,-170,-188,-190,-185,-192,-200,-200,-200,-190,-185,-192,-200,-190,-195,-196,-196,-196,-195,-,-,-200,-185,-185,-200,-200,-200,-182,-,-200,-193.68,0.6593506078436602,0.6293506078436601,-182,0.6453900709219857,0,1,0.5494505494505495,-1,1,-0.5494505494505495,-0.024852354879603467,0.024852354879603467,-169.7967462410407,-166.4673982755301,-173.2619859602456
7,3,"Sun Jan 27, 2019",Dallas,0,39%,+150,+169,+175,+160,+167,+170,+170,+170,+165,+160,+167,+170,+175,+166,+166,+166,+166,+165,-,-,+170,+160,+160,+170,+170,+170,+178,-,+170,167.8,0.37352268364878555,0.3435226836487856,178,0.3597122302158273,0,1,1.78,-1,1,-1.78,-0.04500693945637613,0.04500693945637613,191.10159171392326,194.92362354820173,187.2795598796448
8,4,"Sun Jan 27, 2019",Orlando,0,34%,+300,+334,+335,+344,+330,+315,+345,+315,+350,+344,+330,+295,+335,+329,+353,+353,+353,+340,-,-,+360,+344,+344,+345,+320,+315,+350,-,+325,336.12,0.22958184349871677,0.19958184349871677,360,0.2173913043478261,0,1,3.6,-1,1,-3.6,-0.08192351990590285,0.08192351990590285,401.0475815183206,409.068533148687,393.0266298879542
9,4,"Sun Jan 27, 2019",Houston,0,66%,-390,-385,-375,-440,-400,-430,-435,-400,-450,-440,-400,-390,-375,-408,-428,-428,-428,-440,-,-,-475,-440,-440,-435,-400,-430,-375,-,-425,-418.88,0.8067919213248029,0.7767919213248029,-375,0.7894736842105263,0,1,0.26666666666666666,-1,1,-0.26666666666666666,-0.01606356632191633,0.01606356632191633,-348.0124581221621,-341.18868443349226,-355.11475318587975
