,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Breakeven_Odds_Net_Comm_Short
0,0,"Sun Jan 27, 2019",Cleveland,0,38%,+150,+176,+185,+170,+180,+175,+175,+170,+170,+170,+180,+180,+185,+173,+175,+175,+175,+170,-,-,+170,+170,+170,+175,+175,+175,+180,-,+170,174.76,0.3640547705536264,0.3340547705536264,185,0.3508771929824561,0,1,1.85,-1,1,-1.85,-0.04794390392216463,0.04794390392216463,199.35210874034448,1.9935210874034448,2.033391509151514,1.9536506656553758
1,0,"Sun Jan 27, 2019",Chicago,0,62%,-180,-196,-200,-200,-210,-210,-205,-200,-200,-200,-210,-210,-200,-203,-210,-210,-210,-220,-,-,-205,-200,-200,-205,-210,-210,-189,-,-200,-204.52,0.6714710413514999,0.6414710413514999,-189,0.6539792387543253,0,1,0.5291005291005291,-1,1,-0.5291005291005291,-0.019126291266754136,0.019126291266754136,-178.91749770215765,0.558916826382566,0.5700951629102173,0.5477384898549147
2,1,"Sun Jan 27, 2019",Sacramento,0,42%,+165,+161,+160,+151,+165,+160,+160,+165,+160,+151,+165,+155,+160,+158,+158,+161,+161,+155,-,-,+160,+151,+151,+160,+165,+160,+166,-,+160,159.16,0.38597882330923083,0.3559788233092308,166,0.37593984962406013,0,1,1.66,-1,1,-1.66,-0.05309632999744607,0.05309632999744607,180.91558669244841,1.809155866924484,1.845338984262974,1.7729727495859944
3,1,"Sun Jan 27, 2019",L.A. Clippers,0,58%,-205,-179,-170,-175,-190,-180,-185,-190,-180,-175,-190,-175,-170,-185,-183,-181,-181,-185,-,-,-190,-175,-175,-185,-185,-180,-175,-,-180,-180.76,0.643665989494413,0.613665989494413,-170,0.6296296296296295,0,1,0.5882352941176471,-1,1,-0.5882352941176471,-0.025354016685344094,0.025354016685344094,-158.84337718321032,0.6295509562520807,0.6421419753771224,0.616959937127039
4,2,"Sun Jan 27, 2019",Milwaukee,0,48%,-102,-110,-113,-115,-116,+105,-115,-115,-115,-115,-116,-118,-113,-113,-115,-,-,-120,-,-,-120,-115,-115,-115,-120,+105,-107,-,-115,-95.91304347826087,0.5308015700718207,0.5008015700718207,105,0.48780487804878053,1,0,1.05,-1,1,-1.05,0.026643218647232403,-0.026643218647232403,-100.3211428657482,0.9967988516022195,1.016734828634264,0.9768628745701751
5,2,"Sun Jan 27, 2019",Oklahoma City,0,52%,-118,-100,+103,-105,-104,-125,-105,-105,-105,-105,-104,-102,+103,-102,-105,-,-,+100,-,-,+100,-105,-105,-105,+100,-125,+104,-,-105,-52.26086956521739,0.5103473442246864,0.4803473442246864,104,0.49019607843137253,0,1,1.04,-1,1,-1.04,-0.020091417781639753,0.020091417781639753,108.1826853053739,1.081826853053739,1.1034633901148136,1.0601903159926642
6,3,"Sun Jan 27, 2019",Toronto,0,59%,-170,-195,-200,-210,-205,-220,-210,-205,-200,-210,-205,-210,-200,-202,-210,-210,-210,-220,-,-,-230,-210,-215,-210,-200,-220,-186,-,-210,-208.12,0.6751801523549485,0.6451801523549485,-186,0.6503496503496503,0,1,0.5376344086021505,-1,1,-0.5376344086021505,-0.007948797991853385,0.007948797991853385,-181.83316312123628,0.5499546852920638,0.5609537789979051,0.5389555915862225
7,3,"Sun Jan 27, 2019",Dallas,0,41%,+150,+175,+185,+176,+175,+180,+180,+175,+170,+176,+175,+180,+185,+172,+175,+175,+175,+170,-,-,+190,+176,+180,+180,+170,+180,+178,-,+175,177.12,0.36095827784037837,0.33095827784037835,190,0.3448275862068966,0,1,1.9,-1,1,-1.9,-0.04022099426290282,0.04022099426290282,202.15288964076055,2.0215288964076055,2.0619594743357577,1.981098318479453
8,4,"Sun Jan 27, 2019",Orlando,0,36%,+300,+334,+335,+344,+330,+315,+345,+315,+350,+344,+330,+295,+335,+329,+353,+353,+353,+340,-,-,+365,+344,+344,+345,+320,+315,+345,-,+325,336.12,0.22958821701849305,0.19958821701849305,365,0.2150537634408602,0,1,3.65,-1,1,-3.65,-0.07191479086400732,0.07191479086400732,401.0315813920738,4.010315813920738,4.090522130199153,3.9301094976423228
9,4,"Sun Jan 27, 2019",Houston,0,64%,-390,-385,-375,-440,-400,-430,-435,-400,-450,-440,-400,-390,-375,-408,-428,-428,-428,-440,-,-,-485,-440,-440,-435,-400,-430,-380,-,-425,-419.48,0.8069985555245722,0.7769985555245722,-375,0.7894736842105263,0,1,0.26666666666666666,-1,1,-0.26666666666666666,-0.015801829668875222,0.015801829668875222,-348.42758859805883,0.28700367959483997,0.2927437531867368,0.28126360600294315
