,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Net_Comm_Long,Breakeven_Odds_Net_Comm_Short
11,5,"Sun Jan 27, 2019",San Antonio,0,48%,-300,-181,-175,-205,-205,-190,-190,-180,-185,-205,-205,-185,-175,-187,-195,-195,-195,-195,-,-,-200,-205,-205,-190,-180,-190,-177,-,-185,-191.2,0.6561882484397722,0.6161882484397722,-175,0.6363636363636364,0,1,0.5714285714285714,-1,1,-0.5714285714285714,-0.031704181023215205,0.031704181023215205,-160.54439342592138,-157.39646414306017,-163.82080961828711
12,6,"Sun Jan 27, 2019",Utah,0,0%,-175,-190,-190,-215,-205,-200,-190,-200,-190,-215,-205,-200,-190,-196,-200,-200,-200,-200,-,-,-180,-215,-215,-190,-200,-200,-185,-,-200,-198.84,0.6650505714681134,0.6250505714681134,-180,0.6428571428571429,0,1,0.5555555555555556,-1,1,-0.5555555555555556,-0.027699111049601377,0.027699111049601377,-166.70263344992873,-163.4339543626752,-170.10472801013137
13,6,"Sun Jan 27, 2019",Minnesota,0,100%,+145,+171,+175,+180,+175,+170,+165,+170,+165,+180,+175,+170,+175,+168,+170,+170,+170,+170,-,-,+150,+180,+180,+165,+170,+170,+173,-,+170,171.08,0.36909337772856704,0.32909337772856706,180,0.35714285714285715,0,1,1.8,-1,1,-1.8,-0.07853854236001223,0.07853854236001223,203.86512390558948,207.94242638370127,199.7878214274777
14,7,"Sun Jan 27, 2019",Miami,0,61%,-230,-188,-190,-190,-205,-210,-200,-200,-200,-190,-205,-200,-190,-195,-200,-200,-200,-200,-,-,-210,-190,-190,-200,-200,-210,-185,-,-200,-197.92,0.6641522283855166,0.6241522283855165,-185,0.6491228070175439,0,1,0.5405405405405406,-1,1,-0.5405405405405406,-0.03846818870339341,0.03846818870339341,-166.06516667756787,-162.808986938792,-169.45425171180395
15,7,"Sun Jan 27, 2019",New York,0,39%,+190,+169,+175,+163,+175,+175,+170,+170,+170,+163,+175,+170,+175,+167,+170,+170,+170,+170,-,-,+175,+163,+163,+170,+170,+175,+182,-,+170,170.6,0.3696532057294821,0.32965320572948215,182,0.35460992907801414,0,1,1.82,-1,1,-1.82,-0.07037795984286044,0.07037795984286044,203.3490900800199,207.4160718816203,199.28210827841949
16,8,"Sun Jan 27, 2019",Phoenix,0,6%,+285,+263,+260,+252,+250,+255,+260,+245,+240,+252,+250,+250,+260,+259,+255,+255,+255,+255,-,-,+255,+252,+252,+260,+250,+255,+268,-,+250,254.32,0.28230490550465526,0.24230490550465525,268,0.2717391304347826,0,1,2.68,-1,1,-2.68,-0.10831794774286863,0.10831794774286863,312.7031592353741,318.95722242008156,306.4490960506666
17,8,"Sun Jan 27, 2019",L.A. Lakers,0,94%,-375,-298,-290,-310,-300,-310,-320,-290,-300,-310,-300,-300,-290,-312,-315,-315,-315,-315,-,-,-315,-310,-310,-320,-300,-310,-292,-,-310,-306.28,0.7537346254189715,0.7137346254189715,-290,0.7435897435897436,0,1,0.3448275862068966,-1,1,-0.3448275862068966,-0.040149986505521096,0.040149986505521096,-249.32621574075355,-244.43746641250348,-254.4145058579118
18,9,"Monday, January 28, 2019",Golden State,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712,3.924646781789639
19,9,"Monday, January 28, 2019",Indiana,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712,3.924646781789639
20,10,"Monday, January 28, 2019",New York,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712,3.924646781789639
21,10,"Monday, January 28, 2019",Charlotte,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712,3.924646781789639
22,11,"Monday, January 28, 2019",Brooklyn,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712,3.924646781789639
23,11,"Monday, January 28, 2019",Boston,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712,3.924646781789639
24,12,"Monday, January 28, 2019",Denver,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712,3.924646781789639
25,12,"Monday, January 28, 2019",Memphis,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712,3.924646781789639
26,13,"Monday, January 28, 2019",Atlanta,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712,3.924646781789639
27,13,"Monday, January 28, 2019",L.A. Clippers,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712,3.924646781789639
