,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Breakeven_Odds_Net_Comm_Short,Edge_Long_5ticks,Edge_Long_10ticks,Edge_Short_5ticks,Edge_Short_10ticks
10,5,"Sun Jan 27, 2019",Washington,0,41%,+240,+158,+167,+160,+160,+165,+160,+165,+165,+160,+160,+165,+167,+155,+158,+161,+161,+155,-,-,+175,+160,+160,+160,+170,+165,+164,-,+160,162.24,0.3814392098567708,0.3514392098567708,175,0.36363636363636365,0,1,1.75,-1,1,-1.75,-0.033542172893880284,0.033542172893880284,184.5442318196511,1.845442318196511,1.8823511645604412,1.8085334718325807,-0.34417936691520595,-0.3087735669392251,0.38198238615247393,0.39955434664531253
11,5,"Sun Jan 27, 2019",San Antonio,0,59%,-300,-175,-178,-185,-180,-190,-185,-190,-190,-185,-180,-185,-178,-181,-183,-181,-181,-185,-,-,-205,-185,-185,-185,-200,-190,-171,-,-180,-184.52,0.6483201716465828,0.6183201716465828,-171,0.6309963099630996,0,1,0.5847953216374269,-1,1,-0.5847953216374269,-0.020089084700444793,0.020089084700444793,-161.999698625427,0.6172850989755132,0.6296308009550234,0.604939396996003,1.8096950899945643,2.030018803375428,0.6568697767959804,0.6877857853783094
12,6,"Sun Jan 27, 2019",Utah,0,35%,-175,-173,-175,-180,-180,-180,-180,-190,-180,-180,-180,-185,-175,-184,-184,-182,-182,-185,-,-,-180,-180,-180,-180,-180,-180,-174,-,-185,-180.56,0.6435080753798864,0.6135080753798864,-173,0.6336996336996337,0,1,0.5780346820809249,-1,1,-0.5780346820809249,-0.03186297931382087,0.03186297931382087,-158.7376181230459,0.6299703950608905,0.6425698029621083,0.6173709871596726,1.870677762495812,2.1148545726722183,0.651913317641283,0.6825887214102773
13,6,"Sun Jan 27, 2019",Minnesota,0,65%,+145,+156,+165,+155,+160,+160,+155,+165,+160,+155,+160,+165,+165,+157,+159,+162,+162,+155,-,-,+150,+155,+155,+155,+160,+160,+165,-,+165,159.24,0.3858452205358528,0.35584522053585277,165,0.37735849056603776,0,1,1.65,-1,1,-1.65,-0.05701016557999017,0.05701016557999017,181.0210569904918,1.8102105699049178,1.8464147813030163,1.7740063585068193,-0.3627448706804172,-0.32478106741928675,0.38652057715192845,0.4043128381787211
14,7,"Sun Jan 27, 2019",Miami,0,66%,-230,-189,-185,-190,-205,-210,-200,-200,-200,-190,-205,-190,-185,-195,-196,-196,-196,-195,-,-,-215,-190,-190,-200,-200,-210,-192,-,-200,-196.96,0.6630312896168365,0.6330312896168365,-185,0.6491228070175439,0,1,0.5405405405405406,-1,1,-0.5405405405405406,-0.024789634914603176,0.024789634914603176,-172.5027970248114,0.5797007452906217,0.5912947601964341,0.5681067303848092,1.6560682282021857,1.821766247976052,0.6720222283053416,0.7036737927861834
15,7,"Sun Jan 27, 2019",New York,0,34%,+190,+170,+170,+163,+175,+175,+170,+170,+170,+163,+175,+165,+170,+167,+166,+166,+166,+165,-,-,+175,+163,+163,+170,+170,+175,+183,-,+170,169.4,0.3713141181885312,0.3413141181885312,183,0.35335689045936397,0,1,1.83,-1,1,-1.83,-0.034081045526456744,0.034081045526456744,192.98524341956212,1.9298524341956211,1.9684494828795338,1.8912553855117087,-0.3054394939289005,-0.2751735046387754,0.37155354173418714,0.3886192476436137
16,8,"Sun Jan 27, 2019",Phoenix,0,4%,+285,+263,+260,+252,+250,+255,+260,+245,+240,+252,+250,+250,+260,+259,+255,+255,+255,+260,-,-,+260,+252,+252,+260,+250,+255,+278,-,+250,255.12,0.2817043618238911,0.2517043618238911,278,0.2645502645502646,0,1,2.78,-1,1,-2.78,-0.04855751230569161,0.04855751230569161,297.29148623163934,2.9729148623163932,3.032373159562721,2.9134565650700655,-0.10764316181267175,-0.09921716184111296,0.27925549267860783,0.29184071076980245
17,8,"Sun Jan 27, 2019",L.A. Lakers,0,96%,-375,-298,-290,-310,-300,-310,-320,-290,-300,-310,-300,-300,-290,-312,-315,-315,-315,-335,-,-,-320,-310,-310,-320,-300,-310,-292,-,-310,-307.28,0.7542925220300463,0.7242925220300462,-290,0.7435897435897436,0,1,0.3448275862068966,-1,1,-0.3448275862068966,-0.025951435890627456,0.025951435890627456,-262.70325613329163,0.380657634290081,0.38827078697588263,0.37304448160427933,1.2151117131589158,1.2630686382901122,0.7660212976909476,0.80223592379245
18,9,"Monday, January 28, 2019",Golden State,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477,1.0878096625244043,1.1519450815911922,0.9993916187834357,0.9978916187834357
19,9,"Monday, January 28, 2019",Indiana,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477,1.0878096625244043,1.1519450815911922,0.9993916187834357,0.9978916187834357
20,10,"Monday, January 28, 2019",New York,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477,1.0878096625244043,1.1519450815911922,0.9993916187834357,0.9978916187834357
21,10,"Monday, January 28, 2019",Charlotte,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477,1.0878096625244043,1.1519450815911922,0.9993916187834357,0.9978916187834357
22,11,"Monday, January 28, 2019",Brooklyn,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477,1.0878096625244043,1.1519450815911922,0.9993916187834357,0.9978916187834357
23,11,"Monday, January 28, 2019",Boston,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477,1.0878096625244043,1.1519450815911922,0.9993916187834357,0.9978916187834357
24,12,"Monday, January 28, 2019",Denver,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477,1.0878096625244043,1.1519450815911922,0.9993916187834357,0.9978916187834357
25,12,"Monday, January 28, 2019",Memphis,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477,1.0878096625244043,1.1519450815911922,0.9993916187834357,0.9978916187834357
26,13,"Monday, January 28, 2019",Atlanta,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477,1.0878096625244043,1.1519450815911922,0.9993916187834357,0.9978916187834357
27,13,"Monday, January 28, 2019",L.A. Clippers,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.03,0,0.0,0,1,0.0,-1,1,0.0,-1.03,1.03,2.9126213592233006,0.029126213592233007,0.02855511136493432,0.029720626114523477,1.0878096625244043,1.1519450815911922,0.9993916187834357,0.9978916187834357
