,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Breakeven_Odds_Net_Comm_Short,Edge_Long_5ticks,Edge_Long_10ticks,Edge_Short_5ticks,Edge_Short_10ticks
0,0,"Sun Jan 27, 2019",Cleveland,0,38%,+150,+169,+170,+160,+165,+165,+170,+165,+165,+170,+165,+165,+170,+166,+165,+165,+165,+165,-,-,+165,+160,+160,+175,+165,+165,+172,-,+165,166.08,0.3758926794892812,0.34589267948928115,175,0.36363636363636365,0,1,1.75,-1,1,-1.75,-0.04879513140447678,0.04879513140447678,189.10701477594841,1.8910701477594842,1.928891550714674,1.8532487448042945,0.015350401781092031,0.023496285122953164,0.030376780384678503,0.04767141435914257
1,0,"Sun Jan 27, 2019",Chicago,0,62%,-180,-188,-185,-185,-190,-190,-200,-190,-185,-200,-190,-190,-185,-195,-195,-195,-195,-195,-,-,-195,-185,-185,-205,-185,-190,-182,-,-185,-190.6,0.6557500385355323,0.6257500385355322,-182,0.6453900709219857,0,1,0.5494505494505495,-1,1,-0.5494505494505495,-0.030431258972417052,0.030431258972417052,-167.2010963172651,0.5980822028238941,0.610043846880372,0.5861205587674162,0.0587423113469206,0.09866996720083723,0.03877250115606601,0.0700600030828426
2,1,"Sun Jan 27, 2019",Sacramento,0,43%,+165,+144,+145,+144,+144,+160,+155,+145,+140,+153,+144,+140,+145,+141,+148,+148,+148,+145,-,-,+150,+144,+144,+155,+150,+160,+155,-,+145,147.68,0.4039495802583846,0.37394958025838465,160,0.3846153846153846,0,1,1.6,-1,1,-1.6,-0.02773109132819984,0.02773109132819984,167.41573003211792,1.6741573003211792,1.7076404463276027,1.6406741543147556,0.017761589108272503,0.027613880029117455,0.03121848740775157,0.049915966420670754
3,1,"Sun Jan 27, 2019",L.A. Clippers,0,57%,-205,-159,-155,-165,-164,-180,-175,-165,-160,-178,-164,-160,-155,-164,-168,-168,-168,-170,-,-,-175,-165,-165,-175,-170,-180,-157,-,-165,-166.8,0.6249217284157226,0.5949217284157226,-155,0.607843137254902,0,1,0.6451612903225806,-1,1,-0.6451612903225806,-0.021257801638649987,0.021257801638649987,-146.86587016601993,0.6808933885521403,0.6945112563231831,0.6672755207810975,0.05083556699919463,0.08507587241251462,0.037847651852471687,0.06759373827325776
4,2,"Sun Jan 27, 2019",Milwaukee,0,46%,-102,-110,-113,-115,-116,+105,-115,-115,-115,-115,-116,-118,-113,-112,-115,-,-,-120,-,-,-115,-115,-115,-115,-120,+105,-108,-,-115,-95.69565217391305,0.5303466651593702,0.5003466651593702,105,0.48780487804878053,1,0,1.05,-1,1,-1.05,0.025710663576708925,-0.025710663576708925,-100.13876227183825,0.9986143001102654,1.0185865861124708,0.9786420141080601,0.03276327853052074,0.05366391297554327,0.03501039995478117,0.06002773321274962
5,2,"Sun Jan 27, 2019",Oklahoma City,0,54%,-118,-100,+103,-105,-104,-125,-105,-105,-105,-105,-104,-102,+103,-103,-105,-,-,+100,-,-,+100,-105,-105,-105,+100,-125,+103,-,-105,-52.34782608695652,0.510558362768996,0.480558362768996,103,0.4926108374384236,0,1,1.03,-1,1,-1.03,-0.024466523578938137,0.024466523578938137,108.09126996312395,1.0809126996312395,1.1025309536238643,1.0592944456386146,0.029861888546120617,0.04860138430981328,0.034416750883069946,0.058444669021519735
6,3,"Sun Jan 27, 2019",Toronto,0,58%,-170,-195,-200,-210,-205,-220,-210,-205,-200,-210,-205,-210,-200,-202,-210,-210,-210,-220,-,-,-235,-210,-210,-210,-200,-220,-187,-,-210,-208.16,0.675204984616708,0.6452049846167079,-187,0.6515679442508711,0,1,0.5347593582887701,-1,1,-0.5347593582887701,-0.009765611844945565,0.009765611844945565,-181.85288875033385,0.5498950315674676,0.5608929321988169,0.5388971309361182,0.06442397262126552,0.10836308769571189,0.03935614953850125,0.07161639876933662
7,3,"Sun Jan 27, 2019",Dallas,0,42%,+150,+175,+185,+176,+175,+180,+180,+175,+170,+176,+175,+180,+185,+172,+175,+175,+175,+170,-,-,+195,+176,+176,+180,+170,+180,+178,-,+175,177.16,0.3609315357634749,0.3309315357634749,195,0.3389830508474576,0,1,1.95,-1,1,-1.95,-0.023751969497749048,0.023751969497749048,202.1773061587957,2.021773061587957,2.062208522819716,1.9813376003561978,0.014169030069508254,0.021494005952983206,0.029927946072904277,0.046474522861078005
8,4,"Sun Jan 27, 2019",Orlando,0,35%,+300,+334,+335,+344,+330,+325,+345,+315,+350,+344,+330,+295,+335,+329,+353,+353,+353,+340,-,-,+365,+344,+344,+345,+320,+325,+360,-,+325,337.52,0.22884152612549208,0.19884152612549208,365,0.2150537634408602,0,1,3.65,-1,1,-3.65,-0.07538690351646182,0.07538690351646182,402.9130581953409,4.029130581953409,4.109713193592477,3.948547970314341,0.006242075973834217,0.008529636210061333,0.02596524578376469,0.03590732209003933
9,4,"Sun Jan 27, 2019",Houston,0,65%,-390,-385,-375,-440,-400,-450,-435,-400,-450,-440,-400,-390,-375,-408,-428,-428,-428,-440,-,-,-490,-440,-440,-435,-400,-450,-380,-,-425,-421.28,0.8076053864224167,0.7776053864224167,-375,0.7894736842105263,0,1,0.26666666666666666,-1,1,-0.26666666666666666,-0.015033177198272157,0.015033177198272157,-349.6511781078483,0.28599932235651,0.2917193088036402,0.28027933590937976,0.12679459567082835,0.20986565907324864,0.043328161592672526,0.08220843091379337
