,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_30ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Tue Feb 12, 2019 - Soccer",Manchester United,0,68%,+185,+128,+132,+126,+129,+125,+125,+115,+120,+126,+129,+120,+132,+135,+129,+128,+128,+116,+210,+210,-100,+126,+126,+125,+120,+125,+143,+210,+160,128.5,0.4292,0.4092,210,0.3226,1,0,0.2685,0.1278666666666667,144.38,2.4438,2.4726999999999997,0.0134,0.0212,0.0759,2.4149000000000003,0.0143,0.0237
1,0,"Tue Feb 12, 2019 - Soccer",Paris Saint-Germain,0,30%,+122,+237,+232,+213,+220,+230,+235,+225,+230,+213,+220,+230,+232,+210,+235,+237,+237,+211,+123,+123,+247,+213,+213,+235,+222,+230,+208,+123,+155,212.1071,0.3256,0.3056,247,0.2882,1,0,0.0604,0.02446639676113362,227.23,3.2723,3.3177,0.0086,0.0123,0.0403,3.2269,0.009,0.0134
3,1,"Tue Feb 12, 2019 - Soccer",AS Roma,0,71%,+101,+104,+106,-103,+101,+100,+102,+100,+100,-103,+101,+100,+106,+108,+104,+104,+104,-107,+106,+106,-117,-103,-103,+102,-105,+100,+110,+106,+105,51.2143,0.497,0.477,110,0.4762,1,0,0.0017,0.001545454545454577,109.64,2.0964,2.1183,0.0175,0.0293,0.1082,2.0745,0.019,0.0335
6,2,"Wednesday, February 13, 2019 - Soccer",Tottenham Hotspur,0,94%,+118,+112,+115,+103,+113,+110,+110,+105,+105,+103,+113,+105,+115,+134,+112,+112,+112,+102,+127,+127,+106,+103,+103,+110,+107,+110,+137,+127,+130,113.1429,0.4701,0.4501,137,0.4219,1,0,0.0667,0.04871313868613142,122.17,2.2217,2.2461,0.0158,0.0258,0.0944,2.1973000000000003,0.017,0.0292
10,3,"Wednesday, February 13, 2019 - Soccer",Real Madrid,0,11%,+108,-112,-108,-113,-113,-115,-124,-120,-120,-113,-113,-118,-108,-111,-112,-112,-112,-123,+103,+103,-127,-113,-113,-124,-119,-115,-106,+103,-110,-91.6071,0.53,0.51,103,0.4926,1,0,0.0353,0.03427184466019417,-104.0799,1.9608,1.98,0.02,0.0343,0.1272,1.9416,0.02,0.0353
12,4,"Tuesday, February 12, 2019 - Soccer",Draw,0,100%,-237,-348,-356,-357,-346,-360,-305,-400,-346,-344,-357,-,-346,-229,-400,-400,-346,-386,-,-,-346,-357,-344,-305,-346,-360,-,-,-346,-349.1304,0.7758,0.7558,-229,0.696,1,0,0.0858,0.1965820000000001,-309.5017,1.3231,1.3296000000000001,0.0573,0.1125,0.3679,1.3166,0.02,0.0427
13,4,"Tuesday, February 12, 2019 - Soccer",Draw,0,0%,+506,+848,+793,+920,+665,+1000,+520,+850,+665,+888,+560,-,+665,+588,+875,+875,+665,+815,-,-,+665,+920,+888,+520,+665,+1000,-,-,+665,761.5217,0.1197,0.0997,1000,0.0909,1,0,0.0967,0.009670000000000002,903.01,10.0301,10.2107,0.0022,0.0025,0.005,9.8495,0.0023,0.0026
14,4,"Tuesday, February 12, 2019 - Soccer",Draw,0,0%,+297,+487,+466,+448,+368,+425,+375,+425,+368,+441,+440,-,+368,+321,+425,+425,+368,+454,-,-,+368,+448,+441,+375,+368,+425,-,-,+368,408.5652,0.198,0.17800000000000002,487,0.1704,1,0,0.0449,0.00921149897330598,461.8,5.618,5.7104,0.0042,0.0053,0.0139,5.5256,0.0044,0.0057
15,5,"Wednesday, February 13, 2019 - Soccer",Draw,0,100%,-248,+189,-526,-,-418,+189,-526,-,-425,+189,-526,-,-416,+189,-526,-,-457,+189,-526,-,-483,+189,-526,-,-434,+189,-526,-,-425,-257.9524,0.6666,0.6466,189,0.346,1,0,0.8687,0.459615873015873,-182.9491,1.5466,1.5575,0.0347,0.0649,0.2345,1.5356999999999998,0.0199,0.0393
16,5,"Wednesday, February 13, 2019 - Soccer",Draw,0,0%,+520,+133,+954,-,+1047,+133,+954,-,+1000,+133,+954,-,+1095,+133,+954,-,+956,+133,+954,-,+1035,+133,+954,-,+1131,+133,+954,-,+1000,708.2381,0.2041,0.1841,1131,0.0812,1,0,1.2663,0.11196030061892132,443.18,5.4318,5.5204,0.0044,0.0056,0.0148,5.3432,0.0046,0.0059
