,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short
0,0,"Fri Jan 25, 2019",Washington,0,53%,-,-,+155,+141,+145,+140,+140,+140,+140,+140,+138,+140,+145,+138,+143,+143,+143,+140,-,-,+135,+140,+135,+140,+135,+140,+155,-,+140,141.29166666666666,0.4146004637142114,155,0.3921568627450981,0.3746004637142114,0,1,1.55,-1,1,-1.55,-0.04476881752876094,-0.594768817528761
1,0,"Fri Jan 25, 2019",Orlando,0,47%,-,-,-175,-156,-155,-160,-160,-160,-160,-160,-158,-160,-155,-161,-163,-163,-163,-165,-,-,-160,-160,-155,-160,-155,-160,-156,-,-160,-160.0,0.6152889746551947,-155,0.607843137254902,0.5752889746551947,0,1,0.6451612903225806,-1,1,-0.6451612903225806,-0.05355684814790551,0.30128186152951386
2,1,"Fri Jan 25, 2019",Miami,0,50%,-,-,-,-400,+140,-420,-425,-400,-400,-400,-400,-400,-385,-408,-408,-408,-408,-450,-,-,-445,-400,-400,-425,-400,-420,-370,-,-400,-384.0,0.7860626687603627,140,0.4166666666666667,0.7460626687603626,1,0,1.4,-1,1,-1.4,0.7905504050248704,0.3905504050248704
3,1,"Fri Jan 25, 2019",Cleveland,0,50%,-,-,-,+325,-160,+310,+335,+315,+310,+317,+330,+300,+345,+329,+333,+333,+333,+350,-,-,+340,+317,+317,+335,+320,+310,+340,-,+320,304.5217391304348,0.25168351105516745,350,0.2222222222222222,0.21168351105516744,0,1,3.5,-1,1,-3.5,-0.04742420025174643,-2.5474242002517467
4,2,"Fri Jan 25, 2019",New York,0,52%,-,-,-,+450,+138,+325,+355,+355,+330,+330,+335,+320,+355,+337,+348,+348,+348,+335,-,-,+340,+330,+371,+355,+340,+325,+350,-,+350,337.82608695652175,0.2329136986188436,450,0.18181818181818182,0.19291369861884358,1,0,4.5,-1,1,-4.5,0.06102534240363966,-3.4389746575963605
5,2,"Fri Jan 25, 2019",Brooklyn,0,48%,-,-,-,-600,-158,-450,-445,-460,-430,-420,-405,-420,-400,-418,-423,-423,-423,-435,-,-,-445,-420,-480,-445,-430,-450,-385,-,-450,-426.7391304347826,0.8048078561339834,-158,0.6124031007751938,0.7648078561339834,1,0,0.6329113924050633,-1,1,-0.6329113924050633,0.24886346128207415,0.6159520688770108
6,3,"Fri Jan 25, 2019",Toronto,0,50%,-130,-161,-150,-160,-385,-160,-170,-160,-160,-160,-163,-155,-150,-166,-164,-164,-164,-165,-,-,-175,-160,-160,-165,-160,-160,-151,-,-160,-169.92,0.6237080099651205,-150,0.6,0.5837080099651205,0,1,0.6666666666666666,-1,1,-0.6666666666666666,-0.027153316724799148,0.3061800166085342
7,3,"Fri Jan 25, 2019",Houston,0,50%,+100,+145,+140,+140,+334,+140,+150,+140,+140,+140,+143,+135,+140,+142,+144,+144,+144,+140,-,-,+150,+140,+140,+145,+140,+140,+149,-,+140,149.8,0.4057920102152462,334,0.2304147465437788,0.3657920102152462,1,0,3.34,-1,1,-3.34,0.5875373243341685,-1.7524626756658312
8,4,"Fri Jan 25, 2019",Sacramento,0,52%,+100,+115,+117,+105,-385,+115,+115,+115,+120,+115,+110,+112,+117,+113,+115,+115,+110,+110,-,-,+105,+105,+115,+115,+115,+115,+119,-,+110,93.32,0.48209108672939294,120,0.45454545454545453,0.44209108672939296,0,1,1.2,-1,1,-1.2,-0.02739960919533546,-0.22739960919533536
9,4,"Fri Jan 25, 2019",Memphis,0,48%,-130,-127,-127,-125,+345,-135,-135,-135,-140,-135,-130,-132,-127,-130,-135,-135,-130,-130,-,-,-125,-125,-135,-135,-135,-135,-124,-,-130,-112.28,0.5538575180575309,345,0.2247191011235955,0.5138575180575309,1,0,3.45,-1,1,-3.45,1.2866659553560125,-1.1633340446439877
