,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Max_Odds,Max_Implied_Prob,Min_Odds,Min_Implied_Prob,Consensus_Minus_Alpha,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Win_Short,Expected_Value_Long,Expected_Value_Short
14,7,"Fri Jan 25, 2019",Charlotte,0,61%,+475,+582,+575,+614,+700,+500,+580,+505,+580,+614,+700,+550,+575,+574,+545,-,-,+570,-,-,+530,+614,+614,+580,+500,+500,+600,-,+575,577.2608695652174,0.14851546634079138,700,0.125,500,0.16666666666666666,0.10851546634079137,0,1,7.0,-5.0,-0.13187626927366902,-1.4340618653631654
15,7,"Fri Jan 25, 2019",Milwaukee,0,39%,-650,-718,-710,-900,-950,-800,-780,-710,-780,-900,-950,-750,-710,-794,-795,-,-,-820,-,-,-735,-900,-900,-780,-700,-800,-700,-,-850,-801.3913043478261,0.8882094661953623,-700,0.875,-950,0.9047619047619048,0.8482094661953623,0,1,0.14285714285714285,-0.10526315789473684,-0.030617752919585947,-0.24107574077257055
16,8,"Fri Jan 25, 2019",Phoenix,0,67%,+800,+1525,+1500,+1453,+1500,-,+1455,-,-,+1453,+1500,+1350,+1500,+1507,+1485,+1290,-,-,-,-,+1400,+1453,+1453,+1455,-,-,+1600,-,+1500,1465.5,0.06399662343118095,1600,0.058823529411764705,1290,0.07194244604316546,0.023996623431180954,0,1,16.0,-12.9,-0.5920574016699238,-1.2855598188310533
17,8,"Fri Jan 25, 2019",Denver,0,33%,-1475,-2592,-2000,-4000,-3000,-,-2405,-,-,-4000,-3000,-2300,-2000,-3846,-4700,-2740,-,-,-,-,-4785,-4000,-4000,-2405,-,-,-1700,-,-3500,-3165.1666666666665,0.9666022127568861,-1700,0.9444444444444444,-4785,0.9795291709314228,0.926602212756886,0,1,0.058823529411764705,-0.02089864158829676,-0.018891774728003026,-0.09276251478244282
18,9,"Fri Jan 25, 2019",Minnesota,0,96%,+425,+568,+540,+520,+535,+450,+510,+505,+525,+520,+535,+500,+540,+561,+513,+505,-,+525,-,-,+505,+520,+520,+510,+500,+450,+580,-,+525,519.25,0.16185440533495288,580,0.14705882352941177,450,0.18181818181818182,0.12185440533495287,0,1,5.8,-4.5,-0.17139004372232058,-1.426490418672335
19,9,"Fri Jan 25, 2019",Utah,0,4%,-550,-698,-660,-725,-700,-700,-660,-710,-700,-725,-700,-700,-660,-769,-738,-730,-,-750,-,-,-710,-725,-725,-660,-700,-700,-680,-,-750,-707.2916666666666,0.8759675478248887,-660,0.868421052631579,-769,0.8849252013808975,0.8359675478248887,0,1,0.15151515151515152,-0.13003901170351106,-0.037370702504673614,-0.27274084591046743
20,10,"Fri Jan 25, 2019",San Antonio,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,0,0.0,-0.04,0,1,0.0,0.0,-1.04,-1.04
21,10,"Fri Jan 25, 2019",New Orleans,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,0,0.0,-0.04,0,1,0.0,0.0,-1.04,-1.04
22,11,"Fri Jan 25, 2019",Indiana,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,0,0.0,-0.04,0,1,0.0,0.0,-1.04,-1.04
23,11,"Fri Jan 25, 2019",Memphis,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,0,0.0,-0.04,0,1,0.0,0.0,-1.04,-1.04
